SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
-15.56   	-133.36   	 34.77   	-178.03		
-19.23   	-140.99   	 34.06   	-233.98		
-21.36   	-146.18   	 33.12   	-264.50		
-22.58   	-149.23   	 32.06   	-295.01		
-22.89   	-150.76   	 30.88   	-345.88		
-23.19   	-151.67   	 29.50   	-330.62		
-24.72   	-152.89   	 28.18   	-147.51		
-26.55   	-154.42   	 27.59   	-122.07		
-28.08   	-155.94   	 27.10   	-462.87		
-29.30   	-156.86   	 25.25   	-590.03		
-29.60   	-157.17   	 22.89   	-340.79		
-29.91   	-156.25   	 21.53   	-315.36		
-30.21   	-154.42   	 20.26   	-493.39		
-30.52   	-151.98   	 18.29   	-447.61		
-30.52   	-149.54   	 16.50   	-350.97		
-30.21   	-147.71   	 15.10   	-371.31		
-29.30   	-146.18   	 13.61   	-330.62		
-27.77   	-144.65   	 12.29   	-228.89		
-26.25   	-142.82   	 11.37   	-183.11		
-25.02   	-140.38   	 10.64   	-162.77		
-24.41   	-138.55   	  9.99   	-142.42		
-24.72   	-137.02   	  9.42   	-106.82		
-25.33   	-136.41   	  8.99   	-106.82		
-25.63   	-135.80   	  8.57   	-116.99		
-25.33   	-134.89   	  8.10   	-111.90		
-24.72   	-133.67   	  7.65   	 -96.64		
-23.80   	-132.45   	  7.26   	 -96.64		
-23.19   	-131.23   	  6.88   	 -96.64		
-23.19   	-130.62   	  6.49   	 -96.64		
-22.89   	-129.70   	  6.10   	 -91.56		
-22.58   	-129.09   	  5.74   	 -81.38		
-22.28   	-128.17   	  5.41   	 -91.56		
-21.97   	-127.87   	  5.05   	 -96.64		
-22.28   	-127.56   	  4.66   	 -76.30		
-22.89   	-127.87   	  4.35   	 -55.95		
-23.50   	-128.48   	  4.13   	 -76.30		
-24.11   	-129.39   	  3.83   	-132.25		
-24.72   	-129.70   	  3.30   	-244.15		
-25.02   	-130.00   	  2.32   	-437.43		
-25.33   	-130.31   	  0.57   	-503.56		
-25.02   	-131.23   	 -1.44   	-325.53		
-24.11   	-132.45   	 -2.75   	-142.42		
-23.50   	-133.97   	 -3.32   	 -61.04		
-23.80   	-136.11   	 -3.56   	  50.86		
-25.02   	-137.94   	 -3.36   	 178.03		
-27.16   	-139.77   	 -2.64   	 213.63		
-28.69   	-140.99   	 -1.79   	 239.06		
-28.99   	-141.30   	 -0.83   	 274.67		
-28.38   	-141.30   	  0.26   	 300.10		
-27.77   	-140.69   	  1.46   	 279.75		
-28.08   	-140.08   	  2.58   	 269.58		
-28.69   	-139.77   	  3.66   	 269.58		
-29.60   	-139.47   	  4.74   	 228.89		
-29.30   	-139.47   	  5.66   	 167.85		
-28.38   	-138.85   	  6.33   	  96.64		
-26.25   	-137.94   	  6.71   	  61.04		
-24.11   	-136.41   	  6.96   	  25.43		
-21.97   	-134.89   	  7.06   	 -15.26		
-20.75   	-133.36   	  7.00   	 -50.86		
-20.45   	-132.14   	  6.80   	 -50.86		
-21.67   	-131.53   	  6.59   	 -55.95		
-23.50   	-131.84   	  6.37   	 -76.30		
-25.02   	-132.14   	  6.06   	 -76.30		
-24.72   	-132.14   	  5.76   	 -81.38		
-23.19   	-131.84   	  5.43   	 -81.38		
-21.97   	-130.92   	  5.11   	 -66.12		
-21.67   	-130.62   	  4.84   	 -76.30		
-22.89   	-130.92   	  4.54   	 -61.04		
-24.72   	-131.53   	  4.29   	 -35.61		
-25.63   	-132.45   	  4.15   	 -20.35		
-24.72   	-132.45   	  4.07   	 -25.43		
-23.50   	-131.53   	  3.97   	  -5.09		
-22.58   	-130.31   	  3.95   	  20.35		
-23.19   	-128.48   	  4.03   	  35.61		
-23.80   	-126.95   	  4.17   	  25.43		
-23.50   	-125.12   	  4.27   	  35.61		
-21.67   	-123.29   	  4.42   	  40.69		
-19.23   	-121.46   	  4.58   	  40.69		
-16.78   	-119.93   	  4.74   	  45.78		
-14.65   	-118.41   	  4.92   	  30.52		
-13.43   	-116.27   	  5.05   	  25.43		
-12.21   	-113.22   	  5.15   	  30.52		
-10.07   	-108.64   	  5.27   	  30.52		
 -6.71   	-102.23   	  5.39   	  15.26		
 -1.53   	-92.77   	  5.45   	  10.17		
  5.49   	-78.74   	  5.49   	  25.43		
 13.43   	-60.12   	  5.60   	  20.35		
 20.45   	-38.45   	  5.68   	   5.09		
 25.94   	-16.17   	  5.70   	  -5.09		
 29.30   	  3.36   	  5.68   	   0.00		
 31.43   	 19.53   	  5.68   	   5.09		
 34.48   	 32.96   	  5.70   	  -5.09		
 38.45   	 42.42   	  5.68   	   0.00		
 43.64   	 46.39   	  5.68   	   0.00		
 47.61   	 43.33   	  5.68   	  10.17		
 49.13   	 34.79   	  5.72   	  15.26		
 46.39   	 25.02   	  5.78   	  10.17		
 38.76   	 16.78   	  5.82   	  15.26		
 28.38   	  9.16   	  5.88   	  25.43		
 17.70   	 -4.27   	  5.98   	  30.52		
  8.24   	-27.16   	  6.10   	  15.26		
  0.92   	-57.37   	  6.16   	  15.26		
 -5.19   	-86.67   	  6.23   	  30.52		
-10.99   	-107.12   	  6.35   	  30.52		
-15.87   	-116.88   	  6.47   	  15.26		
-19.53   	-119.93   	  6.53   	  10.17		
-21.36   	-121.46   	  6.57   	  10.17		
-22.28   	-123.60   	  6.61   	  10.17		
-22.58   	-124.82   	  6.65   	  20.35		
-22.89   	-124.21   	  6.73   	  15.26		
-22.58   	-121.46   	  6.80   	   5.09		
-21.67   	-118.71   	  6.82   	   5.09		
-20.45   	-116.88   	  6.84   	  15.26		
-19.53   	-116.27   	  6.90   	  20.35		
-19.23   	-115.97   	  6.98   	   0.00		
-19.53   	-115.36   	  6.98   	   5.09		
-19.84   	-115.36   	  7.00   	  20.35		
-18.31   	-118.10   	  7.08   	  15.26		
-13.12   	-127.26   	  7.14   	   5.09		
 -1.22   	-142.52   	  7.16   	 -20.35		
 18.62   	-153.20   	  7.08   	 -55.95		
 47.30   	-133.97   	  6.86   	 -45.78		
 81.48   	-44.86   	  6.67(E)	  76.30		
113.53   	154.72   	  6.98   	 111.90		
133.67   	481.26   	  7.43   	  81.38		
135.19   	903.63   	  7.75   	 101.73		
114.44   	1341.86   	  8.16   	  25.43		
 68.05   	1692.50   	  8.26   	 -20.35		
-126.65   	1762.09(R)	  8.18   	  45.78		
-275.88   	1441.65   	  8.36   	  55.95		
-430.60   	975.65   	  8.59   	  76.30		
-548.71   	486.76   	  8.89   	  61.04		
-596.01   	 95.21   	  9.14   	 -25.43		
-564.58   	-134.58   	  9.03   	-106.82		
-477.29   	-212.40   	  8.61   	-101.73		
-368.35   	-195.92   	  8.20   	 -71.21		
-265.50   	-150.15   	  7.91   	 -50.86		
-180.97   	-118.10   	  7.71   	  15.26		
-114.75   	-111.69   	  7.77   	  86.47		
-64.39   	-119.32   	  8.12   	 101.73		
-27.16   	-125.73   	  8.52   	 106.82		
 -1.53   	-124.82   	  8.95   	 127.16		
 13.73   	-119.63   	  9.46   	 132.25		
 20.14   	-115.97   	  9.99   	 127.16		
 21.36   	-117.19   	 10.50   	 162.77		
 21.67   	-121.77   	 11.15   	 310.27		
 24.41   	-124.51   	 12.39   	 483.21		
 29.60   	-122.99   	 14.32   	 437.43		
 35.71   	-118.10   	 16.07   	 320.45		
 39.37   	-113.53   	 17.35   	 427.26		
 40.28   	-110.47   	 19.06   	 539.16		
 39.98   	-108.64   	 21.22   	 391.66		
 39.98   	-105.90   	 22.79   	 686.67		
 42.11   	-96.74   	 25.53   	 371.31		
 43.33   	-91.55   	 27.02   	 244.15		
 44.56   	-86.36   	 28.00   	 198.37		
 46.08   	-81.48   	 28.79   	 198.37		
 48.22   	-77.21   	 29.58   	 157.68		
 51.57   	-72.94   	 30.21   	 132.25		
 55.54   	-68.97   	 30.74   	 132.25		
 59.51   	-65.00   	 31.27   	 116.99		
 61.95   	-61.04   	 31.74   	  96.64		
 62.56   	-56.46   	 32.13   	  71.21		
 61.95   	-51.88   	 32.41   	  25.43		
 61.65   	-46.39   	 32.51   	  30.52		
 62.56   	-40.59   	 32.63   	 111.90		
 65.31   	-34.48   	 33.08   	 127.16		
 68.97   	-29.30   	 33.59   	  81.38		
 72.33   	-24.11   	 33.92   	 101.73		
 74.46   	-19.53   	 34.32   	 147.51		
 75.07   	-14.34   	 34.91   	 111.90		
 75.68   	 -8.54   	 35.36   	  55.95		
 76.60   	 -1.53   	 35.58   	  71.21		
 78.74   	  5.80   	 35.87   	  76.30		
 81.79   	 13.12   	 36.17   	  30.52		
 84.23   	 19.84   	 36.30   	  25.43		
 85.14   	 26.25   	 36.40   	  15.26		
 84.84   	 33.26   	 36.46(S)	 -40.69		
 86.06   	 50.35   	 36.30   	 -30.52		
 89.72   	 60.12   	 36.17   	 -55.95		
 94.60   	 70.50   	 35.95   	 -81.38		
 99.18   	 81.48   	 35.63   	 -76.30		
103.45   	 93.38   	 35.32   	 -55.95		
107.12   	106.81   	 35.10   	 -50.86		
112.00   	121.77   	 34.89   	 -55.95		
117.80   	137.63   	 34.67   	 -50.86		
124.21   	154.11   	 34.47   	 -30.52		
129.70   	170.90   	 34.34   	 -15.26		
133.36   	187.07   	 34.28   	 -30.52		
135.50   	202.94   	 34.16   	 -35.61		
137.02   	218.81   	 34.02   	  10.17		
138.85   	234.99   	 34.06   	  40.69		
141.30   	251.16   	 34.22   	  35.61		
144.35   	267.33   	 34.36   	  25.43		
147.09   	282.59   	 34.47   	  35.61		
148.93   	297.24   	 34.61   	  50.86		
149.84   	310.06   	 34.81   	  50.86		
150.15   	321.35   	 35.02   	  40.69		
149.23   	330.51   	 35.18   	  35.61		
145.57   	335.69   	 35.32   	  40.69		
138.85   	335.08   	 35.48   	  45.78		
128.48   	327.76   	 35.67   	  30.52		
115.97   	312.81   	 35.79   	  15.26		
102.84   	290.53   	 35.85   	  20.35		
 90.33   	262.15   	 35.93   	  20.35		
 78.13   	228.88   	 36.01   	  15.26		
 66.22   	191.65   	 36.07   	  -5.09		
 54.02   	152.59   	 36.05   	 -10.17		
 41.50   	112.30   	 36.01   	  20.35		
 28.99   	 73.24   	 36.09   	  30.52		
 17.09   	 36.01   	 36.22   	  15.26		
  6.10   	  2.14   	 36.28   	  10.17		
 -3.36   	-28.08   	 36.32   	  15.26		
-11.60   	-54.32   	 36.38   	   0.00		
-18.01   	-76.90   	 36.38   	 -15.26		
-22.89   	-96.13   	 36.32   	 -45.78		
-26.25   	-111.08   	 36.13   	 -61.04		
-28.08   	-122.38   	 35.89   	 -86.47		
-28.38   	-129.70   	 35.54   	-132.25		
-27.47   	-134.58   	 35.02   	-172.94		
-25.94   	-138.24   	 34.32   	-193.29		
-24.11   	-141.60   	 33.55   	-213.63		
-22.89   	-144.96   	 32.70   	-274.67		
-22.28   	-147.40   	 31.60   	-356.05		
-21.67   	-149.23   	 30.17   	-381.48		
-21.36   	-150.15   	 28.65   	-228.89		
-21.97   	-151.06   	 27.73   	-167.85		
-23.50   	-152.28   	 27.06   	-452.69		
-25.33   	-153.20   	 25.25   	-615.46		
-26.25   	-152.89   	 22.79   	-401.83		
-25.94   	-151.37   	 21.18   	-330.62		
-24.41   	-149.84   	 19.86   	-478.13		
-22.28   	-148.62   	 17.94   	-462.87		
-20.75   	-148.32   	 16.09   	-366.22		
-20.75   	-148.62   	 14.63   	-335.71		
-21.97   	-148.62   	 13.29   	-315.36		
-24.72   	-147.40   	 12.02   	-233.98		
-27.47   	-145.87   	 11.09   	-162.77		
-29.30   	-144.65   	 10.44   	-132.25		
-29.91   	-143.43   	  9.91   	-127.16		
-28.69   	-141.91   	  9.40   	-106.82		
-26.55   	-140.08   	  8.97   	 -96.64		
-24.11   	-137.63   	  8.59   	-101.73		
-22.28   	-135.50   	  8.18   	-101.73		
-21.06   	-133.36   	  7.77   	-101.73		
-21.06   	-132.14   	  7.37   	-116.99		
-21.67   	-131.53   	  6.90   	-116.99		
-22.89   	-131.53   	  6.43   	-101.73		
-23.80   	-131.84   	  6.02   	-101.73		
-24.41   	-132.14   	  5.62   	-122.07		
-24.41   	-132.14   	  5.13   	-101.73		
-23.80   	-131.84   	  4.72   	 -81.38		
-23.50   	-132.14   	  4.39   	 -76.30		
-23.80   	-133.36   	  4.09   	 -76.30		
-24.41   	-135.19   	  3.78   	 -76.30		
-24.41   	-136.72   	  3.48   	-106.82		
-22.89   	-136.72   	  3.05   	-198.37		
-21.06   	-135.80   	  2.26   	-381.48		
-19.53   	-134.58   	  0.73   	-488.30		
-19.53   	-134.89   	 -1.22   	-361.14		
-21.06   	-136.11   	 -2.67   	-152.59		
-22.28   	-137.33   	 -3.28   	 -50.86		
-21.97   	-137.63   	 -3.48(D)	  25.43		
-20.14   	-136.72   	 -3.38   	 157.68		
-18.01   	-135.80   	 -2.75   	 239.06		
-17.40   	-136.11   	 -1.79   	 249.24		
-18.92   	-137.63   	 -0.79   	 249.24		
-20.75   	-138.55   	  0.20   	 279.75		
-21.36   	-138.24   	  1.32   	 289.93		
-19.84   	-136.72   	  2.48   	 264.50		
-15.87   	-134.28   	  3.54   	 244.15		
-12.21   	-132.45   	  4.52   	 213.63		
-10.07   	-131.84   	  5.37   	 152.59		
-10.38   	-131.84   	  5.98   	 106.82		
-12.82   	-132.45   	  6.41   	  71.21		
-15.87   	-132.45   	  6.69   	  25.43		
-17.70   	-132.14   	  6.80   	 -15.26		
-17.70   	-130.62   	  6.73   	 -30.52		
-15.87   	-128.17   	  6.61   	 -35.61		
-14.04   	-126.04   	  6.47   	 -66.12		
-12.82   	-124.51   	  6.21   	 -76.30		
-13.43   	-124.51   	  5.90   	 -50.86		
-15.56   	-126.04   	  5.70   	 -55.95		
-18.31   	-127.87   	  5.47   	 -71.21		
-20.14   	-129.39   	  5.19   	 -76.30		
-20.45   	-129.39   	  4.88   	 -45.78		
-19.23   	-128.17   	  4.70   	 -15.26		
-17.09   	-126.04   	  4.64   	 -35.61		
-15.56   	-124.21   	  4.50   	 -25.43		
-15.56   	-122.99   	  4.39   	  30.52		
-17.40   	-122.99   	  4.52   	  10.17		
-19.84   	-123.60   	  4.56   	 -10.17		
-22.28   	-124.21   	  4.52   	  25.43		
-24.11   	-124.51   	  4.62   	  40.69		
-25.33   	-123.90   	  4.78   	  30.52		
-26.25   	-122.99   	  4.90   	  45.78		
-26.86   	-122.38   	  5.09   	  35.61		
-28.08   	-121.77   	  5.23   	   5.09		
-29.30   	-121.15   	  5.25   	  10.17		
-30.52   	-119.32   	  5.29   	  40.69		
-29.91   	-115.97   	  5.45   	  15.26		
-26.86   	-110.17   	  5.51   	 -10.17		
-20.75   	-101.01   	  5.47   	  10.17		
-11.90   	-87.89   	  5.51   	  15.26		
 -1.53   	-68.97   	  5.57   	 -10.17		
  8.24   	-45.47   	  5.53   	 -25.43		
 15.56   	-20.14   	  5.43   	 -10.17		
 19.53   	  3.05   	  5.39   	 -10.17		
 21.67   	 21.97   	  5.35   	 -10.17		
 23.50   	 35.71   	  5.31   	   0.00		
 26.86   	 44.86   	  5.31   	  -5.09		
 32.04   	 48.22   	  5.29   	   5.09		
 37.54   	 44.86   	  5.31   	  20.35		
 41.20   	 36.01   	  5.39   	  15.26		
 41.20   	 25.63   	  5.45   	  10.17		
 37.84   	 17.40   	  5.49   	  25.43		
 31.43   	 11.90   	  5.60   	  35.61		
 24.41   	  3.05   	  5.74   	  35.61		
 17.09   	-14.95   	  5.88   	  25.43		
  9.77   	-43.03   	  5.98   	  25.43		
  2.14   	-73.85   	  6.08   	  30.52		
 -5.49   	-97.96   	  6.21   	  25.43		
-11.60   	-110.78   	  6.31   	  20.35		
-15.56   	-114.75   	  6.39   	  15.26		
-17.09   	-115.36   	  6.45   	  25.43		
-17.70   	-116.88   	  6.55   	  25.43		
-17.40   	-119.32   	  6.65   	  20.35		
-16.78   	-120.54   	  6.73   	  15.26		
-16.17   	-119.93   	  6.80   	  10.17		
-15.87   	-118.10   	  6.84   	  10.17		
-16.48   	-116.27   	  6.88   	  15.26		
-17.70   	-115.97   	  6.94   	  10.17		
-19.23   	-115.97   	  6.98   	  10.17		
-20.14   	-115.66   	  7.02   	  10.17		
-19.53   	-114.14   	  7.06   	  15.26		
-17.40   	-114.14   	  7.12   	  -5.09		
-13.12   	-120.24   	  7.10   	 -10.17		
 -5.49   	-135.50   	  7.06   	  -5.09		
  7.93   	-153.20   	  7.04   	 -20.35		
 30.21   	-152.59   	  6.96   	 -25.43		
 61.65   	-95.83   	  6.86   	  -5.09		
 96.74   	 61.34   	  6.84(E)	  15.26		
124.82   	346.07   	  6.90   	  40.69		
136.41   	744.02   	  7.06   	  55.95		
125.43   	1188.96   	  7.28   	  61.04		
 88.81   	1582.95   	  7.53   	  71.21		
 21.36   	1818.85(R)	  7.81   	 157.68		
-226.14   	1570.74   	  8.44   	  45.78		
-383.91   	1142.58   	  8.63   	  25.43		
-518.19   	645.14   	  8.73   	  -5.09		
-589.60   	206.30   	  8.71   	 -25.43		
-581.67   	-84.53   	  8.61   	 -30.52		
-508.12   	-210.88   	  8.48   	 -35.61		
-401.31   	-218.51   	  8.34   	 -25.43		
-292.36   	-173.95   	  8.24   	   0.00		
-198.97   	-132.14   	  8.24   	  20.35		
-125.43   	-116.88   	  8.32   	  25.43		
-69.89   	-122.68   	  8.42   	  50.86		
-30.52   	-132.14   	  8.63   	  81.38		
 -4.88   	-134.58   	  8.95   	  86.47		
  9.46   	-130.31   	  9.30   	  96.64		
 15.26   	-124.82   	  9.68   	 132.25		
 16.78   	-122.99   	 10.21   	 147.51		
 18.01   	-125.12   	 10.80   	 228.89		
 22.28   	-127.87   	 11.72   	 417.09		
 30.21   	-126.65   	 13.39   	 473.04		
 38.45   	-121.77   	 15.28   	 376.40		
 44.25   	-116.27   	 16.79   	 381.48		
 46.69   	-112.61   	 18.31   	 523.90		
 47.61   	-110.47   	 20.41   	 467.95		
 48.83   	-108.03   	 22.28   	 310.27		
 50.96   	-104.68   	 23.52   	 773.14		
 52.19   	-97.96   	 26.61   	 295.01		
 51.27   	-94.30   	 27.79   	 183.11		
 51.27   	-90.03   	 28.52   	 183.11		
 53.10   	-84.84   	 29.26   	 167.85		
 56.76   	-79.04   	 29.93   	 116.99		
 60.73   	-73.24   	 30.40   	 111.90		
 63.17   	-67.75   	 30.84   	 116.99		
 63.48   	-63.17   	 31.31   	 111.90		
 62.56   	-58.90   	 31.76   	  71.21		
 61.65   	-55.24   	 32.04   	  25.43		
 61.34   	-51.27   	 32.15   	  15.26		
 62.26   	-46.69   	 32.21   	  96.64		
 63.78   	-41.20   	 32.59   	 147.51		
 65.61   	-35.10   	 33.18   	  91.56		
 67.14   	-28.99   	 33.55   	  96.64		
 68.05   	-23.19   	 33.94   	 152.59		
 68.66   	-17.70   	 34.55   	 137.33		
 69.27   	-12.51   	 35.10   	  71.21		
 70.19   	 -7.02   	 35.38   	  76.30		
 71.72   	 -0.61   	 35.69   	 106.82		
 74.16   	  6.41   	 36.11   	  86.47		
 77.21   	 13.43   	 36.46   	  40.69		
 79.65   	 19.84   	 36.62   	  20.35		
 82.40   	 25.63   	 36.70   	  10.17		
 85.14   	 31.43   	 36.74(S)	 -45.78		
 92.47   	 47.91   	 36.56   	 -71.21		
 97.05   	 60.12   	 36.28   	 -96.64		
101.32   	 74.16   	 35.89   	-101.73		
105.59   	 88.81   	 35.48   	 -86.47		
110.17   	103.15   	 35.14   	 -86.47		
115.97   	116.88   	 34.79   	 -86.47		
122.38   	131.53   	 34.45   	 -71.21		
129.39   	146.48   	 34.16   	 -45.78		
134.89   	162.35   	 33.98   	 -30.52		
138.85   	178.83   	 33.86   	 -30.52		
142.21   	195.92   	 33.73   	   0.00		
145.87   	213.62   	 33.73   	  40.69		
150.45   	232.24   	 33.90   	  50.86		
155.03   	250.24   	 34.10   	  45.78		
157.78   	267.03   	 34.28   	  50.86		
157.47   	282.29   	 34.49   	  55.95		
154.42   	296.02   	 34.71   	  55.95		
150.45   	308.53   	 34.93   	  50.86		
147.40   	319.82   	 35.14   	  35.61		
145.57   	329.28   	 35.28   	  30.52		
144.04   	336.30   	 35.40   	  30.52		
140.99   	338.75   	 35.52   	  25.43		
134.89   	335.39   	 35.63   	  10.17		
125.43   	324.40   	 35.67   	  10.17		
113.83   	305.48   	 35.71   	  15.26		
101.93   	279.24   	 35.77   	  20.35		
 90.64   	247.19   	 35.85   	   5.09		
 79.04   	210.27   	 35.87   	 -10.17		
 65.61   	170.29   	 35.83   	   5.09		
 50.66   	128.78   	 35.85   	  20.35		
 35.10   	 87.28   	 35.93   	  15.26		
 21.67   	 48.52   	 35.99   	  10.17		
 10.99   	 13.12   	 36.03   	   5.09		
  2.75   	-18.31   	 36.05   	   5.09		
 -4.58   	-46.08   	 36.07   	  15.26		
-11.29   	-69.89   	 36.13   	   0.00		
-17.09   	-89.42   	 36.13   	 -30.52		
-21.06   	-104.68   	 36.01   	 -45.78		
-23.19   	-115.66   	 35.83   	 -76.30		
-24.11   	-123.60   	 35.52   	-111.90		
-24.72   	-129.09   	 35.08   	-132.25		
-25.94   	-133.36   	 34.55   	-147.51		
-27.47   	-137.02   	 33.96   	-193.29		
-28.38   	-139.77   	 33.18   	-264.50		
-28.38   	-141.91   	 32.13   	-350.97		
-27.77   	-143.43   	 30.72   	-417.09		
-27.16   	-144.35   	 29.05   	-335.71		
-27.47   	-145.57   	 27.71   	-208.54		
-29.30   	-147.09   	 26.88   	-366.22		
-31.43   	-148.93   	 25.41   	-620.55		
-32.04   	-149.54   	 22.93   	-508.65		
-30.82   	-148.93   	 20.90   	-325.53		
-27.47   	-147.40   	 19.59   	-432.35		
-23.80   	-144.96   	 17.86   	-478.13		
-21.06   	-142.21   	 15.95   	-371.31		
-19.23   	-140.08   	 14.47   	-320.45		
-17.70   	-138.55   	 13.18   	-315.36		
-15.87   	-137.33   	 11.92   	-254.32		
-14.04   	-136.11   	 10.91   	-162.77		
-12.51   	-134.28   	 10.25   	-127.16		
-11.90   	-132.45   	  9.75   	-127.16		
-12.51   	-131.53   	  9.24   	-111.90		
-13.73   	-131.84   	  8.79   	 -86.47		
-15.26   	-132.75   	  8.44   	 -96.64		
-16.78   	-133.67   	  8.06   	-111.90		
-18.31   	-133.97   	  7.61   	 -96.64		
-19.84   	-133.36   	  7.22   	 -96.64		
-21.36   	-132.45   	  6.84   	-101.73		
-22.28   	-131.23   	  6.43   	-101.73		
-22.28   	-130.31   	  6.02   	 -96.64		
-21.97   	-128.48   	  5.64   	-106.82		
-21.67   	-126.65   	  5.21   	-106.82		
-21.36   	-124.82   	  4.78   	 -96.64		
-21.36   	-123.90   	  4.39   	 -91.56		
-21.36   	-123.90   	  4.03   	 -86.47		
-21.67   	-125.12   	  3.68   	 -96.64		
-22.28   	-126.65   	  3.30   	-111.90		
-22.89   	-127.56   	  2.85   	-193.29		
-23.19   	-127.87   	  2.08   	-366.22		
-22.89   	-127.26   	  0.61   	-473.04		
-22.58   	-126.34   	 -1.28   	-350.97		
-21.97   	-125.12   	 -2.69   	-162.77		
-21.36   	-124.21   	 -3.34   	 -61.04		
-20.75   	-123.29   	 -3.58(D)	  40.69		
-20.75   	-122.99   	 -3.42   	 183.11		
-21.36   	-122.99   	 -2.69   	 254.32		
-22.58   	-124.21   	 -1.67   	 259.41		
-24.72   	-125.73   	 -0.63   	 264.50		
-26.86   	-127.26   	  0.43   	 264.50		
-27.77   	-127.87   	  1.49   	 320.45		
-27.77   	-127.26   	  2.77   	 325.53		
-26.55   	-125.12   	  4.07   	 127.16		
-25.63   	-122.68   	  4.58   	 142.42		
-25.33   	-121.46   	  5.15   	 157.68		
-25.94   	-121.46   	  5.78   	   0.00		
-27.16   	-122.07   	  5.78   	 -15.26		
-27.47   	-122.07   	  5.72   	  66.12		
-27.16   	-121.15   	  5.98   	   0.00		
-25.94   	-119.63   	  5.98   	  10.17		
-24.11   	-118.41   	  6.02   	  86.47		
-21.97   	-118.71   	  6.37   	  -5.09		
-20.75   	-119.32   	  6.35   	 -81.38		
-19.53   	-119.63   	  6.02   	 -45.78		
-18.92   	-118.10   	  5.84   	 -25.43		
-17.40   	-115.36   	  5.74   	 -25.43		
-15.87   	-111.69   	  5.64   	 -55.95		
-14.04   	-108.03   	  5.41   	 -71.21		
-12.51   	-105.90   	  5.13   	 -61.04		
-11.90   	-104.98   	  4.88   	 -55.95		
-12.21   	-105.59   	  4.66   	 -45.78		
-13.43   	-106.51   	  4.48   	 -45.78		
-14.95   	-106.81   	  4.29   	 -20.35		
-17.09   	-106.51   	  4.21   	  25.43		
-18.92   	-105.59   	  4.31   	  25.43		
-20.14   	-104.37   	  4.42   	  15.26		
-20.75   	-102.84   	  4.48   	  25.43		
-21.06   	-101.32   	  4.58   	  45.78		
-21.06   	-99.49   	  4.76   	  45.78		
-20.45   	-97.35   	  4.94   	  55.95		
-18.62   	-93.99   	  5.17   	  71.21		
-14.65   	-88.81   	  5.45   	  40.69		
 -8.24   	-80.57   	  5.62   	   0.00		
