SAMPLE NUMBER:   18
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  aR     	  RV     	  RV'		  DAO     	  DAO'		
-59.20   	 70.19   	 14.99   	-213.63		  0.45   	   0.00		
-61.04   	 65.00   	 14.14   	-198.37		  0.45   	   0.00		
-65.61   	 54.63   	 13.35   	-172.94		  0.45   	   0.00		
-69.58   	 38.15   	 12.66   	-147.51		  0.45   	   0.00		
-68.05   	 16.17   	 12.07   	-122.07		  0.45   	   0.00		
-55.54   	 -9.77   	 11.58   	 -91.56		  0.45   	   0.00		
-28.69   	-37.23   	 11.21   	 -71.21		  0.45   	   0.00		
 10.68   	-62.26   	 10.93   	 -40.69		  0.45   	   0.00		
 53.41   	-75.68   	 10.76   	 -15.26		  0.45   	   0.00		
 87.28   	-63.48   	 10.70   	  45.78		  0.45   	   0.00		
 89.72   	 85.75   	 10.89   	  55.95		  0.45   	   0.00		
 51.88   	210.57   	 11.11   	  71.21		  0.45   	   5.09		
 -3.36   	330.81   	 11.39   	  86.47		  0.47   	   0.00		
-65.92   	412.29   	 11.74   	 101.73		  0.47   	   0.00		
-125.12   	437.32   	 12.15   	 106.82		  0.47   	   0.00		
-169.68   	412.60   	 12.57   	 111.90		  0.47   	   0.00		
-193.79   	360.72   	 13.02   	 116.99		  0.47   	  -5.09		
-194.40(R)	304.26   	 13.49   	 111.90		  0.45   	   0.00		
-173.34   	252.69   	 13.94   	 111.90		  0.45   	   0.00		
-137.63   	205.38   	 14.38   	 106.82		  0.45   	   0.00		
-97.05   	159.91   	 14.81   	 101.73		  0.45   	   0.00		
-59.81   	114.75   	 15.22   	  91.56		  0.45   	   0.00		
-31.13   	 73.85   	 15.58   	  91.56		  0.45   	   0.00		
-12.21   	 40.28   	 15.95   	  81.38		  0.45   	   0.00		
 -1.22   	 14.65   	 16.28   	  81.38		  0.45   	   0.00		
  3.97   	 -3.97   	 16.60   	  81.38		  0.45   	   0.00		
  6.10   	-16.17   	 16.93   	  86.47		  0.45   	   0.00		
  6.71   	-21.67   	 17.27   	  96.64		  0.45   	   0.00		
  7.32   	-21.97   	 17.66   	 106.82		  0.45   	   0.00		
  7.93   	-19.84   	 18.09   	 122.07		  0.45   	   0.00		
  8.85   	-18.92   	 18.58   	 147.51		  0.45   	   0.00		
  9.77   	-21.06   	 19.17   	 167.85		  0.45   	   0.00		
 10.38   	-24.11   	 19.84   	 188.20		  0.45   	   0.00		
 10.38   	-26.55   	 20.59   	 213.63		  0.45   	   0.00		
 10.07   	-26.86   	 21.44   	 228.89		  0.45   	   0.00		
 10.38   	-26.25   	 22.36   	 254.32		  0.45   	   0.00		
 11.29   	-26.25   	 23.38   	 264.50		  0.45   	   0.00		
 12.82   	-27.77   	 24.44   	 274.67		  0.45   	   0.00		
 14.34   	-29.91   	 25.53   	 284.84		  0.45   	   0.00		
 14.95   	-31.43   	 26.67   	 284.84		  0.45   	   0.00		
 13.73   	-31.13   	 27.81   	 279.75		  0.45   	   0.00		
 11.90   	-29.30   	 28.93   	 274.67		  0.45   	   0.00		
 10.07   	-27.47   	 30.03   	 254.32		  0.45   	   0.00		
  9.77   	-28.08   	 31.05   	 244.15		  0.45   	   0.00		
 10.99   	-30.21   	 32.02   	 223.80		  0.45   	   0.00		
 12.51   	-33.26   	 32.92   	 198.37		  0.45   	   0.00		
 13.43   	-35.71   	 33.71   	 183.11		  0.45   	   0.00		
 12.82   	-36.32   	 34.45   	 157.68		  0.45   	   0.00		
 11.60   	-36.32   	 35.08   	 142.42		  0.45   	   0.00		
 10.07   	-36.93   	 35.65   	 122.07		  0.45   	   0.00		
  8.54   	-38.45   	 36.13   	 101.73		  0.45   	   0.00		
  6.41   	-39.67   	 36.54   	  96.64		  0.45   	   0.00		
  3.66   	-40.28   	 36.93   	  81.38		  0.45   	   0.00		
  0.92   	-39.98   	 37.25   	  76.30		  0.45   	   0.00		
 -0.92   	-40.59   	 37.56   	  71.21		  0.45   	   0.00		
 -0.92   	-42.42   	 37.84   	  66.12		  0.45   	   0.00		
 -0.31   	-45.17   	 38.11   	  66.12		  0.45   	   0.00		
  0.31   	-48.52   	 38.37   	  66.12		  0.45   	   0.00		
 -0.31   	-51.88   	 38.64   	  71.21		  0.45   	   0.00		
 -1.83   	-54.32   	 38.92   	  66.12		  0.45   	   0.00		
 -3.66   	-56.46   	 39.19   	  66.12		  0.45   	   0.00		
 -5.19   	-58.29   	 39.45   	  66.12		  0.45   	   0.00		
 -6.41   	-59.81   	 39.72   	  66.12		  0.45   	   0.00		
 -7.02   	-60.73   	 39.98   	  61.04		  0.45   	   0.00		
 -6.41   	-61.34   	 40.22   	  66.12		  0.45   	   0.00		
 -3.36   	-63.17   	 40.49   	  55.95		  0.45   	   0.00		
  4.58   	-66.83   	 40.71   	  50.86		  0.45   	   0.00		
 16.48   	-72.63   	 40.92   	  45.78		  0.45   	   0.00		
 29.30   	-79.65   	 41.10   	  40.69		  0.45   	   0.00		
 38.15   	-85.14   	 41.26   	  30.52		  0.45   	   0.00		
 39.98   	-88.20   	 41.38   	  25.43		  0.45   	   0.00		
 35.40   	-88.81   	 41.49   	  15.26		  0.45   	   0.00		
 27.47   	-86.98   	 41.55   	   5.09		  0.45   	   0.00		
 19.53   	-82.70   	 41.57(S)	  -5.09		  0.45   	   0.00		
 12.21   	-75.38   	 41.55   	 -15.26		  0.45   	   0.00		
  4.88   	-65.61   	 41.49   	 -25.43		  0.45   	   0.00		
 -1.22   	-55.54   	 41.38   	 -35.61		  0.45   	   0.00		
 -4.27   	-47.00   	 41.24   	 -45.78		  0.45   	   0.00		
 -2.14   	-42.42   	 41.06   	 -55.95		  0.45   	   0.00		
  3.97   	-40.28   	 40.83   	 -76.30		  0.45   	   0.00		
  9.16   	-39.06   	 40.53   	 -81.38		  0.45   	   0.00		
  9.16   	-35.40   	 40.20   	-101.73		  0.45   	   0.00		
  3.05   	-28.38   	 39.80   	-111.90		  0.45   	   0.00		
 -5.80   	-18.92   	 39.35   	-132.25		  0.45   	   0.00		
-11.90   	 -9.46   	 38.82   	-142.42		  0.45   	   0.00		
-12.51   	 -3.05   	 38.25   	-162.77		  0.45   	   0.00		
 -8.54   	  0.31   	 37.60   	-183.11		  0.45   	   0.00		
 -3.36   	  0.61   	 36.87   	-198.37		  0.45   	   0.00		
  1.53   	 -0.61   	 36.07   	-213.63		  0.45   	   0.00		
  5.19   	 -3.66   	 35.22   	-228.89		  0.45   	   0.00		
  8.24   	 -6.71   	 34.30   	-244.15		  0.45   	   0.00		
 10.68   	 -9.46   	 33.33   	-259.41		  0.45   	   0.00		
 12.51   	-10.99   	 32.29   	-269.58		  0.45   	   0.00		
 13.73   	-11.29   	 31.21   	-279.75		  0.45   	   0.00		
 14.04   	-10.38   	 30.09   	-284.84		  0.45   	   0.00		
 14.04   	 -9.46   	 28.95   	-295.01		  0.45   	   0.00		
 15.26   	 -9.46   	 27.77   	-289.93		  0.45   	   0.00		
 16.78   	-10.38   	 26.61   	-295.01		  0.45   	   0.00		
 18.92   	-12.21   	 25.43   	-284.84		  0.45   	   0.00		
 20.75   	-13.12   	 24.29   	-284.84		  0.45   	   0.00		
 20.45   	-13.73   	 23.15   	-274.67		  0.45   	   0.00		
 17.40   	-15.87   	 22.05   	-259.41		  0.45   	   0.00		
 11.60   	-22.28   	 21.02   	-244.15		  0.45   	   0.00		
  5.49   	-35.10   	 20.04   	-233.98		  0.45   	   0.00		
  4.27   	-55.54   	 19.10   	-213.63		  0.45   	   0.00		
 12.51   	-82.09   	 18.25   	-193.29		  0.45   	   0.00		
 33.26   	-112.00   	 17.48   	-178.03		  0.45   	   0.00		
 65.92   	-141.91   	 16.76   	-152.59		  0.45   	   0.00		
103.15   	-164.18   	 16.15   	-132.25		  0.45   	   0.00		
133.97   	-166.02   	 15.63   	-198.37		  0.45   	   0.00		
134.89(R)	-49.74   	 14.83   	 -66.12		  0.45   	   0.00		
 97.05   	 73.24   	 14.57   	 -45.78		  0.45   	   0.00		
 42.11   	209.05   	 14.38   	 -20.35		  0.45   	   5.09		
-17.40   	318.30   	 14.30(E)	  -5.09		  0.47   	   0.00		
-70.50   	372.01   	 14.28(D)	  10.17		  0.47   	   0.00		
-108.95   	366.21   	 14.32   	  25.43		  0.47   	  -5.09		
-130.00   	321.04   	 14.43   	  40.69		  0.45   	   0.00		
-132.14   	263.67   	 14.59   	  50.86		  0.45   	   0.00		
-114.44   	210.88   	 14.79   	  50.86		  0.45   	   0.00		
-77.51   	163.57   	 14.99   	  66.12		  0.45   	   0.00		
-28.08   	117.19   	 15.26   	  66.12		  0.45   	   0.00		
 24.11   	 69.89   	 15.52   	  71.21		  0.45   	   0.00		
 67.75   	 26.55   	 15.81   	  71.21		  0.45   	   0.00		
 97.05   	 -8.54   	 16.09   	  76.30		  0.45   	   0.00		
112.00   	-34.79   	 16.40   	  81.38		  0.45   	   0.00		
118.10   	-57.98   	 16.72   	  86.47		  0.45   	   0.00		
121.15   	-79.96   	 17.07   	  91.56		  0.45   	   0.00		
123.60   	-100.10   	 17.44   	 101.73		  0.45   	   0.00		
124.51   	-114.44   	 17.84   	 111.90		  0.45   	   0.00		
121.77   	-119.63   	 18.29   	 122.07		  0.45   	   0.00		
114.14   	-117.80   	 18.78   	 147.51		  0.45   	   0.00		
101.62   	-110.47   	 19.37   	 162.77		  0.45   	   0.00		
 86.67   	-100.71   	 20.02   	 183.11		  0.45   	   0.00		
 72.94   	-90.94   	 20.75   	 213.63		  0.45   	   0.00		
 63.48   	-83.62   	 21.61   	 239.06		  0.45   	   0.00		
 59.51   	-79.96   	 22.56   	 269.58		  0.45   	   0.00		
 59.51   	-79.96   	 23.64   	 289.93		  0.45   	   0.00		
 60.73   	-81.79   	 24.80   	 310.27		  0.45   	   0.00		
 61.65   	-83.92   	 26.04   	 330.62		  0.45   	   0.00		
 61.34   	-84.84   	 27.37   	 340.79		  0.45   	   0.00		
 60.42   	-85.14   	 28.73   	 345.88		  0.45   	   0.00		
 60.42   	-85.45   	 30.11   	 340.79		  0.45   	   0.00		
 60.73   	-86.06   	 31.47   	 335.71		  0.45   	   0.00		
 61.34   	-87.28   	 32.82   	 310.27		  0.45   	   0.00		
 61.95   	-88.81   	 34.06   	 295.01		  0.45   	   0.00		
 62.26   	-90.64   	 35.24   	 264.50		  0.45   	   0.00		
 62.26   	-92.16   	 36.30   	 228.89		  0.45   	   0.00		
 61.34   	-93.08   	 37.21   	 203.46		  0.45   	   0.00		
 59.81   	-93.69   	 38.03   	 172.94		  0.45   	   0.00		
 57.07   	-92.47   	 38.72   	 137.33		  0.45   	   0.00		
 54.02   	-91.55   	 39.27   	 111.90		  0.45   	   0.00		
 51.57   	-90.94   	 39.72   	  91.56		  0.45   	   0.00		
 49.74   	-91.55   	 40.08   	  76.30		  0.45   	   0.00		
 48.83   	-93.69   	 40.39   	  55.95		  0.45   	   0.00		
 47.30   	-95.21   	 40.61   	  50.86		  0.45   	   0.00		
 44.86   	-95.83   	 40.81   	  45.78		  0.45   	   0.00		
 41.20   	-95.52   	 41.00   	  40.69		  0.45   	   0.00		
 37.54   	-94.91   	 41.16   	  45.78		  0.45   	   0.00		
 34.48   	-94.91   	 41.34   	  45.78		  0.45   	   0.00		
 31.74   	-96.13   	 41.53   	  50.86		  0.45   	   0.00		
 29.30   	-97.35   	 41.73   	  55.95		  0.45   	   0.00		
 26.55   	-98.27   	 41.95   	  61.04		  0.45   	   5.09		
 23.80   	-99.18   	 42.20   	  61.04		  0.47   	   0.00		
 21.97   	-99.79   	 42.44   	  66.12		  0.47   	   0.00		
 22.58   	-101.93   	 42.71   	  66.12		  0.47   	   0.00		
 26.25   	-105.29   	 42.97   	  61.04		  0.47   	   0.00		
 33.26   	-109.86   	 43.21   	  61.04		  0.47   	   0.00		
 43.03   	-115.05   	 43.46   	  55.95		  0.47   	  -5.09		
 53.10   	-119.93   	 43.68   	  50.86		  0.45   	   0.00		
 59.81   	-122.99   	 43.89   	  40.69		  0.45   	   0.00		
 60.42   	-124.21   	 44.05   	  35.61		  0.45   	   0.00		
 55.24   	-123.29   	 44.19   	  20.35		  0.45   	   0.00		
 47.00   	-120.85   	 44.27   	  15.26		  0.45   	   0.00		
 37.84   	-116.58   	 44.33(S)	   0.00		  0.45   	   0.00		
 29.30   	-109.56   	 44.33   	 -10.17		  0.45   	   0.00		
 21.36   	-100.40   	 44.29   	 -20.35		  0.45   	   0.00		
 14.34   	-90.03   	 44.21   	 -35.61		  0.45   	   0.00		
 10.38   	-81.48   	 44.07   	 -45.78		  0.45   	   0.00		
 11.60   	-75.99   	 43.89   	 -66.12		  0.45   	   0.00		
 16.48   	-73.55   	 43.62   	 -76.30		  0.45   	   0.00		
 20.75   	-71.41   	 43.32   	-101.73		  0.45   	   0.00		
 20.45   	-67.44   	 42.91   	-116.99		  0.45   	   0.00		
 14.34   	-60.73   	 42.44   	-137.33		  0.45   	   0.00		
  5.80   	-51.57   	 41.89   	-157.68		  0.45   	   0.00		
  0.00   	-42.72   	 41.26   	-183.11		  0.45   	   0.00		
 -1.22   	-35.10   	 40.53   	-203.46		  0.45   	   0.00		
  1.83   	-29.60   	 39.72   	-223.80		  0.45   	   0.00		
  5.80   	-25.94   	 38.82   	-239.06		  0.45   	   0.00		
  8.85   	-24.11   	 37.86   	-259.41		  0.45   	   0.00		
 10.99   	-24.41   	 36.83   	-274.67		  0.45   	   0.00		
 13.12   	-25.94   	 35.73   	-284.84		  0.45   	   0.00		
 15.87   	-28.99   	 34.59   	-295.01		  0.45   	   0.00		
 18.31   	-30.82   	 33.41   	-300.10		  0.45   	   0.00		
 19.23   	-30.82   	 32.21   	-300.10		  0.45   	   0.00		
 18.62   	-28.99   	 31.01   	-305.19		  0.45   	   0.00		
 18.01   	-27.16   	 29.79   	-305.19		  0.45   	   0.00		
 18.92   	-26.86   	 28.57   	-300.10		  0.45   	   0.00		
 21.06   	-27.47   	 27.37   	-295.01		  0.45   	   0.00		
 23.50   	-28.08   	 26.19   	-289.93		  0.45   	   0.00		
 25.02   	-28.38   	 25.03   	-279.75		  0.45   	   0.00		
 24.11   	-28.69   	 23.91   	-269.58		  0.45   	   0.00		
 20.45   	-30.82   	 22.83   	-254.32		  0.45   	   0.00		
 14.65   	-37.54   	 21.81   	-244.15		  0.45   	   0.00		
  8.54   	-50.35   	 20.83   	-233.98		  0.45   	   0.00		
  6.10   	-69.58   	 19.90   	-213.63		  0.45   	   0.00		
 12.82   	-94.91   	 19.04   	-198.37		  0.45   	   0.00		
 32.35   	-124.82   	 18.25   	-178.03		  0.45   	   0.00		
 64.39   	-155.33   	 17.54   	-157.68		  0.45   	   0.00		
102.54   	-180.05   	 16.91   	-137.33		  0.45   	   0.00		
135.19   	-184.63   	 16.36   	-116.99		  0.45   	   0.00		
149.84   	-152.28   	 15.89   	-162.77		  0.45   	   0.00		
 99.79   	 54.63   	 15.24   	 -45.78		  0.45   	   0.00		
 41.81   	197.75   	 15.06   	 -25.43		  0.45   	   5.09		
-22.28   	317.08   	 14.95   	  -5.09		  0.47   	   0.00		
-80.57   	380.86   	 14.93(E)	  15.26		  0.47   	   0.00		
-125.12   	380.86   	 14.99   	  35.61		  0.47   	   0.00		
-151.37   	336.00   	 15.14   	  40.69		  0.47   	  -5.09		
-158.39(R)	274.96   	 15.30   	  55.95		  0.45   	   0.00		
-145.57   	218.51   	 15.52   	  55.95		  0.45   	   0.00		
-114.44   	170.29   	 15.75   	  66.12		  0.45   	   0.00		
-70.50   	124.51   	 16.01   	  66.12		  0.45   	   0.00		
-24.11   	 77.51   	 16.28   	  71.21		  0.45   	   0.00		
 14.34   	 32.96   	 16.56   	  71.21		  0.45   	   0.00		
 38.76   	 -3.66   	 16.85   	  71.21		  0.45   	   0.00		
 49.44   	-28.99   	 17.13   	  71.21		  0.45   	   0.00		
 51.27   	-44.56   	 17.42   	  76.30		  0.45   	   0.00		
 50.35   	-53.41   	 17.72   	  86.47		  0.45   	   0.00		
 49.44   	-58.29   	 18.07   	  91.56		  0.45   	   0.00		
 50.05   	-59.81   	 18.43   	 101.73		  0.45   	   0.00		
 51.27   	-59.51   	 18.84   	 116.99		  0.45   	   0.00		
 52.80   	-58.90   	 19.31   	 137.33		  0.45   	   0.00		
 53.71   	-59.81   	 19.86   	 162.77		  0.45   	   0.00		
 54.02   	-61.65   	 20.51   	 183.11		  0.45   	   0.00		
 53.41   	-62.87   	 21.24   	 213.63		  0.45   	   0.00		
 52.80   	-63.78   	 22.10   	 239.06		  0.45   	   0.00		
 52.80   	-64.70   	 23.05   	 269.58		  0.45   	   0.00		
 53.10   	-65.92   	 24.13   	 295.01		  0.45   	   0.00		
 53.71   	-66.83   	 25.31   	 315.36		  0.45   	   0.00		
 53.10   	-67.14   	 26.57   	 335.71		  0.45   	   0.00		
 51.88   	-66.83   	 27.91   	 345.88		  0.45   	   0.00		
 50.35   	-65.92   	 29.30   	 345.88		  0.45   	   0.00		
 49.74   	-66.22   	 30.68   	 340.79		  0.45   	   0.00		
 49.74   	-67.14   	 32.04   	 330.62		  0.45   	   0.00		
 50.35   	-68.36   	 33.37   	 315.36		  0.45   	   0.00		
 50.66   	-68.97   	 34.63   	 284.84		  0.45   	   0.00		
 49.74   	-68.66   	 35.77   	 254.32		  0.45   	   0.00		
 48.22   	-68.36   	 36.79   	 223.80		  0.45   	   0.00		
 45.78   	-67.75   	 37.68   	 193.29		  0.45   	   0.00		
 43.64   	-67.75   	 38.45   	 162.77		  0.45   	   0.00		
 41.81   	-68.36   	 39.10   	 132.25		  0.45   	   0.00		
 40.59   	-69.58   	 39.63   	 106.82		  0.45   	   0.00		
 40.28   	-71.11   	 40.06   	  91.56		  0.45   	   0.00		
 39.98   	-72.33   	 40.43   	  71.21		  0.45   	   0.00		
 39.06   	-73.55   	 40.71   	  61.04		  0.45   	   0.00		
 36.93   	-74.16   	 40.96   	  50.86		  0.45   	   0.00		
 33.57   	-74.16   	 41.16   	  45.78		  0.45   	   0.00		
 29.60   	-72.94   	 41.34   	  45.78		  0.45   	   0.00		
 26.25   	-71.72   	 41.53   	  50.86		  0.45   	   0.00		
 24.11   	-71.11   	 41.73   	  45.78		  0.45   	   0.00		
 22.89   	-71.72   	 41.91   	  45.78		  0.45   	   0.00		
 22.58   	-74.46   	 42.10   	  50.86		  0.45   	   0.00		
 21.36   	-77.51   	 42.30   	  55.95		  0.45   	   0.00		
 19.53   	-79.96   	 42.52   	  50.86		  0.45   	   0.00		
 17.40   	-81.48   	 42.73   	  45.78		  0.45   	   0.00		
 16.48   	-83.01   	 42.91   	  50.86		  0.45   	   0.00		
 18.62   	-84.84   	 43.11   	  40.69		  0.45   	   0.00		
 24.72   	-88.20   	 43.28   	  40.69		  0.45   	   0.00		
 35.10   	-93.99   	 43.44   	  35.61		  0.45   	   0.00		
 47.30   	-100.40   	 43.58   	  25.43		  0.45   	   0.00		
 57.07   	-106.51   	 43.68   	  20.35		  0.45   	   0.00		
 61.34   	-110.47   	 43.76   	  10.17		  0.45   	   0.00		
 59.51   	-111.69   	 43.80   	   5.09		  0.45   	   0.00		
 52.80   	-110.17   	 43.82(S)	 -10.17		  0.45   	   0.00		
 43.03   	-105.29   	 43.78   	 -10.17		  0.45   	   0.00		
 32.04   	-97.05   	 43.74   	 -25.43		  0.45   	   0.00		
 21.06   	-85.75   	 43.64   	 -35.61		  0.45   	   0.00		
 11.60   	-74.16   	 43.50   	 -45.78		  0.45   	   0.00		
  6.71   	-65.31   	 43.32   	 -61.04		  0.45   	   0.00		
  8.54   	-61.04   	 43.07   	 -71.21		  0.45   	   0.00		
 15.56   	-60.73   	 42.79   	 -86.47		  0.45   	   0.00		
 21.97   	-60.73   	 42.44   	 -96.64		  0.45   	   0.00		
 22.89   	-57.07   	 42.05   	-122.07		  0.45   	   0.00		
 17.40   	-49.74   	 41.57   	-132.25		  0.45   	   0.00		
  8.24   	-39.67   	 41.04   	-152.59		  0.45   	   0.00		
  0.61   	-29.91   	 40.43   	-172.94		  0.45   	   0.00		
 -1.22   	-22.58   	 39.74   	-188.20		  0.45   	   0.00		
  1.53   	-18.01   	 38.98   	-213.63		  0.45   	   0.00		
  7.02   	-16.48   	 38.13   	-223.80		  0.45   	   0.00		
 12.82   	-18.31   	 37.23   	-244.15		  0.45   	   0.00		
 18.31   	-21.67   	 36.26   	-264.50		  0.45   	   0.00		
 23.50   	-26.25   	 35.20   	-269.58		  0.45   	   0.00		
 28.38   	-30.21   	 34.12   	-284.84		  0.45   	   0.00		
 32.65   	-31.43   	 32.98   	-289.93		  0.45   	   0.00		
 36.62   	-30.52   	 31.82   	-300.10		  0.45   	   0.00		
 40.89   	-27.77   	 30.62   	-300.10		  0.45   	   0.00		
 46.69   	-25.33   	 29.42   	-305.19		  0.45   	   0.00		
 54.93   	-24.72   	 28.20   	-305.19		  0.45   	   0.00		
 64.09   	-24.11   	 26.98   	-300.10		  0.45   	   0.00		
 72.63   	-23.80   	 25.78   	-295.01		  0.45   	   0.00		
 79.04   	-24.11   	 24.60   	-289.93		  0.45   	   0.00		
 82.40   	-27.77   	 23.44   	-274.67		  0.45   	   0.00		
 82.40   	-37.23   	 22.34   	-259.41		  0.45   	   0.00		
 79.35   	-54.32   	 21.30   	-244.15		  0.45   	   0.00		
 74.46   	-79.04   	 20.33   	-223.80		  0.45   	   0.00		
 68.97   	-106.51   	 19.43   	-203.46		  0.45   	   0.00		
 66.83   	-132.45   	 18.62   	-183.11		  0.45   	   0.00		
 71.72   	-155.03   	 17.88   	-157.68		  0.45   	   0.00		
 86.06   	-173.65   	 17.25   	-132.25		  0.45   	   0.00		
108.03   	-187.07   	 16.72   	-106.82		  0.45   	  -5.09		
129.09   	-186.16   	 16.30   	 -81.38		  0.43   	   0.00		
138.85   	-155.94   	 15.97   	 -61.04		  0.43   	   0.00		
127.87   	-82.40   	 15.73   	 -40.69		  0.43   	   0.00		
 92.47   	 35.10   	 15.56   	 -20.35		  0.43   	   0.00		
 38.15   	175.48   	 15.48   	  -5.09		  0.43   	   5.09		
-23.50   	299.68   	 15.46(E)	  10.17		  0.45   	   0.00		
-81.79   	374.15   	 15.50   	  25.43		  0.45   	   0.00		
-128.17   	385.74   	 15.61   	  35.61		  0.45   	   0.00		
-158.39   	348.51   	 15.75   	  45.78		  0.45   	   0.00		
-170.59(R)	290.53   	 15.93   	  55.95		  0.45   	   0.00		
-163.57   	233.46   	 16.15   	  55.95		  0.45   	   0.00		
-136.72   	183.72   	 16.38   	  61.04		  0.45   	   0.00		
-94.91   	136.72   	 16.62   	  66.12		  0.45   	   0.00		
-47.91   	 88.81   	 16.89   	  66.12		  0.45   	   0.00		
 -7.02   	 42.11   	 17.15   	  66.12		  0.45   	   0.00		
 20.45   	  3.05   	 17.42   	  71.21		  0.45   	   0.00		
 33.57   	-25.33   	 17.70   	  66.12		  0.45   	   0.00		
 36.93   	-42.72   	 17.97   	  71.21		  0.45   	   0.00		
 36.32   	-53.41   	 18.25   	  76.30		  0.45   	   0.00		
 35.10   	-58.90   	 18.56   	  86.47		  0.45   	   0.00		
 34.48   	-61.04   	 18.90   	  91.56		  0.45   	   0.00		
 34.79   	-61.04   	 19.27   	 106.82		  0.45   	   0.00		
 36.32   	-61.34   	 19.69   	 122.07		  0.45   	   0.00		
 37.54   	-62.56   	 20.18   	 147.51		  0.45   	   0.00		
 38.45   	-64.39   	 20.77   	 178.03		  0.45   	   0.00		
 38.15   	-65.61   	 21.49   	 198.37		  0.45   	   0.00		
 36.62   	-65.61   	 22.28   	 233.98		  0.45   	   5.09		
 35.10   	-64.70   	 23.21   	 264.50		  0.47(S)	   0.00		
 33.87   	-64.39   	 24.27   	 284.84		  0.47   	   0.00		
 32.65   	-64.09   	 25.41   	 315.36		  0.47   	   0.00		
 31.43   	-63.78   	 26.67   	 325.53		  0.47   	   0.00		
 29.60   	-62.87   	 27.98   	 335.71		  0.47   	   0.00		
 27.77   	-61.65   	 29.32   	 340.79		  0.47   	   0.00		
 26.25   	-60.73   	 30.68   	 330.62		  0.47   	   0.00		
 25.63   	-60.42   	 32.00   	 320.45		  0.47   	   0.00		
 25.63   	-60.73   	 33.29   	 295.01		  0.47   	   0.00		
 26.25   	-61.65   	 34.47   	 274.67		  0.47   	   0.00		
 26.55   	-62.26   	 35.56   	 244.15		  0.47   	   0.00		
 25.94   	-62.56   	 36.54   	 218.72		  0.47   	   0.00		
 24.41   	-62.87   	 37.42   	 183.11		  0.47   	  -5.09		
 22.58   	-63.17   	 38.15   	 157.68		  0.45   	   0.00		
 20.45   	-63.48   	 38.78   	 132.25		  0.45   	   0.00		
 18.31   	-64.09   	 39.31   	 116.99		  0.45   	  -5.09		
 16.78   	-64.39   	 39.78   	  91.56		  0.43(D)	   0.00		
 16.17   	-65.31   	 40.14   	  81.38		  0.43   	   0.00		
 15.56   	-65.92   	 40.47   	  76.30		  0.43   	   0.00		
 14.65   	-66.83   	 40.77   	  66.12		  0.43   	   0.00		
 12.51   	-66.83   	 41.04   	  61.04		  0.43   	   0.00		
 10.07   	-66.83   	 41.28   	  66.12		  0.43   	   0.00		
  7.63   	-67.14   	 41.55   	  61.04		  0.43   	   0.00		
  6.10   	-68.36   	 41.79   	  66.12		  0.43   	   5.09		
