SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
236.21   	 55.24   	 44.92   	 244.15		 27.14   	  45.78		
266.72   	 58.59   	 45.90   	 233.98		 27.32   	  35.61		
276.79   	 64.09   	 46.84   	 233.98		 27.47   	  25.43		
252.08   	 67.44   	 47.77   	 233.98		 27.57   	   5.09		
231.32   	 81.18   	 48.71   	 218.72		 27.59(S)	  -5.09		
238.04   	 88.20   	 49.58   	 208.54		 27.57   	 -20.35		
263.37   	 81.79   	 50.42   	 218.72		 27.49   	 -25.43		
288.39   	 77.51   	 51.29   	 228.89		 27.39   	 -35.61		
289.00   	 69.89   	 52.21   	 239.06		 27.24   	 -45.78		
266.11   	 61.34   	 53.16   	 244.15		 27.06   	 -45.78		
230.10   	 56.46   	 54.14   	 228.89		 26.88   	 -45.78		
202.03   	 48.52   	 55.06   	 223.80		 26.69   	 -50.86		
189.21   	 31.74   	 55.95   	 223.80		 26.49   	 -45.78		
168.76   	 14.65   	 56.85   	 218.72		 26.31   	 -45.78		
123.60   	  2.14   	 57.72   	 228.89		 26.12   	 -45.78		
 60.73   	 -7.63   	 58.64   	 228.89		 25.94   	 -45.78		
  1.22   	-14.04   	 59.55   	 203.46		 25.76   	 -45.78		
-35.40   	-19.84   	 60.37   	 162.77		 25.57   	 -35.61		
-32.04   	-30.21   	 61.02   	 147.51		 25.43   	 -35.61		
 -5.80   	-44.86   	 61.61   	 137.33		 25.29   	 -50.86		
  7.02   	-58.29   	 62.16   	 111.90		 25.09   	 -40.69		
  0.31   	-65.92   	 62.60   	 106.82		 24.92   	 -91.56		
-39.67   	-69.58   	 63.03   	   5.09		 24.56   	 -55.95		
-56.15   	-69.27   	 63.05(S)	  -5.09		 24.33   	 -61.04		
-61.95   	-68.66   	 63.03   	 -25.43		 24.09   	 -66.12		
-72.33   	-69.58   	 62.93   	 -50.86		 23.82   	 -81.38		
-82.70   	-68.97   	 62.73   	 -61.04		 23.50   	 -91.56		
-81.48   	-61.34   	 62.48   	 -81.38		 23.13   	-111.90		
-81.79   	-62.87   	 62.16   	 -96.64		 22.69   	-127.16		
-77.82   	-64.39   	 61.77   	-111.90		 22.18   	-137.33		
-84.84   	-65.31   	 61.32   	-106.82		 21.63   	-178.03		
-97.35   	-63.17   	 60.89   	 -91.56		 20.92   	-218.72		
-107.73   	-62.26   	 60.53   	 -96.64		 20.04   	-239.06		
-101.62   	-61.65   	 60.14   	-127.16		 19.08   	-274.67		
-88.50   	-64.09   	 59.63   	-137.33		 17.99   	-335.71		
-86.98   	-72.63   	 59.08   	-122.07		 16.64   	-391.66		
-90.33   	-74.16   	 58.60   	-101.73		 15.08   	-391.66		
-104.37   	-71.11   	 58.19   	-101.73		 13.51   	-361.14		
-114.44   	-65.31   	 57.78   	-122.07		 12.07   	-361.14		
-95.83   	-57.37   	 57.29   	-142.42		 10.62   	-381.48		
-68.36   	-60.12   	 56.72   	-157.68		  9.09   	-345.88		
-56.46   	-61.65   	 56.09   	-142.42		  7.71   	-305.19		
-66.22   	-58.59   	 55.52   	-132.25		  6.49   	-289.93		
-86.36   	-60.42   	 54.99   	-147.51		  5.33   	-289.93		
-92.16   	-55.54   	 54.40   	-178.03		  4.17   	-289.93		
-77.51   	-54.32   	 53.69   	-203.46		  3.01   	-233.98		
-50.96   	-60.42   	 52.88   	-412.00		  2.08   	-289.93		
-44.56   	-64.70   	 51.23   	-203.46		  0.92   	-116.99		
-66.53   	-63.48   	 50.42   	-203.46		  0.45   	 -86.47		
-80.57   	-61.95   	 49.60   	-218.72		  0.10   	 -40.69		
-80.57   	-61.04   	 48.73   	-244.15		 -0.06   	 -15.26		
-68.97   	-58.90   	 47.75   	-233.98		 -0.12   	 -10.17		
-56.15   	-57.37   	 46.82   	-172.94		 -0.16(D)	   0.00		
-47.00   	-54.93   	 46.12   	-122.07		 -0.16   	  10.17		
-36.01   	-52.19   	 45.64   	-101.73		 -0.12   	  30.52		
-37.54   	-54.32   	 45.23   	 -76.30		  0.00   	  25.43		
-47.61   	-49.13   	 44.92   	 -45.78		  0.10   	  30.52		
-53.10   	-43.64   	 44.74   	 -20.35		  0.22   	  45.78		
-54.63   	-43.64   	 44.66   	 -10.17		  0.41   	  45.78		
-51.27   	-39.98   	 44.62   	 -15.26		  0.59   	  50.86		
-42.72   	-41.81   	 44.56   	 -30.52		  0.79   	  71.21		
-40.59   	-47.00   	 44.44   	 -45.78		  1.08   	 122.07		
-45.78   	-43.33   	 44.25   	 -81.38		  1.57   	 111.90		
-51.88   	-39.06   	 43.93   	 -86.47		  2.01   	  35.61		
-48.83   	-39.67   	 43.58   	 -81.38		  2.16   	  40.69		
-41.50   	-37.54   	 43.26   	 -81.38		  2.32   	 101.73		
-36.93   	-32.35   	 42.93   	 -91.56		  2.73   	 101.73		
-35.10   	-23.19   	 42.56   	 -96.64		  3.13   	  55.95		
-31.13   	-10.99   	 42.18   	 -91.56		  3.36   	  45.78		
-18.31   	  7.02   	 41.81   	 -76.30		  3.54   	  50.86		
  6.41   	 27.77   	 41.51   	 -55.95		  3.74   	  40.69		
 51.27   	 43.95   	 41.28   	 -55.95		  3.91   	  15.26		
109.86   	 63.78   	 41.06   	 -71.21		  3.97   	 -10.17		
146.48   	 79.65   	 40.77   	 -50.86		  3.93   	 -15.26		
177.61   	 85.14   	 40.57   	 -40.69		  3.87   	 -25.43		
202.03   	 88.81   	 40.41   	 -35.61		  3.76   	 -30.52		
213.93   	 96.13   	 40.26   	 -35.61		  3.64   	 -30.52		
227.66   	 85.75   	 40.12   	 -15.26		  3.52   	 -30.52		
223.39   	 69.27   	 40.06   	 -10.17		  3.40   	 -30.52		
177.92   	 43.03   	 40.02   	 -10.17		  3.28   	 -20.35		
 99.79   	  1.22   	 39.98   	 -25.43		  3.19   	 -20.35		
 29.60   	-20.45   	 39.88   	 -30.52		  3.11   	  -5.09		
-16.78   	-36.32   	 39.76   	 -25.43		  3.09   	   0.00		
-36.01   	-45.78   	 39.65   	 -35.61		  3.09   	  10.17		
-25.63   	-48.22   	 39.51   	 -40.69		  3.13   	  15.26		
-30.21   	-60.42   	 39.35   	 -45.78		  3.19   	  20.35		
-44.56   	-65.61   	 39.17   	 -45.78		  3.28   	  25.43		
-50.96   	-61.34   	 38.98   	 -45.78		  3.38   	  25.43		
-54.32   	-61.34   	 38.80   	 -40.69		  3.48   	  25.43		
-38.45   	-57.68   	 38.64   	 -40.69		  3.58   	  25.43		
-22.89   	-58.90   	 38.47   	 -35.61		  3.68   	  25.43		
-29.91   	-64.39   	 38.33   	 -25.43		  3.78   	  25.43		
-56.76   	-56.46   	 38.23   	 -25.43		  3.89   	  15.26		
-90.94   	-48.22   	 38.13   	 -30.52		  3.95   	  20.35		
-105.59   	-39.06   	 38.01   	 -40.69		  4.03   	  20.35		
-96.13   	-34.18   	 37.84   	 -40.69		  4.11   	  15.26		
-66.53   	-37.54   	 37.68   	 -30.52		  4.17   	  15.26		
-41.50   	-43.33   	 37.56   	 -20.35		  4.23   	  20.35		
-43.03   	-44.86   	 37.48   	 -20.35		  4.31   	  15.26		
-61.95   	-38.76   	 37.40   	 -25.43		  4.37   	  20.35		
-65.61   	-17.40   	 37.29   	 -40.69		  4.46   	  30.52		
 15.87   	103.76   	 37.13   	 -35.61		  4.58   	  30.52		
271.00   	296.33   	 36.99   	 -15.26		  4.70   	  25.43		
575.56   	579.22   	 36.93   	   0.00		  4.80   	  30.52		
775.15   	1012.27   	 36.93   	 -20.35		  4.92   	  35.61		
526.73   	1336.06(R)	 36.85   	 -96.64		  5.07(E)	  86.47		
-653.99   	794.37   	 36.46   	 -35.61		  5.41   	  40.69		
-1051.94   	157.78   	 36.32   	  -5.09		  5.57   	  35.61		
-1011.96   	-464.17   	 36.30   	   0.00		  5.72   	  30.52		
-667.72   	-546.26   	 36.30   	 -10.17		  5.84   	  25.43		
-511.47   	-381.77   	 36.26   	 -40.69		  5.94   	  20.35		
-456.85   	-149.54   	 36.09   	 -50.86		  6.02   	  20.35		
-395.51   	-36.62   	 35.89   	 -35.61		  6.10   	  10.17		
-258.48   	-25.02   	 35.75   	 -10.17		  6.14   	  10.17		
-137.02   	-58.59   	 35.71   	   5.09		  6.19   	  15.26		
-56.76   	-112.30   	 35.73   	  -5.09		  6.25   	  20.35		
-25.02   	-82.09   	 35.71   	 -35.61		  6.33   	  45.78		
-54.02   	-72.02   	 35.56   	 -40.69		  6.51   	  61.04		
-68.66   	-93.69   	 35.40   	 -20.35		  6.75   	  81.38		
-53.71   	-108.03   	 35.32   	   0.00		  7.08   	  91.56		
-54.93   	-92.16   	 35.32   	   5.09		  7.45   	 106.82		
-73.55   	-81.18   	 35.34   	 -15.26		  7.87   	 122.07		
-72.33   	-86.06   	 35.28   	 -45.78		  8.36   	 127.16		
-43.33   	-92.47   	 35.10   	 -35.61		  8.87   	 137.33		
-42.11   	-89.72   	 34.95   	 -20.35		  9.42   	 157.68		
-76.90   	-80.87   	 34.87   	 -15.26		 10.05   	 203.46		
-121.77   	-76.60   	 34.81   	 -30.52		 10.86   	 249.24		
-139.47   	-69.89   	 34.69   	 -35.61		 11.86   	 310.27		
-125.43   	-59.51   	 34.55   	 -20.35		 13.10   	 366.22		
-93.08   	-54.93   	 34.47   	   0.00		 14.57   	 366.22		
-62.56   	-58.59   	 34.47   	 -10.17		 16.03   	 732.45		
-51.57   	-63.48   	 34.43   	 -10.17		 18.96   	 361.14		
-66.53   	-61.34   	 34.38   	 -30.52		 20.41   	 345.88		
-73.55   	-55.54   	 34.26   	 -35.61		 21.79   	 310.27		
-57.98   	-50.66   	 34.12   	 -10.17		 23.03   	 259.41		
-24.41   	-49.13   	 34.08   	  -5.09		 24.07   	 208.54		
 -3.66   	-49.13   	 34.06   	 -25.43		 24.90   	 172.94		
 -9.16   	-47.30   	 33.96   	 -30.52		 25.60   	 152.59		
-28.38   	-39.67   	 33.84   	 -10.17		 26.21   	 157.68		
-41.50   	-31.43   	 33.79   	 -10.17		 26.84   	 127.16		
-33.87   	-26.55   	 33.75   	 -10.17		 27.34   	  50.86		
  0.31   	-24.11   	 33.71   	 -10.17		 27.55   	  20.35		
 29.91   	-25.02   	 33.67   	 -10.17		 27.63   	  25.43		
 36.01   	-26.86   	 33.63(D)	   0.00		 27.73   	  -5.09		
 33.26   	-18.92   	 33.63   	  10.17		 27.71   	 -45.78		
 21.97   	-14.65   	 33.67   	  10.17		 27.53   	 -50.86		
 26.55   	-11.90   	 33.71   	  25.43		 27.32   	 -30.52		
 47.00   	 -4.88   	 33.81   	  45.78		 27.20   	 -30.52		
 72.94   	 -4.27   	 34.00   	  71.21		 27.08   	 -30.52		
102.23   	  3.05   	 34.28   	 116.99		 26.96   	  -5.09		
125.73   	 12.21   	 34.75   	 172.94		 26.94   	  10.17		
146.18   	 16.48   	 35.44   	 233.98		 26.98   	  25.43		
153.20   	 24.41   	 36.38   	 279.75		 27.08   	  45.78		
144.96   	 34.79   	 37.50   	 325.53		 27.26   	  45.78		
132.45   	 48.22   	 38.80   	 340.79		 27.45   	  66.12		
126.65   	 64.39   	 40.16   	 661.24		 27.71   	 137.33		
172.73   	 86.36   	 42.81   	 300.10		 28.26   	  66.12		
198.06   	 88.81   	 44.01   	 300.10		 28.52   	  61.04		
212.71   	 94.91   	 45.21   	 295.01		 28.77   	  50.86		
222.78   	 96.13   	 46.39   	 264.50		 28.97   	  45.78		
230.41   	100.10   	 47.45   	 213.63		 29.16   	  35.61		
254.21   	107.12   	 48.30   	 203.46		 29.30   	  20.35		
285.95   	104.37   	 49.11   	 208.54		 29.38   	   0.00		
315.55   	101.93   	 49.95   	 218.72		 29.38   	   5.09		
333.86   	 99.49   	 50.82   	 254.32		 29.40(S)	  -5.09		
323.79   	 95.21   	 51.84   	 274.67		 29.38   	 -30.52		
294.19   	 94.91   	 52.94   	 264.50		 29.26   	 -25.43		
259.09   	 96.74   	 54.00   	 208.54		 29.16   	 -20.35		
226.44   	 97.96   	 54.83   	 183.11		 29.07   	 -30.52		
198.97   	 90.94   	 55.56   	 233.98		 28.95   	 -40.69		
176.70   	 79.96   	 56.50   	 289.93		 28.79   	 -35.61		
154.42   	 67.44   	 57.66   	 295.01		 28.65   	 -30.52		
123.29   	 44.86   	 58.84   	 244.15		 28.52   	 -35.61		
 94.60   	 27.77   	 59.82   	 213.63		 28.38   	 -35.61		
 75.38   	 11.60   	 60.67   	 213.63		 28.24   	 -50.86		
 58.59   	 -8.85   	 61.53   	 203.46		 28.04   	 -40.69		
 32.96   	-24.11   	 62.34   	 167.85		 27.87   	 -35.61		
 14.65   	-32.96   	 63.01   	 132.25		 27.73   	 -40.69		
  1.22   	-41.20   	 63.54   	 106.82		 27.57   	 -50.86		
-10.38   	-47.00   	 63.97   	  91.56		 27.37   	 -40.69		
-11.90   	-43.64   	 64.33   	  50.86		 27.20   	 -81.38		
 -2.75   	-42.42   	 64.54(S)	 -55.95		 26.88   	 -50.86		
  1.53   	-36.01   	 64.31   	 -71.21		 26.67   	 -50.86		
  9.16   	-33.57   	 64.03   	 -55.95		 26.47   	 -66.12		
  9.46   	-36.01   	 63.80   	 -45.78		 26.21   	 -76.30		
  6.71   	-30.21   	 63.62   	 -96.64		 25.90   	 -86.47		
 -0.92   	-29.30   	 63.23   	-142.42		 25.55   	-116.99		
 -8.54   	-30.82   	 62.67   	-132.25		 25.09   	-132.25		
 -3.36   	-25.63   	 62.14   	-106.82		 24.56   	-152.59		
  3.36   	-25.63   	 61.71   	 -86.47		 23.95   	-183.11		
  8.24   	-23.80   	 61.36   	 -71.21		 23.21   	-218.72		
 12.51   	-17.09   	 61.08   	 -91.56		 22.34   	-259.41		
  7.32   	-17.09   	 60.71   	-111.90		 21.30   	-289.93		
  1.22   	-12.51   	 60.26   	-122.07		 20.14   	-345.88		
 -2.44   	 -9.77   	 59.78   	-111.90		 18.76   	-396.74		
 -7.63   	-12.21   	 59.33   	-106.82		 17.17   	-406.92		
-12.21   	 -9.77   	 58.90   	 -86.47		 15.54   	-350.97		
-22.58   	-12.82   	 58.56   	 -86.47		 14.14   	-335.71		
-38.76   	-15.56   	 58.21   	-132.25		 12.80   	-386.57		
-40.89   	-16.17   	 57.68   	-172.94		 11.25   	-366.22		
-36.01   	-16.78   	 56.99   	-172.94		  9.79   	-310.27		
-33.57   	-20.45   	 56.30   	-152.59		  8.55   	-315.36		
-24.41   	-18.92   	 55.69   	-152.59		  7.28   	-335.71		
-25.02   	-18.92   	 55.08   	-183.11		  5.94   	-289.93		
-33.26   	-25.94   	 54.34   	-183.11		  4.78   	-213.63		
-33.87   	-22.58   	 53.61   	-442.52		  3.93   	-340.79		
-26.25   	-25.94   	 51.84   	-223.80		  2.56   	-111.90		
-20.14   	-18.62   	 50.95   	-147.51		  2.12   	 -50.86		
-22.58   	-23.19   	 50.36   	-193.29		  1.91   	 -25.43		
-33.87   	-27.47   	 49.58   	-320.45		  1.81(D)	   5.09		
-49.44   	-28.99   	 48.30   	-274.67		  1.83   	  66.12		
-56.76   	-32.96   	 47.20   	-101.73		  2.10   	  66.12		
-49.74   	-36.01   	 46.80   	 -50.86		  2.36   	  40.69		
-27.47   	-35.40   	 46.59   	-101.73		  2.52   	  40.69		
 -9.46   	-41.50   	 46.18   	-116.99		  2.69   	  35.61		
 -9.46   	-48.22   	 45.72   	 -91.56		  2.83   	  10.17		
-23.50   	-41.81   	 45.35   	 -25.43		  2.87   	   5.09		
-39.06   	-33.57   	 45.25   	   0.00		  2.89   	   5.09		
-40.59   	-22.58   	 45.25   	   5.09		  2.91   	 -15.26		
-27.16   	-11.29   	 45.27   	  40.69		  2.85   	  -5.09		
-10.68   	 -5.49   	 45.43   	 -15.26		  2.83   	  25.43		
 -1.53   	 -0.61   	 45.37   	-111.90		  2.93   	  30.52		
 -7.02   	  4.88   	 44.92   	-137.33		  3.05   	  25.43		
-13.73   	 14.04   	 44.37   	 -50.86		  3.15   	  45.78		
-14.34   	 21.06   	 44.17   	  10.17		  3.34   	  45.78		
-16.17   	 23.19   	 44.21   	 -96.64		  3.52   	  25.43		
-11.60   	 33.87   	 43.82   	-178.03		  3.62   	  91.56		
 -3.36   	 50.05   	 43.11   	-147.51		  3.99   	  91.56		
  3.66   	 61.04   	 42.52   	 -86.47		  4.35   	  35.61		
 29.91   	 81.18   	 42.18   	 -71.21		  4.50   	  61.04		
 66.22   	103.76   	 41.89   	 -96.64		  4.74   	  96.64		
105.29   	115.05   	 41.51   	 -86.47		  5.13   	  86.47		
157.78   	125.43   	 41.16   	 -50.86		  5.47   	  76.30		
177.92   	135.80   	 40.96   	   0.00		  5.78   	  76.30		
190.12   	126.65   	 40.96   	  45.78		  6.08   	  61.04		
195.92   	135.19   	 41.14   	  20.35		  6.33   	  35.61		
173.65   	150.15   	 41.22   	 -35.61		  6.47   	  15.26		
152.89   	145.57   	 41.08   	 -40.69		  6.53   	  -5.09		
128.78   	141.60   	 40.92   	 -45.78		  6.51   	 -50.86		
 85.14   	112.30   	 40.73   	 -71.21		  6.31   	 -71.21		
 51.88   	 73.85   	 40.45   	 -40.69		  6.02   	 -71.21		
 42.72   	 60.73   	 40.28   	  20.35		  5.74   	 -76.30		
 34.79   	 48.22   	 40.37   	 -30.52		  5.43   	 -91.56		
 24.11   	 40.89   	 40.24   	-137.33		  5.07   	 -81.38		
  6.71   	 38.76   	 39.69   	-259.41		  4.74   	 -40.69		
-25.02   	 32.04   	 38.66   	-325.53		  4.58   	   5.09		
-35.10   	 32.35   	 37.35   	-116.99		  4.60   	 -15.26		
-31.43   	 39.37   	 36.89   	 239.06		  4.54   	 -40.69		
-21.06   	 41.81   	 37.84   	 386.57		  4.37   	   0.00		
 -7.93   	 39.37   	 39.39   	 208.54		  4.37   	  40.69		
-17.09   	 34.18   	 40.22   	 -66.12		  4.54   	   0.00		
-28.69   	 31.43   	 39.96   	-106.82		  4.54   	 -35.61		
-30.82   	 28.69   	 39.53   	  10.17		  4.39   	   0.00		
-21.06   	 27.16   	 39.57   	 -55.95		  4.39   	  35.61		
-12.82   	 23.50   	 39.35   	-137.33		  4.54   	  20.35		
-17.09   	 18.31   	 38.80   	-106.82		  4.62   	   5.09		
-34.18   	 12.82   	 38.37   	-122.07		  4.64   	  35.61		
-57.07   	 13.43   	 37.88   	 -76.30		  4.78   	  61.04		
-71.41   	 19.53   	 37.58   	 111.90		  5.03   	  45.78		
-55.24   	 29.30   	 38.03   	 157.68		  5.21   	  55.95		
  7.32   	116.58   	 38.66   	 -35.61		  5.43   	  66.12		
189.82   	285.64   	 38.51   	-152.59		  5.70   	  40.69		
426.33   	539.86   	 37.90   	-127.16		  5.86   	  20.35		
618.90   	928.34   	 37.40   	-101.73		  5.94   	  40.69		
542.91   	1362.61(R)	 36.99   	  30.52		  6.10(E)	  61.04		
-479.13   	973.82   	 37.11   	  66.12		  6.35   	 -10.17		
-875.55   	423.28   	 37.38   	 -50.86		  6.31   	  30.52		
-992.13   	-304.57   	 37.17   	-152.59		  6.43   	  45.78		
-720.21   	-562.44   	 36.56   	-127.16		  6.61   	  10.17		
-509.03   	-392.76   	 36.05   	  -5.09		  6.65   	  20.35		
-425.72   	-151.67   	 36.03   	  81.38		  6.73   	  55.95		
-351.26   	 13.43   	 36.36   	  76.30		  6.96   	  35.61		
-216.67   	 21.97   	 36.66   	 -61.04		  7.10   	   5.09		
-85.75   	-12.51   	 36.42   	-116.99		  7.12   	  20.35		
-27.16   	-98.57   	 35.95   	  35.61		  7.20   	  45.78		
