SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LFA     	  LFA'		  RV     	  RV'		
 57.98   	 50.35   	 26.14   	 -25.43		 10.46   	  35.61		
-52.80   	-36.93   	 26.04   	 -25.43		 10.60   	  40.69		
-96.44   	-97.66   	 25.94   	 -25.43		 10.76   	  45.78		
-65.00   	-95.52   	 25.84   	 -20.35		 10.95   	  50.86		
-10.38   	-58.90   	 25.76   	 -25.43		 11.15   	  61.04		
 18.62   	-30.82   	 25.66   	 -20.35		 11.39   	  76.30		
 11.90   	-28.99   	 25.57   	 -20.35		 11.70   	  91.56		
 -8.85   	-42.11   	 25.49   	 -15.26		 12.07   	 111.90		
-21.36   	-53.71   	 25.43   	 -20.35		 12.51   	 127.16		
-19.53   	-56.76   	 25.35   	 -15.26		 13.02   	 147.51		
 -9.46   	-52.49   	 25.29   	 -20.35		 13.61   	 157.68		
 -0.61   	-45.78   	 25.21   	 -15.26		 14.24   	 157.68		
  3.05   	-40.28   	 25.15   	 -20.35		 14.87   	 147.51		
  2.44   	-38.45   	 25.07   	 -20.35		 15.46   	 157.68		
  0.92   	-39.98   	 24.98   	 -20.35		 16.09   	 203.46		
  1.22   	-41.20   	 24.90   	 -15.26		 16.91   	 213.63		
  3.66   	-40.59   	 24.84   	 -25.43		 17.76   	 208.54		
  6.10   	-38.45   	 24.74   	 -20.35		 18.60   	 208.54		
  7.63   	-36.01   	 24.66   	 -20.35		 19.43   	 422.18		
  7.63   	-33.87   	 24.58   	 -25.43		 21.12   	 213.63		
  7.32   	-32.96   	 24.48   	 -20.35		 21.97   	 223.80		
  7.32   	-31.13   	 24.39   	 -15.26		 22.87   	 228.89		
  7.63   	-28.99   	 24.33   	 -20.35		 23.78   	 228.89		
  8.54   	-26.25   	 24.25   	 -15.26		 24.70   	 223.80		
  9.46   	-23.19   	 24.19   	 -15.26		 25.60   	 223.80		
 10.38   	-20.14   	 24.13   	  -5.09		 26.49   	 254.32		
 10.99   	-17.70   	 24.11   	   0.00		 27.51   	 269.58		
 11.29   	-15.56   	 24.11   	  10.17		 28.59   	 223.80		
 11.60   	-13.73   	 24.15   	  20.35		 29.48   	 167.85		
 11.29   	-11.90   	 24.23   	  35.61		 30.15   	 152.59		
 11.60   	 -9.46   	 24.37   	  50.86		 30.76   	 132.25		
 11.60   	 -6.41   	 24.58   	  66.12		 31.29   	 106.82		
 11.60   	 -2.75   	 24.84   	  91.56		 31.72   	 101.73		
 10.99   	  0.61   	 25.21   	 111.90		 32.13   	  91.56		
  9.77   	  3.05   	 25.66   	 132.25		 32.49   	  71.21		
  9.16   	  5.19   	 26.19   	 157.68		 32.78   	  71.21		
  9.46   	  7.02   	 26.82   	 178.03		 33.06   	  71.21		
 10.38   	  8.85   	 27.53   	 198.37		 33.35   	  61.04		
 10.99   	 10.38   	 28.32   	 218.72		 33.59   	  66.12		
 10.68   	 10.99   	 29.20   	 233.98		 33.86   	  76.30		
  9.46   	 10.99   	 30.13   	 244.15		 34.16   	  76.30		
  7.93   	 10.38   	 31.11   	 259.41		 34.47   	  71.21		
  6.71   	 10.68   	 32.15   	 269.58		 34.75   	  81.38		
  6.41   	 11.29   	 33.22   	 315.36		 35.08   	 152.59		
  5.19   	 13.43   	 34.49   	 315.36		 35.69   	  81.38		
  3.66   	 14.34   	 35.75   	 315.36		 36.01   	  76.30		
  1.53   	 15.56   	 37.01   	 310.27		 36.32   	  71.21		
 -0.31   	 17.09   	 38.25   	 305.19		 36.60   	  71.21		
 -1.53   	 19.23   	 39.47   	 295.01		 36.89   	  71.21		
 -2.44   	 21.97   	 40.65   	 284.84		 37.17   	  61.04		
 -2.75   	 24.41   	 41.79   	 279.75		 37.42   	  61.04		
 -3.05   	 26.25   	 42.91   	 259.41		 37.66   	  55.95		
 -3.66   	 28.08   	 43.95   	 249.24		 37.88   	  50.86		
 -4.27   	 30.21   	 44.94   	 233.98		 38.09   	  50.86		
 -5.49   	 33.26   	 45.88   	 213.63		 38.29   	  40.69		
 -6.71   	 37.84   	 46.73   	 193.29		 38.45   	  35.61		
 -8.24   	 43.03   	 47.51   	 183.11		 38.60   	  35.61		
 -9.46   	 47.61   	 48.24   	 157.68		 38.74   	  30.52		
-11.29   	 51.57   	 48.87   	 142.42		 38.86   	  20.35		
-13.43   	 54.93   	 49.44   	 127.16		 38.94   	  20.35		
-15.56   	 59.20   	 49.95   	 101.73		 39.02   	   5.09		
-17.70   	 64.70   	 50.36   	  91.56		 39.04   	   5.09		
-18.92   	 70.80   	 50.72   	  71.21		 39.06   	   5.09		
-19.23   	 78.13   	 51.01   	  55.95		 39.08(S)	  -5.09		
-18.01   	 86.67   	 51.23   	  45.78		 39.06   	 -10.17		
-14.95   	 97.35   	 51.41   	  25.43		 39.02   	 -15.26		
-10.38   	109.86   	 51.52   	  20.35		 38.96   	 -20.35		
 -3.97   	122.99   	 51.60   	   5.09		 38.88   	 -30.52		
  3.36   	134.28   	 51.62(S)	 -15.26		 38.76   	 -81.38		
 18.62   	140.69   	 51.56   	 -20.35		 38.43   	 -50.86		
 25.94   	134.28   	 51.47   	 -30.52		 38.23   	 -61.04		
 31.43   	122.07   	 51.35   	 -40.69		 37.99   	 -71.21		
 34.48   	105.59   	 51.19   	 -45.78		 37.70   	 -86.47		
 34.79   	 86.36   	 51.01   	 -50.86		 37.35   	 -96.64		
 32.35   	 67.44   	 50.80   	 -61.04		 36.97   	-116.99		
 29.30   	 50.05   	 50.56   	 -61.04		 36.50   	-137.33		
 26.86   	 35.40   	 50.32   	 -71.21		 35.95   	-157.68		
 25.63   	 23.80   	 50.03   	 -76.30		 35.32   	-183.11		
 25.94   	 14.34   	 49.73   	 -81.38		 34.59   	-213.63		
 26.25   	  7.02   	 49.40   	 -81.38		 33.73   	-239.06		
 26.25   	  0.61   	 49.07   	 -86.47		 32.78   	-264.50		
 24.72   	 -4.88   	 48.73   	 -96.64		 31.72   	-274.67		
 22.89   	 -9.16   	 48.34   	 -96.64		 30.62   	-295.01		
 21.36   	-12.21   	 47.96   	-106.82		 29.44   	-325.53		
 20.45   	-14.04   	 47.53   	-111.90		 28.14   	-345.88		
 20.75   	-14.65   	 47.08   	-116.99		 26.75   	-350.97		
 21.06   	-14.95   	 46.61   	-132.25		 25.35   	-371.31		
 21.06   	-15.26   	 46.08   	-137.33		 23.87   	-371.31		
 21.36   	-15.56   	 45.53   	-152.59		 22.38   	-356.05		
 21.67   	-15.56   	 44.92   	-167.85		 20.96   	-350.97		
 22.89   	-14.34   	 44.25   	-172.94		 19.55   	-345.88		
 24.41   	-12.51   	 43.56   	-188.20		 18.17   	-335.71		
 25.94   	-10.38   	 42.81   	-188.20		 16.83   	-315.36		
 26.25   	 -9.77   	 42.05   	-193.29		 15.56   	-295.01		
 25.94   	-10.07   	 41.28   	-188.20		 14.38   	-264.50		
 25.33   	-11.29   	 40.53   	-178.03		 13.33   	-244.15		
 25.33   	-12.21   	 39.82   	-162.77		 12.35   	-213.63		
 26.25   	-12.21   	 39.17   	-152.59		 11.50   	-188.20		
 27.16   	-12.21   	 38.56   	-132.25		 10.74   	-167.85		
 27.47   	-12.21   	 38.03   	-127.16		 10.07   	-142.42		
 26.55   	-12.51   	 37.52   	-111.90		  9.50   	-116.99		
 25.02   	-12.51   	 37.07   	-101.73		  9.03   	 -91.56		
 23.80   	-11.60   	 36.66   	 -86.47		  8.67   	 -71.21		
 23.80   	-10.07   	 36.32   	 -86.47		  8.38   	 -45.78		
 24.41   	 -9.16   	 35.97   	 -76.30		  8.20   	 -30.52		
 25.02   	 -8.85   	 35.67   	 -76.30		  8.08   	 -10.17		
 25.63   	 -9.46   	 35.36   	 -66.12		  8.04(D)	   5.09		
 25.33   	-10.07   	 35.10   	 -71.21		  8.06   	  20.35		
 24.72   	-10.68   	 34.81   	 -61.04		  8.14   	  35.61		
 24.41   	-10.99   	 34.57   	 -66.12		  8.28   	  40.69		
 24.41   	-10.99   	 34.30   	 -61.04		  8.44   	  30.52		
 24.72   	-10.07   	 34.06   	 -66.12		  8.57   	  15.26		
 25.02   	 -9.16   	 33.79   	 -61.04		  8.63   	  15.26		
 25.02   	 -8.24   	 33.55   	 -61.04		  8.69   	  10.17		
 24.72   	 -7.93   	 33.31   	 -61.04		  8.73   	   5.09		
 23.80   	 -8.54   	 33.06   	 -50.86		  8.75   	  15.26		
 22.89   	 -9.46   	 32.86   	 -55.95		  8.81   	  20.35		
 21.97   	-10.68   	 32.63   	 -50.86		  8.89   	  30.52		
 21.36   	-11.60   	 32.43   	 -45.78		  9.01   	  40.69		
 20.75   	-12.51   	 32.25   	 -45.78		  9.18   	  45.78		
 20.75   	-12.82   	 32.06   	 -45.78		  9.36   	  45.78		
 20.75   	-13.12   	 31.88   	 -40.69		  9.54   	  50.86		
 21.36   	-12.82   	 31.72   	 -40.69		  9.75   	  50.86		
 22.28   	-12.21   	 31.56   	 -35.61		  9.95   	  45.78		
 23.50   	-11.60   	 31.41   	 -40.69		 10.13   	  45.78		
 24.72   	-10.99   	 31.25   	 -30.52		 10.32   	  30.52		
 25.33   	-10.68   	 31.13   	 -35.61		 10.44   	  25.43		
 24.72   	-10.38   	 30.99   	 -30.52		 10.54   	  20.35		
 22.89   	-10.07   	 30.86   	 -30.52		 10.62   	  15.26		
 21.67   	 -8.54   	 30.74   	 -25.43		 10.68   	   5.09		
 22.89   	 -4.58   	 30.64   	 -30.52		 10.70   	  10.17		
 28.38   	  1.83   	 30.52   	 -25.43		 10.74   	   5.09		
 38.45   	 10.99   	 30.42   	 -25.43		 10.76   	  10.17		
 51.57   	 22.58   	 30.32   	 -30.52		 10.80   	   0.00		
 65.00   	 36.62   	 30.19   	 -25.43		 10.80   	   0.00		
 76.29   	 55.54   	 30.09   	 -25.43		 10.80   	   0.00		
 84.84   	 79.04   	 29.99   	 -25.43		 10.80   	   0.00		
 91.25   	102.84   	 29.89   	 -30.52		 10.80   	 -10.17		
 96.13   	118.10   	 29.77   	 -25.43		 10.76   	 -15.26		
 99.18   	116.88   	 29.66   	 -30.52		 10.70   	 -15.26		
 97.66   	 96.74   	 29.54   	 -25.43		 10.64   	 -25.43		
 88.81   	 62.26   	 29.44   	 -25.43		 10.54   	 -25.43		
 71.72   	 22.28   	 29.34   	 -25.43		 10.44   	  -5.09		
 48.22   	-14.95   	 29.24   	 -30.52		 10.42   	   0.00		
 24.11   	-43.64   	 29.11   	 -35.61		 10.42   	 -15.26		
  4.27   	-61.95   	 28.97   	 -25.43		 10.36   	  -5.09		
 -7.32   	-70.50   	 28.87   	 -25.43		 10.34   	 -10.17		
-10.38   	-71.72   	 28.77   	 -25.43		 10.29   	  -5.09		
 -7.93   	-69.27   	 28.67   	 -20.35		 10.27   	 -10.17		
 -5.19   	-67.44   	 28.59   	 -20.35		 10.23   	   0.00		
 -4.58   	-67.44   	 28.50   	 -25.43		 10.23   	   0.00		
 -6.71   	-68.66   	 28.40   	 -30.52		 10.23   	   0.00		
 -7.32   	-74.16   	 28.28   	 -25.43		 10.23   	   5.09		
  6.10   	-91.86   	 28.18   	 -25.43		 10.25   	   0.00		
 49.44   	-117.80   	 28.08   	 -20.35		 10.25   	   5.09		
115.05   	-114.75   	 28.00   	 -25.43		 10.27   	   0.00		
151.06   	-46.69   	 27.89   	 -25.43		 10.27   	   0.00		
 84.53   	 71.41   	 27.79   	 -25.43		 10.27   	   0.00		
-127.87   	166.63   	 27.69   	 -35.61		 10.27   	   0.00		
-686.95   	  9.46   	 27.55   	 -25.43		 10.27   	   0.00		
-734.86   	-174.56   	 27.45   	 -30.52		 10.27   	   5.09		
-544.13   	-267.94   	 27.32   	 -30.52		 10.29   	  10.17		
-227.36   	-214.84   	 27.20   	 -30.52		 10.34   	  10.17		
 36.01   	-81.79   	 27.08   	 -25.43		 10.38   	  10.17		
129.70   	 16.17   	 26.98   	 -30.52		 10.42   	  15.26		
 70.80   	 18.92   	 26.86   	 -30.52		 10.48   	  25.43		
-33.57   	-44.25   	 26.73   	 -20.35		 10.58   	  30.52		
-86.98   	-101.32   	 26.65   	 -25.43		 10.70   	  40.69		
-68.66   	-109.56   	 26.55   	 -25.43		 10.86   	  55.95		
-19.23   	-81.79   	 26.45   	 -20.35		 11.09   	  66.12		
 13.73   	-54.63   	 26.37   	 -25.43		 11.35   	  76.30		
 14.95   	-48.52   	 26.27   	 -25.43		 11.66   	  81.38		
 -1.53   	-57.37   	 26.16   	 -20.35		 11.98   	  71.21		
-15.56   	-68.05   	 26.08   	 -25.43		 12.27   	  71.21		
-18.31   	-73.24   	 25.98   	 -20.35		 12.55   	  81.38		
-13.12   	-73.55   	 25.90   	 -20.35		 12.88   	 116.99		
 -7.02   	-70.19   	 25.82   	 -20.35		 13.35   	 167.85		
 -3.66   	-65.92   	 25.74   	 -20.35		 14.02   	 208.54		
 -3.36   	-64.09   	 25.66   	 -20.35		 14.85   	 208.54		
 -3.97   	-64.70   	 25.57   	 -20.35		 15.69   	 198.37		
 -3.36   	-66.22   	 25.49   	 -20.35		 16.48   	 218.72		
 -0.92   	-65.61   	 25.41   	 -15.26		 17.35   	 228.89		
  1.53   	-63.78   	 25.35   	 -20.35		 18.27   	 223.80		
  3.05   	-61.65   	 25.27   	 -25.43		 19.17   	 473.04		
  5.19   	-59.20   	 25.17   	 -25.43		 21.06   	 223.80		
  7.02   	-57.37   	 25.07   	 -20.35		 21.95   	 223.80		
  9.46   	-54.32   	 24.98   	 -15.26		 22.85   	 218.72		
 10.99   	-51.57   	 24.92   	 -20.35		 23.72   	 198.37		
 11.29   	-49.13   	 24.84   	 -15.26		 24.52   	 193.29		
 10.68   	-47.30   	 24.78   	 -10.17		 25.29   	 178.03		
  9.77   	-45.47   	 24.74(D)	   0.00		 26.00   	 167.85		
  9.46   	-43.03   	 24.74   	   0.00		 26.67   	 157.68		
 10.07   	-39.37   	 24.74   	  15.26		 27.30   	 152.59		
 10.99   	-35.40   	 24.80   	  25.43		 27.91   	 137.33		
 12.21   	-31.74   	 24.90   	  40.69		 28.46   	 127.16		
 13.12   	-28.99   	 25.07   	  61.04		 28.97   	 111.90		
 13.12   	-27.16   	 25.31   	  81.38		 29.42   	 101.73		
 12.82   	-26.25   	 25.64   	 106.82		 29.83   	  96.64		
 11.60   	-25.94   	 26.06   	 127.16		 30.21   	  86.47		
  9.77   	-25.02   	 26.57   	 147.51		 30.56   	  76.30		
  8.54   	-23.19   	 27.16   	 178.03		 30.86   	  71.21		
  7.63   	-20.45   	 27.87   	 193.29		 31.15   	  66.12		
  7.02   	-17.40   	 28.65   	 213.63		 31.41   	  66.12		
  6.41   	-15.87   	 29.50   	 233.98		 31.68   	  71.21		
  6.10   	-16.17   	 30.44   	 249.24		 31.96   	  66.12		
  5.49   	-17.40   	 31.43   	 259.41		 32.23   	  66.12		
  5.19   	-18.31   	 32.47   	 274.67		 32.49   	  66.12		
  5.49   	-18.01   	 33.57   	 279.75		 32.76   	  61.04		
  5.19   	-16.48   	 34.69   	 325.53		 33.00   	 127.16		
  1.22   	-12.82   	 35.99   	 325.53		 33.51   	  61.04		
 -2.14   	-11.29   	 37.29   	 320.45		 33.75   	  61.04		
 -4.58   	 -9.77   	 38.58   	 320.45		 34.00   	  61.04		
 -5.80   	 -7.63   	 39.86   	 310.27		 34.24   	  66.12		
 -6.10   	 -4.88   	 41.10   	 305.19		 34.51   	  66.12		
 -6.71   	 -2.14   	 42.32   	 289.93		 34.77   	  61.04		
 -7.93   	  0.31   	 43.48   	 284.84		 35.02   	  50.86		
 -9.46   	  1.83   	 44.62   	 264.50		 35.22   	  30.52		
-11.29   	  3.05   	 45.68   	 254.32		 35.34   	  35.61		
-12.51   	  4.88   	 46.69   	 233.98		 35.48   	  35.61		
-13.43   	  7.93   	 47.63   	 213.63		 35.63   	  25.43		
-14.65   	 11.29   	 48.48   	 193.29		 35.73   	  20.35		
-16.17   	 14.95   	 49.26   	 172.94		 35.81   	  15.26		
-17.40   	 18.92   	 49.95   	 157.68		 35.87   	  10.17		
-18.92   	 23.19   	 50.58   	 137.33		 35.91   	  10.17		
-20.14   	 28.69   	 51.13   	 116.99		 35.95   	   5.09		
-21.06   	 35.10   	 51.60   	  96.64		 35.97(S)	   0.00		
-21.97   	 41.81   	 51.98   	  76.30		 35.97   	 -10.17		
-22.89   	 48.22   	 52.29   	  61.04		 35.93   	 -10.17		
-23.50   	 54.02   	 52.53   	  45.78		 35.89   	 -20.35		
-24.72   	 60.12   	 52.72   	  30.52		 35.81   	 -20.35		
-25.33   	 67.44   	 52.84   	  20.35		 35.73   	 -35.61		
-25.02   	 76.29   	 52.92   	   5.09		 35.58   	 -40.69		
-22.58   	 86.36   	 52.94(S)	  -5.09		 35.42   	 -50.86		
-16.78   	 96.44   	 52.92   	 -25.43		 35.22   	-122.07		
  3.36   	108.64   	 52.82   	 -30.52		 34.73   	 -71.21		
 14.95   	105.90   	 52.70   	 -35.61		 34.45   	 -86.47		
 24.72   	 96.74   	 52.55   	 -50.86		 34.10   	-101.73		
 31.13   	 82.09   	 52.35   	 -50.86		 33.69   	-106.82		
 34.18   	 65.61   	 52.15   	 -61.04		 33.27   	-127.16		
 33.87   	 49.44   	 51.90   	 -66.12		 32.76   	-152.59		
 32.04   	 35.10   	 51.64   	 -71.21		 32.15   	-172.94		
 29.30   	 22.58   	 51.35   	 -76.30		 31.45   	-193.29		
 27.16   	 12.21   	 51.05   	 -76.30		 30.68   	-218.72		
 25.63   	  3.36   	 50.74   	 -81.38		 29.81   	-239.06		
 24.72   	 -3.66   	 50.42   	 -86.47		 28.85   	-259.41		
 23.80   	 -9.46   	 50.07   	 -91.56		 27.81   	-279.75		
 21.67   	-14.34   	 49.70   	 -96.64		 26.69   	-295.01		
 18.62   	-18.92   	 49.32   	 -96.64		 25.51   	-295.01		
 15.56   	-22.58   	 48.93   	-106.82		 24.33   	-300.10		
 13.73   	-25.33   	 48.50   	-106.82		 23.13   	-320.45		
 14.04   	-26.55   	 48.08   	-122.07		 21.85   	-335.71		
 15.87   	-26.55   	 47.59   	-127.16		 20.51   	-330.62		
 18.01   	-26.86   	 47.08   	-137.33		 19.19   	-320.45		
 18.31   	-28.38   	 46.53   	-142.42		 17.90   	-315.36		
 16.78   	-30.52   	 45.96   	-162.77		 16.64   	-305.19		
 14.34   	-32.35   	 45.31   	-167.85		 15.42   	-289.93		
 12.82   	-32.65   	 44.64   	-183.11		 14.26   	-264.50		
 12.82   	-31.43   	 43.91   	-193.29		 13.20   	-244.15		
 14.34   	-29.91   	 43.13   	-193.29		 12.23   	-228.89		
 16.17   	-29.60   	 42.36   	-198.37		 11.31   	-203.46		
 17.09   	-30.82   	 41.57   	-188.20		 10.50   	-188.20		
 16.78   	-32.04   	 40.81   	-183.11		  9.75   	-172.94		
 15.56   	-33.26   	 40.08   	-162.77		  9.05   	-147.51		
 14.65   	-33.26   	 39.43   	-152.59		  8.46   	-132.25		
 14.34   	-32.65   	 38.82   	-137.33		  7.93   	-116.99		
 14.34   	-32.04   	 38.27   	-127.16		  7.47   	-116.99		
 14.04   	-32.04   	 37.76   	-111.90		  7.00   	-116.99		
 13.12   	-32.04   	 37.31   	-101.73		  6.53   	-116.99		
 12.21   	-32.04   	 36.91   	 -91.56		  6.06   	-101.73		
 12.51   	-31.74   	 36.54   	 -81.38		  5.66   	 -71.21		
 14.04   	-31.13   	 36.22   	 -81.38		  5.37   	 -35.61		
 16.48   	-30.21   	 35.89   	 -76.30		  5.23   	  -5.09		
 18.01   	-30.21   	 35.58   	 -71.21		  5.21(D)	  25.43		
 17.40   	-31.13   	 35.30   	 -76.30		  5.31   	  45.78		
 15.56   	-32.65   	 34.99   	 -66.12		  5.49   	  66.12		
 14.04   	-33.57   	 34.73   	 -71.21		  5.76   	  61.04		
 13.12   	-33.87   	 34.45   	 -66.12		  6.00   	  76.30		
 12.82   	-33.57   	 34.18   	 -66.12		  6.31   	  81.38		
 12.21   	-33.87   	 33.92   	 -66.12		  6.63   	  71.21		
 10.99   	-34.48   	 33.65   	 -61.04		  6.92   	  71.21		
  9.46   	-35.71   	 33.41   	 -55.95		  7.20   	  71.21		
  8.85   	-36.62   	 33.18   	 -61.04		  7.49   	  61.04		
  8.85   	-37.54   	 32.94   	 -55.95		  7.73   	  55.95		
  8.85   	-38.45   	 32.72   	 -55.95		  7.96   	  50.86		
  9.16   	-39.37   	 32.49   	 -50.86		  8.16   	  50.86		
  9.16   	-40.28   	 32.29   	 -50.86		  8.36   	  40.69		
 10.07   	-40.89   	 32.09   	 -50.86		  8.52   	  35.61		
 11.60   	-40.28   	 31.88   	 -40.69		  8.67   	  30.52		
 13.12   	-38.76   	 31.72   	 -45.78		  8.79   	  25.43		
 14.34   	-36.62   	 31.54   	 -35.61		  8.89   	  30.52		
 14.65   	-34.48   	 31.39   	 -35.61		  9.01   	  30.52		
 14.65   	-32.35   	 31.25   	 -35.61		  9.14   	  30.52		
 14.04   	-31.43   	 31.11   	 -35.61		  9.26   	  25.43		
 14.04   	-31.13   	 30.97   	 -30.52		  9.36   	  25.43		
 14.65   	-30.82   	 30.84   	 -35.61		  9.46   	  20.35		
 17.09   	-28.69   	 30.70   	 -30.52		  9.54   	  20.35		
 22.28   	-23.19   	 30.58   	 -30.52		  9.62   	  10.17		
 30.52   	-14.34   	 30.46   	 -30.52		  9.66   	   0.00		
 42.42   	 -2.44   	 30.34   	 -30.52		  9.66   	  -5.09		
 57.37   	 11.90   	 30.21   	 -30.52		  9.64   	 -15.26		
 72.63   	 28.69   	 30.09   	 -30.52		  9.58   	 -10.17		
 86.67   	 50.05   	 29.97   	 -30.52		  9.54   	 -10.17		
 97.96   	 74.77   	 29.85   	 -25.43		  9.50   	 -10.17		
106.51   	 98.27   	 29.75   	 -30.52		  9.46   	 -10.17		
112.30   	112.00   	 29.62   	 -30.52		  9.42   	 -10.17		
114.14   	108.95   	 29.50   	 -30.52		  9.38   	 -10.17		
109.56   	 87.28   	 29.38   	 -30.52		  9.34   	 -10.17		
 96.44   	 50.96   	 29.26   	 -30.52		  9.30   	 -10.17		
 74.77   	  9.77   	 29.14   	 -30.52		  9.26   	 -10.17		
 46.69   	-27.77   	 29.01   	 -25.43		  9.22   	  -5.09		
 18.01   	-56.46   	 28.91   	 -25.43		  9.20   	 -10.17		
 -6.10   	-74.16   	 28.81   	 -25.43		  9.16   	  -5.09		
-21.06   	-82.09   	 28.71   	 -25.43		  9.14   	   0.00		
-25.63   	-83.31   	 28.61   	 -25.43		  9.14   	   5.09		
-22.58   	-82.09   	 28.50   	 -25.43		  9.16   	  10.17		
-17.40   	-81.18   	 28.40   	 -30.52		  9.20   	   5.09		
-14.95   	-81.48   	 28.28   	 -25.43		  9.22   	  10.17		
-15.87   	-83.01   	 28.18   	 -25.43		  9.26   	  10.17		
-16.17   	-88.81   	 28.08   	 -30.52		  9.30   	  15.26		
 -1.22   	-104.68   	 27.96   	 -25.43		  9.36   	  15.26		
 47.61   	-120.24   	 27.85   	 -30.52		  9.42   	  15.26		
123.29   	-98.88   	 27.73   	 -25.43		  9.48   	  15.26		
171.20   	-17.40   	 27.63   	 -25.43		  9.54   	  20.35		
111.08   	 93.08   	 27.53   	 -30.52		  9.62   	  20.35		
-108.64   	148.01   	 27.41   	 -30.52		  9.70   	  45.78		
-729.37   	-137.33   	 27.28   	 -25.43		  9.89   	  15.26		
-806.58   	-344.54   	 27.18   	 -30.52		  9.95   	  25.43		
-621.34   	-412.60(R)	 27.06   	 -25.43		 10.05(E)	  25.43		
-282.59   	-301.82   	 26.96   	 -30.52		 10.15   	  25.43		
 17.40   	-109.25   	 26.84   	 -25.43		 10.25   	  20.35		
140.69   	 23.50   	 26.73   	 -20.35		 10.34   	  25.43		
 90.03   	 28.38   	 26.65   	 -25.43		 10.44   	  35.61		
-23.80   	-50.66   	 26.55   	 -25.43		 10.58   	  45.78		
-91.25   	-122.07   	 26.45   	 -25.43		 10.76   	  55.95		
-79.04   	-133.36   	 26.35   	 -25.43		 10.99   	  66.12		
-26.86   	-98.88   	 26.25   	 -20.35		 11.25   	  71.21		
 12.51   	-64.09   	 26.16   	 -25.43		 11.54   	  76.30		
 17.09   	-54.93   	 26.06   	 -20.35		 11.84   	  81.38		
  0.00   	-65.92   	 25.98   	 -25.43		 12.17   	  91.56		
-15.26   	-78.43   	 25.88   	 -20.35		 12.53   	  91.56		
-17.09   	-82.40   	 25.80   	 -25.43		 12.90   	 127.16		
 -9.16   	-78.74   	 25.70   	 -20.35		 13.41   	 162.77		
  0.31   	-72.33   	 25.62   	 -15.26		 14.06   	 183.11		
  5.19   	-68.36   	 25.55   	 -20.35		 14.79   	 183.11		
  4.27   	-68.36   	 25.47   	 -20.35		 15.52   	 183.11		
  0.92   	-71.41   	 25.39   	 -15.26		 16.26   	 198.37		
 -1.22   	-73.55   	 25.33   	 -20.35		 17.05   	 203.46		
 -0.61   	-72.63   	 25.25   	 -15.26		 17.86   	 213.63		
  1.53   	-69.89   	 25.19   	 -25.43		 18.72   	 213.63		
  3.97   	-66.53   	 25.09   	 -25.43		 19.57   	 412.00		
  7.32   	-61.65   	 24.98   	 -20.35		 21.22   	 198.37		
