SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  RV     	  RV'		  AO     	  AO'		  LPV     	  LPV'		
 37.54   	 38.15   	  5.82   	-178.03		 76.93   	-127.16		  5.13   	 -25.43		
 29.30   	 29.91   	  5.11   	-172.94		 76.42   	-116.99		  5.03   	 -20.35		
 20.14   	 20.45   	  4.42   	-167.85		 75.95   	-106.82		  4.94   	 -10.17		
 11.60   	 11.90   	  3.74   	-172.94		 75.52   	-106.82		  4.90   	   5.09		
  1.53   	  1.83   	  3.05   	-172.94		 75.10   	 -96.64		  4.92   	  25.43		
-11.60   	-11.60   	  2.36   	-162.77		 74.71   	 -91.56		  5.03   	  35.61		
-27.47   	-27.77   	  1.71   	-132.25		 74.34   	 -86.47		  5.17   	  40.69		
-43.95   	-44.56   	  1.18   	-106.82		 74.00   	 -81.38		  5.33   	  50.86		
-58.90   	-59.51   	  0.75   	 -71.21		 73.67   	 -71.21		  5.53   	  61.04		
-73.55   	-73.85   	  0.47   	 -30.52		 73.39   	 -66.12		  5.78   	  71.21		
-89.42   	-89.11   	  0.35   	   0.00		 73.12   	 -61.04		  6.06   	  81.38		
-105.90   	-105.29   	  0.35   	  30.52		 72.88   	 -50.86		  6.39   	  76.30		
-119.63   	-118.71   	  0.47   	  66.12		 72.68   	 -45.78		  6.69   	  81.38		
-126.95   	-126.04   	  0.73   	  96.64		 72.49   	 -40.69		  7.02   	  86.47		
-127.56   	-126.95   	  1.12   	 127.16		 72.33   	 -35.61		  7.37   	  81.38		
-124.82   	-124.51   	  1.63   	 137.33		 72.19   	 -25.43		  7.69   	  86.47		
-121.77   	-121.77   	  2.18   	 152.59		 72.09   	 -25.43		  8.04   	  91.56		
-119.93   	-119.93   	  2.79   	 157.68		 71.98   	 -20.35		  8.40   	  96.64		
-119.02   	-119.32   	  3.42   	 167.85		 71.90   	 -15.26		  8.79   	 101.73		
-118.71   	-119.02   	  4.09   	 162.77		 71.84   	 -20.35		  9.20   	  81.38		
-118.71   	-118.71   	  4.74   	 167.85		 71.76   	 -15.26		  9.52   	  61.04		
-117.49   	-116.88   	  5.41   	 167.85		 71.70   	 -10.17		  9.77   	  35.61		
-115.05   	-114.14   	  6.08   	 167.85		 71.66   	 -15.26		  9.91   	  35.61		
-112.00   	-111.39   	  6.75   	 167.85		 71.60   	 -15.26		 10.05   	  35.61		
-110.78   	-110.47   	  7.43   	 172.94		 71.54   	 -15.26		 10.19   	  25.43		
-114.75   	-115.05   	  8.12   	 167.85		 71.47   	 -15.26		 10.29(A)	   0.00		
-124.21   	-124.51   	  8.79   	 162.77		 71.41   	 -20.35		 10.29   	 -30.52		
-133.36   	-133.36   	  9.44   	 157.68		 71.33   	 -20.35		 10.17   	 -45.78		
-126.34   	-126.04   	 10.07   	 142.42		 71.25   	 -20.35		  9.99   	 -55.95		
-81.48   	-80.87   	 10.64   	 122.07		 71.17   	 -25.43		  9.77   	 -55.95		
 19.23   	 19.84   	 11.13   	  86.47		 71.07   	 -25.43		  9.54   	 -45.78		
165.10   	165.41   	 11.48   	  61.04		 70.97   	 -30.52		  9.36   	 -50.86		
292.97   	293.27   	 11.72   	  15.26		 70.84   	 -40.69		  9.16   	-132.25		
161.74   	161.74   	 11.78   	   5.09		 70.68   	 -40.69		  8.63   	 -76.30		
-167.85   	-167.85   	 11.80   	 -15.26		 70.52   	 -40.69		  8.32   	 -45.78		
-568.24   	-568.54   	 11.74   	 -25.43		 70.36   	 -45.78		  8.14   	 -20.35		
-871.28   	-871.28   	 11.64   	 -35.61		 70.17   	 -40.69		  8.06   	 -10.17		
-943.91   	-943.91(R)	 11.50   	 -45.78		 70.01   	 -45.78		  8.02   	 -15.26		
-764.16   	-763.86   	 11.31   	 -50.86		 69.83   	 -45.78		  7.96   	 -20.35		
-437.01   	-436.71   	 11.11   	 -45.78		 69.64   	 -40.69		  7.87   	  -5.09		
-132.14   	-132.14   	 10.93   	 -30.52		 69.48   	 -40.69		  7.85   	  15.26		
 23.50   	 23.19   	 10.80(E)	   0.00		 69.32   	 -45.78		  7.91   	  20.35		
 16.17   	 15.56   	 10.80   	  45.78		 69.14   	 -40.69		  8.00   	   0.00		
-71.41   	-72.02   	 10.99   	 111.90		 68.97   	 -40.69		  8.00   	 -20.35		
-140.38   	-140.69   	 11.43   	 198.37		 68.81   	 -45.78		  7.91   	 -25.43		
-144.96   	-144.96   	 12.23   	 310.27		 68.63   	 -45.78		  7.81   	 -20.35		
-104.68   	-104.37   	 13.47   	 427.26		 68.44   	 -45.78		  7.73   	   0.00		
-65.92   	-65.31   	 15.18   	 554.42		 68.26   	 -50.86		  7.73   	   0.00		
-55.54   	-54.93   	 17.40   	 681.58		 68.06   	 -50.86		  7.73   	 -25.43		
-68.66   	-68.05   	 20.12   	 818.92		 67.85   	 -55.95		  7.63   	 -50.86		
-83.31   	-82.70   	 23.40   	 956.25		 67.63   	 -55.95		  7.43   	 -55.95		
-86.98   	-86.36   	 27.22   	1113.93		 67.41   	 -55.95		  7.20   	 -40.69		
-80.26   	-79.96   	 31.68   	1297.04		 67.18   	 -55.95		  7.04   	 -25.43		
-72.02   	-71.72   	 36.87   	1398.77		 66.96   	 -61.04		  6.94   	   5.09		
-67.44   	-67.14   	 42.46   	1378.43		 66.71   	 -61.04		  6.96   	  25.43		
-66.83   	-66.53   	 47.98   	1322.48		 66.47   	 -61.04		  7.06   	  15.26		
-68.05   	-67.75   	 53.27   	1220.75		 66.23   	 -61.04		  7.12   	 -40.69		
-67.44   	-67.14   	 58.15   	1002.03		 65.98   	 -71.21		  6.96   	 -91.56		
-56.76   	-56.46   	 62.16   	 788.40		 65.70   	 -66.12		  6.59   	 -10.17		
-51.27   	-51.27   	 65.31   	 584.94		 65.43   	 -66.12		  6.55   	 -15.26		
-48.52   	-48.52   	 67.65   	 371.31		 65.17   	 -66.12		  6.49   	 -45.78		
-47.00   	-47.00   	 69.14   	 198.37		 64.90   	 -61.04		  6.31   	 -66.12		
-43.64   	-43.33   	 69.93   	  66.12		 64.66   	 -66.12		  6.04   	 -55.95		
-38.76   	-38.45   	 70.19   	 -30.52		 64.39   	 -55.95		  5.82   	 -35.61		
-33.87   	-33.26   	 70.07   	 -81.38		 64.17   	 -61.04		  5.68   	 -15.26		
-30.21   	-29.60   	 69.75   	-101.73		 63.93   	 -61.04		  5.62   	 -20.35		
-27.47   	-27.16   	 69.34   	 -81.38		 63.68   	 -61.04		  5.53   	 -40.69		
-23.80   	-23.50   	 69.01   	 -40.69		 63.44   	 -61.04		  5.37   	 -40.69		
-17.70   	-17.70   	 68.85   	  30.52		 63.19   	 -61.04		  5.21   	 -30.52		
 -9.16   	 -9.16   	 68.97   	 106.82		 62.95   	 -61.04		  5.09   	 -15.26		
  1.83   	  1.83   	 69.40   	 203.46		 62.71   	 -61.04		  5.03   	   5.09		
 16.48   	 16.17   	 70.21   	 289.93		 62.46   	 -50.86		  5.05   	   5.09		
 35.10   	 34.79   	 71.37   	 371.31		 62.26   	 -45.78		  5.07   	  -5.09		
 56.46   	 56.46   	 72.86   	 432.35		 62.08   	 -25.43		  5.05   	 -15.26		
 78.74   	 78.74   	 74.59   	 483.21		 61.97(D)	   0.00		  4.98   	 -10.17		
 99.49   	 99.49   	 76.52   	 513.73		 61.97   	  30.52		  4.94   	  10.17		
120.24   	120.24   	 78.58   	 518.82		 62.10   	  71.21		  4.98   	  10.17		
141.60   	141.91   	 80.65   	 503.56		 62.38   	 122.07		  5.03   	  -5.09		
162.35   	162.66   	 82.66   	 467.95		 62.87   	 178.03		  5.01   	  -5.09		
180.36   	180.66   	 84.54   	 427.26		 63.58   	 239.06		  4.98   	 -10.17		
193.79   	194.09   	 86.25   	 366.22		 64.54   	 300.10		  4.94   	   0.00		
204.47   	204.47   	 87.71   	 300.10		 65.74   	 361.14		  4.94   	 -15.26		
213.32   	213.32   	 88.91   	 213.63		 67.18   	 518.82		  4.88   	 -35.61		
226.75   	226.75   	 89.77   	 152.59		 69.26   	 554.42		  4.74   	 -15.26		
227.36   	227.66   	 90.38   	 106.82		 71.47   	 584.94		  4.68   	 -10.17		
221.86   	222.17   	 90.80   	  76.30		 73.81   	 605.29		  4.64   	 -10.17		
209.96   	210.27   	 91.11   	  50.86		 76.24   	 620.55		  4.60   	 -10.17		
190.73   	190.73   	 91.31   	  40.69		 78.72   	 625.63		  4.56   	  -5.09		
165.10   	165.10   	 91.47   	  40.69		 81.22   	 630.72		  4.54   	   0.00		
133.97   	133.97   	 91.64   	  50.86		 83.74   	 615.46		  4.54   	  10.17		
 98.57   	 98.88   	 91.84   	  66.12		 86.21   	 605.29		  4.58   	  15.26		
 61.04   	 61.65   	 92.11   	  81.38		 88.63   	 584.94		  4.64   	  20.35		
 23.50   	 24.41   	 92.43   	 101.73		 90.97   	 554.42		  4.72   	  10.17		
-10.99   	-10.38   	 92.84   	 122.07		 93.18   	 523.90		  4.76   	   5.09		
-39.67   	-39.37   	 93.33   	 132.25		 95.28   	 483.21		  4.78   	  15.26		
-61.34   	-61.34   	 93.86   	 142.42		 97.21   	 447.61		  4.84   	  30.52		
-76.60   	-76.60   	 94.42   	 147.51		 99.00   	 401.83		  4.96   	  40.69		
-87.28   	-87.28   	 95.01   	 142.42		100.61   	 356.05		  5.13   	  40.69		
-94.91   	-94.60   	 95.58   	 137.33		102.03   	 315.36		  5.29   	  30.52		
-99.49   	-98.88   	 96.13   	 116.99		103.30   	 269.58		  5.41   	  25.43		
-100.40   	-99.79   	 96.60   	  91.56		104.37   	 223.80		  5.51   	  15.26		
-98.88   	-98.27   	 96.97   	  76.30		105.27   	 193.29		  5.57   	  20.35		
-96.44   	-95.83   	 97.27   	  45.78		106.04   	 152.59		  5.66   	  25.43		
-94.30   	-93.69   	 97.46   	  20.35		106.65   	 122.07		  5.76   	  30.52		
-93.38   	-92.77   	 97.54(S)	  -5.09		107.14   	 101.73		  5.88   	  25.43		
-93.69   	-93.08   	 97.52   	 -20.35		107.55   	  71.21		  5.98   	  15.26		
-94.30   	-93.99   	 97.44   	 -45.78		107.83   	  55.95		  6.04   	   5.09		
-95.52   	-95.21   	 97.25   	 -55.95		108.06   	  40.69		  6.06   	   5.09		
-97.05   	-96.74   	 97.03   	 -66.12		108.22   	  25.43		  6.08   	  15.26		
-98.88   	-98.27   	 96.76   	 -71.21		108.32   	  15.26		  6.14   	  20.35		
-101.62   	-100.71   	 96.48   	 -76.30		108.38(S)	   0.00		  6.23   	  15.26		
-104.98   	-104.06   	 96.17   	 -76.30		108.38   	  -5.09		  6.29   	   5.09		
-107.42   	-106.81   	 95.87   	 -81.38		108.36   	 -15.26		  6.31   	   5.09		
-107.73   	-107.42   	 95.54   	 -86.47		108.30   	 -25.43		  6.33   	   5.09		
-106.20   	-105.90   	 95.20   	-101.73		108.20   	 -40.69		  6.35   	   5.09		
-104.37   	-103.76   	 94.79   	-122.07		108.04   	 -45.78		  6.37   	   5.09		
-104.06   	-103.15   	 94.30   	-157.68		107.85   	 -61.04		  6.39   	  15.26		
-104.37   	-103.45   	 93.67   	-203.46		107.61   	 -66.12		  6.45   	  15.26		
-103.76   	-103.15   	 92.86   	-274.67		107.34   	 -81.38		  6.51   	  10.17		
-100.40   	-100.10   	 91.76   	-350.97		107.02   	 -91.56		  6.55   	   5.09		
-95.52   	-95.83   	 90.36   	-462.87		106.65   	-106.82		  6.57   	  20.35		
-90.64   	-90.94   	 88.50   	-574.77		106.23   	-116.99		  6.65   	  35.61		
-88.20   	-88.50   	 86.21   	-691.76		105.76   	-132.25		  6.80   	  50.86		
-87.28   	-87.28   	 83.44   	-824.00		105.23   	-142.42		  7.00   	  55.95		
-86.67   	-86.36   	 80.14   	-961.34		104.66   	-152.59		  7.22   	  50.86		
-85.14   	-84.84   	 76.30   	-1078.33		104.05   	-167.85		  7.43   	  61.04		
-81.79   	-81.79   	 71.98   	-1169.88		103.38   	-172.94		  7.67   	  61.04		
-77.82   	-77.82   	 67.30   	-1241.09		102.69   	-188.20		  7.91   	  35.61		
-73.85   	-73.85   	 62.34   	-1276.70		101.93   	-198.37		  8.06   	  15.26		
-70.19   	-69.89   	 57.23   	-1276.70		101.14   	-208.54		  8.12   	  15.26		
-66.83   	-66.22   	 52.13   	-1246.18		100.30   	-213.63		  8.18   	  25.43		
-62.87   	-61.95   	 47.14   	-1190.23		 99.45   	-223.80		  8.28   	  20.35		
-58.29   	-57.68   	 42.38   	-1113.93		 98.56   	-233.98		  8.36   	  10.17		
-54.32   	-54.02   	 37.92   	-1022.38		 97.62   	-244.15		  8.40(V)	  -5.09		
-52.49   	-52.49   	 33.84   	-915.56		 96.64   	-249.24		  8.38   	 -20.35		
-53.41   	-54.02   	 30.17   	-803.66		 95.65   	-254.32		  8.30   	 -15.26		
-55.85   	-56.46   	 26.96   	-696.84		 94.63   	-264.50		  8.24   	  -5.09		
-57.37   	-57.98   	 24.17   	-584.94		 93.57   	-264.50		  8.22   	   0.00		
-56.76   	-57.37   	 21.83   	-483.21		 92.51   	-264.50		  8.22   	  -5.09		
-55.24   	-55.54   	 19.90   	-396.74		 91.45   	-264.50		  8.20   	  -5.09		
-53.41   	-53.41   	 18.31   	-325.53		 90.40   	-259.41		  8.18   	 -10.17		
-50.35   	-50.05   	 17.01   	-259.41		 89.36   	-254.32		  8.14   	 -10.17		
-43.33   	-42.72   	 15.97   	-213.63		 88.34   	-239.06		  8.10   	   0.00		
-29.60   	-28.99   	 15.12   	-178.03		 87.39   	-228.89		  8.10   	  10.17		
 -8.85   	 -8.54   	 14.40   	-152.59		 86.47   	-213.63		  8.14   	   5.09		
 16.17   	 16.48   	 13.79   	-132.25		 85.62   	-198.37		  8.16   	   0.00		
 42.42   	 42.72   	 13.27   	-132.25		 84.82   	-188.20		  8.16   	  -5.09		
 65.61   	 65.92   	 12.74   	-127.16		 84.07   	-172.94		  8.14   	  -5.09		
 83.62   	 83.92   	 12.23   	-137.33		 83.38   	-157.68		  8.12   	 -10.17		
 94.60   	 94.91   	 11.68   	-147.51		 82.75   	-152.59		  8.08   	 -15.26		
 97.96   	 98.27   	 11.09   	-162.77		 82.14   	-137.33		  8.02   	 -25.43		
 94.30   	 94.91   	 10.44   	-178.03		 81.59   	-132.25		  7.91   	 -40.69		
 84.53   	 85.14   	  9.73   	-188.20		 81.06   	-127.16		  7.75   	 -35.61		
 70.19   	 70.80   	  8.97   	-193.29		 80.55   	-111.90		  7.61   	 -20.35		
 53.10   	 53.41   	  8.20   	-183.11		 80.10   	-111.90		  7.53   	  -5.09		
 34.79   	 35.10   	  7.47   	-172.94		 79.65   	-101.73		  7.51   	 -10.17		
 15.87   	 15.87   	  6.78   	-157.68		 79.25   	-101.73		  7.47   	   5.09		
 -2.44   	 -2.44   	  6.14   	-142.42		 78.84   	 -91.56		  7.49   	  20.35		
-19.23   	-19.23   	  5.57   	-132.25		 78.47   	 -91.56		  7.57   	  30.52		
-33.26   	-33.26   	  5.05   	-127.16		 78.11   	 -81.38		  7.69   	  30.52		
-44.25   	-44.25   	  4.54   	-106.82		 77.78   	 -76.30		  7.81   	  30.52		
-54.32   	-54.32   	  4.11   	 -81.38		 77.48   	 -71.21		  7.93   	  50.86		
-65.92   	-65.92   	  3.78   	 -55.95		 77.19   	 -61.04		  8.14   	  55.95		
-80.26   	-80.26   	  3.56   	 -30.52		 76.95   	 -61.04		  8.36   	  81.38		
-93.69   	-93.38   	  3.44(D)	   5.09		 76.70   	 -50.86		  8.69   	  81.38		
-101.93   	-101.62   	  3.46   	  30.52		 76.50   	 -45.78		  9.01   	  71.21		
-102.84   	-102.54   	  3.58   	  50.86		 76.32   	 -40.69		  9.30   	  61.04		
-98.88   	-98.27   	  3.78   	  76.30		 76.15   	 -40.69		  9.54   	  50.86		
-95.52   	-94.91   	  4.09   	  91.56		 75.99   	 -35.61		  9.75   	  66.12		
-95.52   	-95.21   	  4.46   	  91.56		 75.85   	 -35.61		 10.01   	  81.38		
-97.05   	-97.05   	  4.82   	  96.64		 75.71   	 -35.61		 10.34   	  81.38		
-96.44   	-96.44   	  5.21   	  96.64		 75.56   	 -35.61		 10.66   	  66.12		
-91.25   	-91.25   	  5.60   	 101.73		 75.42   	 -35.61		 10.93   	  61.04		
-83.62   	-83.62   	  6.00   	 101.73		 75.28   	 -30.52		 11.17   	  55.95		
-77.82   	-77.51   	  6.41   	 106.82		 75.16   	 -40.69		 11.39   	  50.86		
-76.29   	-75.68   	  6.84   	  96.64		 74.99   	 -35.61		 11.60   	  25.43		
-79.96   	-79.35   	  7.22   	  96.64		 74.85   	 -40.69		 11.70(A)	  -5.09		
-88.20   	-87.59   	  7.61   	  86.47		 74.69   	 -40.69		 11.68   	 -25.43		
-99.49   	-98.88   	  7.96   	  86.47		 74.53   	 -45.78		 11.58   	 -55.95		
-109.25   	-108.64   	  8.30   	  86.47		 74.34   	 -40.69		 11.35   	 -76.30		
-104.37   	-103.45   	  8.65   	  86.47		 74.18   	 -50.86		 11.05   	 -86.47		
-64.39   	-63.48   	  8.99   	  91.56		 73.98   	 -45.78		 10.70   	 -96.64		
 33.87   	 34.79   	  9.36   	  86.47		 73.79   	 -50.86		 10.32   	-106.82		
193.18   	193.79   	  9.70   	  76.30		 73.59   	 -55.95		  9.89   	-116.99		
361.02   	361.63   	 10.01   	  61.04		 73.37   	 -55.95		  9.42   	-208.54		
320.13   	320.13   	 10.25   	  45.78		 73.14   	 -66.12		  8.59   	 -86.47		
-17.70   	-17.70   	 10.44   	  35.61		 72.88   	 -61.04		  8.24   	 -71.21		
-472.72   	-472.72   	 10.58   	  15.26		 72.63   	 -61.04		  7.96   	 -40.69		
-843.20   	-843.20   	 10.64   	   5.09		 72.39   	 -55.95		  7.79   	 -30.52		
-951.23   	-950.93(R)	 10.66   	   0.00		 72.17   	 -61.04		  7.67   	 -25.43		
-758.97   	-758.67   	 10.66   	  -5.09		 71.92   	 -61.04		  7.57   	  -5.09		
-394.90   	-394.59   	 10.64(E)	  -5.09		 71.68   	 -55.95		  7.55   	  25.43		
-63.78   	-63.48   	 10.62   	  15.26		 71.45   	 -55.95		  7.65   	  45.78		
 90.64   	 90.64   	 10.68   	  30.52		 71.23   	 -55.95		  7.83   	  45.78		
 63.78   	 63.48   	 10.80   	  61.04		 71.01   	 -50.86		  8.02   	  40.69		
-41.50   	-41.50   	 11.05   	  96.64		 70.80   	 -55.95		  8.18   	  35.61		
-115.66   	-115.66   	 11.43   	 147.51		 70.58   	 -55.95		  8.32   	  30.52		
-115.97   	-115.66   	 12.02   	 208.54		 70.36   	 -50.86		  8.44   	  15.26		
-69.58   	-68.97   	 12.86   	 284.84		 70.15   	 -61.04		  8.50   	   0.00		
-26.86   	-26.55   	 14.00   	 386.57		 69.91   	 -55.95		  8.50   	 -15.26		
-13.73   	-13.43   	 15.54   	 503.56		 69.68   	 -61.04		  8.44   	 -20.35		
-22.89   	-22.89   	 17.56   	 625.63		 69.44   	 -61.04		  8.36   	 -10.17		
-32.96   	-32.96   	 20.06   	 752.79		 69.20   	 -61.04		  8.32   	  -5.09		
-31.13   	-31.13   	 23.07   	 885.04		 68.95   	 -66.12		  8.30   	 -15.26		
-21.97   	-21.97   	 26.61   	1063.07		 68.69   	 -66.12		  8.24   	 -15.26		
-14.95   	-14.65   	 30.86   	1297.04		 68.42   	 -66.12		  8.18   	 -15.26		
-15.87   	-15.87   	 36.05   	1434.38		 68.16   	 -66.12		  8.12   	  15.26		
-22.28   	-22.28   	 41.79   	1424.21		 67.89   	 -71.21		  8.18   	  61.04		
-26.86   	-27.16   	 47.49   	1388.60		 67.61   	 -66.12		  8.42   	  35.61		
-25.63   	-25.94   	 53.04   	1312.30		 67.34   	 -71.21		  8.57   	 -96.64		
 -8.85   	 -9.16   	 58.29   	1088.50		 67.06   	 -76.30		  8.18   	 -61.04		
 -2.14   	 -2.14   	 62.64   	 869.78		 66.75   	 -71.21		  7.93   	 -10.17		
  0.92   	  0.92   	 66.12   	 625.63		 66.47   	 -71.21		  7.89   	 -10.17		
  2.14   	  1.83   	 68.63   	 417.09		 66.18   	 -66.12		  7.85   	 -45.78		
  4.58   	  4.27   	 70.29   	 223.80		 65.92   	 -71.21		  7.67   	 -86.47		
 10.07   	 10.07   	 71.19   	  66.12		 65.64   	 -66.12		  7.32   	 -96.64		
 17.09   	 16.78   	 71.45   	 -45.78		 65.37   	 -71.21		  6.94   	 -76.30		
 23.50   	 23.19   	 71.27   	-106.82		 65.09   	 -66.12		  6.63   	 -50.86		
