SAMPLE NUMBER:   27
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
-47.91   	-177.00   	  5.72   	   0.00		 70.25   	 -20.35		
-48.52   	-176.39   	  5.72   	 -15.26		 70.17   	 -25.43		
-48.52   	-178.83   	  5.66   	 -10.17		 70.07   	 -20.35		
-49.13   	-182.19   	  5.62   	 -10.17		 69.99   	 -20.35		
-49.74   	-184.63   	  5.57   	 -15.26		 69.91   	 -20.35		
-50.66   	-184.33   	  5.51   	 -15.26		 69.83   	 -20.35		
-51.27   	-182.50   	  5.45   	 -10.17		 69.75   	 -15.26		
-51.88   	-180.66   	  5.41   	 -10.17		 69.68   	 -15.26		
-52.49   	-179.44   	  5.37   	 -10.17		 69.62   	 -15.26		
-53.41   	-178.83   	  5.33   	  -5.09		 69.56   	 -25.43		
-54.63   	-177.31   	  5.31   	   0.00		 69.46   	 -20.35		
-55.54   	-174.87   	  5.31(E)	  10.17		 69.38   	 -15.26		
-56.15   	-172.42   	  5.35   	  15.26		 69.32   	 -15.26		
-56.15   	-173.95   	  5.41   	  20.35		 69.26   	 -15.26		
-54.93   	-181.88   	  5.49   	  25.43		 69.20   	 -20.35		
-50.96   	-195.62   	  5.60   	  35.61		 69.11   	 -15.26		
-39.06   	-208.44   	  5.74   	  40.69		 69.05   	 -10.17		
 -7.93   	-208.74   	  5.90   	  45.78		 69.01   	 -15.26		
 56.15   	-181.58   	  6.08   	  45.78		 68.95   	 -20.35		
162.96   	-107.42   	  6.27   	  50.86		 68.87   	 -25.43		
309.14   	 38.45   	  6.47   	  50.86		 68.77   	 -15.26		
471.19   	281.37   	  6.67   	  61.04		 68.71   	 -15.26		
601.50   	642.40   	  6.92   	  61.04		 68.65   	 -15.26		
632.63   	1119.69   	  7.16   	  66.12		 68.59   	 -20.35		
508.12   	1654.05   	  7.43   	  61.04		 68.50   	 -15.26		
215.45   	2120.06   	  7.67   	  45.78		 68.44   	 -25.43		
-656.13   	2274.17(R)	  7.85   	  30.52		 68.34   	 -20.35		
-1026.31   	1835.63   	  7.98   	  20.35		 68.26   	 -20.35		
-1227.11   	1177.67   	  8.06   	   0.00		 68.18   	 -15.26		
-1225.28   	515.75   	  8.06   	 -10.17		 68.12   	 -25.43		
-1041.26   	 52.19   	  8.02   	 -20.35		 68.02   	 -30.52		
-745.54   	-117.80   	  7.93   	 -25.43		 67.89   	 -25.43		
-436.10   	-46.69   	  7.83   	 -20.35		 67.79   	 -25.43		
-197.75   	110.47   	  7.75   	 -10.17		 67.69   	 -20.35		
-69.58   	192.87   	  7.71   	 -10.17		 67.61   	 -25.43		
-37.54   	129.70   	  7.67   	   5.09		 67.51   	 -25.43		
-50.66   	-29.60   	  7.69   	  25.43		 67.41   	 -15.26		
-58.59   	-177.61   	  7.79   	  40.69		 67.34   	 -25.43		
-42.11   	-238.34   	  7.96   	  91.56		 67.24   	 -30.52		
-12.82   	-215.76   	  8.32   	 172.94		 67.12   	 -30.52		
  9.16   	-166.02   	  9.01   	 289.93		 67.00   	 -20.35		
 15.56   	-142.52   	 10.17   	 406.92		 66.92   	 -20.35		
 13.12   	-157.17   	 11.80   	 467.95		 66.84   	 -20.35		
 11.60   	-184.94   	 13.67   	 493.39		 66.75   	 -30.52		
 16.17   	-200.20   	 15.65   	 483.21		 66.63   	 -25.43		
 24.72   	-197.45   	 17.58   	 432.35		 66.53   	 -20.35		
 32.04   	-186.77   	 19.31   	 371.31		 66.45   	 -20.35		
 36.01   	-179.44   	 20.79   	 330.62		 66.37   	 -30.52		
 36.93   	-177.92   	 22.12   	 315.36		 66.25   	 -25.43		
 36.93   	-180.36   	 23.38   	 330.62		 66.14   	 -25.43		
 37.84   	-183.11   	 24.70   	 447.61		 66.04   	 -20.35		
 42.72   	-180.97   	 26.49   	 498.47		 65.96   	 -25.43		
 45.78   	-175.48   	 28.48   	 564.60		 65.86   	 -20.35		
 48.83   	-169.68   	 30.74   	 630.72		 65.78   	 -15.26		
 52.19   	-164.49   	 33.27   	 676.50		 65.72   	 -20.35		
 55.85   	-159.91   	 35.97   	 712.10		 65.64   	 -25.43		
 59.51   	-155.64   	 38.82   	 737.54		 65.53   	 -20.35		
 61.95   	-151.98   	 41.77   	 712.10		 65.45   	 -10.17		
 63.48   	-149.23   	 44.62   	 645.98		 65.41   	 -15.26		
 64.09   	-146.79   	 47.20   	 554.42		 65.35   	 -20.35		
 64.70   	-143.43   	 49.42   	 442.52		 65.27   	 -20.35		
 66.22   	-138.85   	 51.19   	 325.53		 65.19   	 -20.35		
 68.05   	-133.06   	 52.49   	 228.89		 65.11   	 -15.26		
 70.80   	-127.26   	 53.41   	 142.42		 65.05   	 -20.35		
 73.24   	-122.07   	 53.98   	  66.12		 64.96   	 -20.35		
 75.99   	-117.19   	 54.24   	  20.35		 64.88   	 -20.35		
 79.04   	-112.61   	 54.32   	 -15.26		 64.80   	 -20.35		
 82.40   	-107.73   	 54.26   	 -50.86		 64.72   	 -30.52		
 85.45   	-102.54   	 54.06   	 -66.12		 64.60   	 -35.61		
 88.20   	-97.35   	 53.79   	 -45.78		 64.46   	 -35.61		
 90.33   	-91.86   	 53.61   	  -5.09		 64.31   	 -35.61		
 91.86   	-86.06   	 53.59   	  40.69		 64.17   	 -35.61		
 93.69   	-79.96   	 53.75   	  91.56		 64.03   	 -40.69		
 96.13   	-73.24   	 54.12   	 111.90		 63.87   	 -35.61		
 99.18   	-67.14   	 54.57   	 132.25		 63.72   	 -30.52		
102.84   	-61.34   	 55.10   	 157.68		 63.60   	 -35.61		
107.12   	-56.15   	 55.73   	 147.51		 63.46   	 -30.52		
111.08   	-51.27   	 56.32   	 122.07		 63.34   	 -35.61		
115.66   	-45.78   	 56.81   	 111.90		 63.19   	 -30.52		
121.46   	-39.67   	 57.25   	 116.99		 63.07   	 -20.35		
127.87   	-32.65   	 57.72   	 122.07		 62.99   	 -15.26		
134.89   	-24.41   	 58.21   	 116.99		 62.93   	 -10.17		
140.69   	-15.26   	 58.68   	 162.77		 62.89   	  15.26		
145.57   	 -5.80   	 59.33   	 233.98		 62.95   	  55.95		
149.54   	  3.66   	 60.26   	 254.32		 63.17   	  96.64		
154.72   	 14.04   	 61.28   	 274.67		 63.56   	 152.59		
162.66   	 25.63   	 62.38   	 279.75		 64.17   	 233.98		
172.73   	 39.98   	 63.50   	 223.80		 65.11   	 300.10		
184.02   	 56.15   	 64.39   	 152.59		 66.31   	 356.05		
195.01   	 74.16   	 65.00   	 142.42		 67.73   	 401.83		
205.38   	 92.77   	 65.57   	 198.37		 69.34   	 437.43		
215.15   	112.00   	 66.37   	 254.32		 71.09   	 452.69		
224.61   	131.53   	 67.39   	 254.32		 72.90   	 452.69		
233.76   	151.98   	 68.40   	 218.72		 74.71   	 432.35		
242.00   	173.34   	 69.28   	 167.85		 76.44   	 422.18		
249.33   	195.01   	 69.95   	 127.16		 78.13   	 401.83		
255.43   	217.29   	 70.46   	  81.38		 79.74   	 386.57		
261.54   	240.17   	 70.78   	  20.35		 81.28   	 371.31		
266.72   	262.45   	 70.86(S)	 -45.78		 82.77   	 366.22		
270.08   	283.20   	 70.68   	-147.51		 84.23   	 361.14		
269.78   	301.51   	 70.09   	-274.67		 85.68   	 366.22		
265.20   	315.86   	 68.99   	-412.00		 87.14   	 366.22		
256.65   	325.93   	 67.34   	-544.25		 88.61   	 376.40		
245.06   	332.34   	 65.17   	-640.89		 90.11   	 396.74		
230.71   	335.39   	 62.60   	-707.02		 91.70   	 417.09		
213.62   	334.78   	 59.78   	-727.36		 93.37   	 422.18		
193.79   	330.20   	 56.87   	-712.10		 95.06   	 422.18		
171.51   	320.74   	 54.02   	-666.32		 96.74   	 427.26		
148.01   	304.87   	 51.35   	-600.20		 98.45   	 427.26		
124.21   	283.20   	 48.95   	-513.73		100.16   	 422.18		
101.93   	256.04   	 46.90   	-447.61		101.85   	 401.83		
 81.48   	224.30   	 45.11   	-386.57		103.46   	 386.57		
 63.17   	188.29   	 43.56   	-335.71		105.00   	 361.14		
 46.69   	148.62   	 42.22   	-320.45		106.45   	 345.88		
 31.74   	106.51   	 40.94   	-320.45		107.83   	 310.27		
 18.62   	 63.78   	 39.65   	-335.71		109.07   	 284.84		
  6.41   	 22.89   	 38.31   	-361.14		110.21   	 259.41		
 -4.58   	-13.43   	 36.87   	-396.74		111.25   	 228.89		
-14.34   	-44.86   	 35.28   	-427.26		112.17   	 198.37		
-22.89   	-72.33   	 33.57   	-457.78		112.96   	 162.77		
-30.21   	-97.05   	 31.74   	-467.95		113.61   	 137.33		
-36.93   	-119.63   	 29.87   	-467.95		114.16   	 116.99		
-43.64   	-139.77   	 28.00   	-452.69		114.63   	  91.56		
-49.74   	-156.56   	 26.19   	-427.26		114.99   	  66.12		
-55.24   	-169.98   	 24.48   	-396.74		115.26   	  40.69		
-59.51   	-179.75   	 22.89   	-356.05		115.42   	  15.26		
-62.26   	-187.99   	 21.46   	-310.27		115.48   	   5.09		
-64.09   	-194.70   	 20.22   	-259.41		115.50(S)	 -20.35		
-65.61   	-200.50   	 19.19   	-198.37		115.42   	 -35.61		
-67.44   	-204.47   	 18.39   	-137.33		115.28   	 -55.95		
-69.27   	-206.91   	 17.84   	 -55.95		115.06   	 -66.12		
-70.80   	-207.52   	 17.62   	  -5.09		114.79   	 -76.30		
-71.72   	-208.13   	 17.60   	  25.43		114.49   	 -91.56		
-71.72   	-208.74   	 17.70   	  25.43		114.12   	 -96.64		
-71.41   	-209.96   	 17.80   	  45.78		113.73   	-106.82		
-71.11   	-211.18   	 17.99   	  96.64		113.31   	-111.90		
-70.50   	-211.49   	 18.37   	 178.03		112.86   	-122.07		
-69.89   	-210.57   	 19.08   	 233.98		112.37   	-127.16		
-69.27   	-208.13   	 20.02   	 284.84		111.86   	-132.25		
-68.05   	-204.77   	 21.16   	 325.53		111.33   	-127.16		
-66.53   	-201.42   	 22.46   	 335.71		110.82   	-142.42		
-64.09   	-198.36   	 23.80   	 310.27		110.25   	-147.51		
-61.34   	-195.92   	 25.05   	 259.41		109.66   	-152.59		
-58.90   	-193.48   	 26.08   	 178.03		109.05   	-157.68		
-56.76   	-191.35   	 26.80   	  81.38		108.42   	-162.77		
-55.54   	-189.51   	 27.12   	 -30.52		107.77   	-178.03		
-54.32   	-188.29   	 27.00   	-137.33		107.06   	-178.03		
-53.41   	-186.77   	 26.45   	-223.80		106.35   	-183.11		
-52.19   	-184.94   	 25.55   	-310.27		105.62   	-193.29		
-50.35   	-182.80   	 24.31   	-361.14		104.84   	-208.54		
-47.91   	-180.36   	 22.87   	-391.66		104.01   	-213.63		
-45.47   	-178.53   	 21.30   	-396.74		103.15   	-218.72		
-43.03   	-177.61   	 19.72   	-391.66		102.28   	-223.80		
-41.20   	-177.61   	 18.15   	-371.31		101.38   	-228.89		
-40.28   	-177.92   	 16.66   	-340.79		100.47   	-239.06		
-39.37   	-177.61   	 15.30   	-310.27		 99.51   	-244.15		
-38.76   	-176.70   	 14.06   	-279.75		 98.53   	-244.15		
-37.54   	-175.78   	 12.94   	-244.15		 97.56   	-239.06		
-36.01   	-175.48   	 11.96   	-218.72		 96.60   	-239.06		
-34.79   	-176.09   	 11.09   	-203.46		 95.65   	-233.98		
-33.26   	-177.31   	 10.27   	-198.37		 94.71   	-218.72		
-32.65   	-178.22   	  9.48   	-193.29		 93.83   	-203.46		
-32.65   	-179.14   	  8.71   	-193.29		 93.02   	-198.37		
-33.26   	-180.05   	  7.93   	-188.20		 92.23   	-188.20		
-34.18   	-180.97   	  7.18   	-188.20		 91.47   	-162.77		
-35.10   	-182.19   	  6.43   	-183.11		 90.82   	-157.68		
-35.10   	-183.41   	  5.70   	-167.85		 90.19   	-152.59		
-34.79   	-184.94   	  5.03   	-142.42		 89.58   	-142.42		
-34.79   	-186.16   	  4.46   	-122.07		 89.01   	-137.33		
-36.01   	-186.77   	  3.97   	 -96.64		 88.46   	-127.16		
-38.15   	-187.07   	  3.58   	 -66.12		 87.95   	-127.16		
-39.98   	-187.07   	  3.32   	 -45.78		 87.45   	-132.25		
-41.81   	-187.38   	  3.13   	 -30.52		 86.92   	-127.16		
-42.72   	-187.99   	  3.01   	 -15.26		 86.41   	-116.99		
-43.64   	-188.60   	  2.95   	   0.00		 85.94   	-106.82		
-44.25   	-188.60   	  2.95   	   5.09		 85.51   	-116.99		
-44.86   	-187.99   	  2.97   	   0.00		 85.05   	-116.99		
-45.17   	-187.07   	  2.97   	   5.09		 84.58   	-111.90		
-44.86   	-186.77   	  2.99   	  -5.09		 84.13   	 -96.64		
-44.86   	-186.77   	  2.97   	 -10.17		 83.74   	-101.73		
-45.17   	-186.77   	  2.93   	 -20.35		 83.34   	 -96.64		
-45.17   	-186.46   	  2.85   	 -20.35		 82.95   	 -91.56		
-45.47   	-185.85   	  2.77   	 -15.26		 82.58   	 -86.47		
-45.47   	-185.24   	  2.71   	 -20.35		 82.24   	 -81.38		
-45.47   	-185.24   	  2.62   	 -15.26		 81.91   	 -76.30		
-45.17   	-185.24   	  2.56   	 -10.17		 81.61   	 -81.38		
-44.56   	-184.94   	  2.52   	 -10.17		 81.28   	 -71.21		
-44.25   	-183.41   	  2.48   	   0.00		 81.00   	 -61.04		
-44.56   	-181.27   	  2.48   	  -5.09		 80.75   	 -66.12		
-45.78   	-179.44   	  2.46   	   0.00		 80.49   	 -61.04		
-47.00   	-178.22   	  2.46   	   5.09		 80.24   	 -55.95		
-47.61   	-177.61   	  2.48   	  -5.09		 80.02   	 -55.95		
-47.00   	-177.00   	  2.46   	  -5.09		 79.80   	 -61.04		
-46.08   	-176.09   	  2.44   	 -10.17		 79.55   	 -50.86		
-45.78   	-175.17   	  2.40   	 -15.26		 79.35   	 -55.95		
-46.69   	-174.26   	  2.34   	 -25.43		 79.12   	 -45.78		
-47.30   	-173.34   	  2.24   	 -25.43		 78.94   	 -45.78		
-46.69   	-171.51   	  2.14   	 -20.35		 78.76   	 -45.78		
-44.86   	-169.37   	  2.05   	 -20.35		 78.58   	 -45.78		
-42.11   	-167.54   	  1.97   	 -20.35		 78.39   	 -40.69		
-40.28   	-166.63   	  1.89   	 -25.43		 78.23   	 -40.69		
-39.37   	-166.93   	  1.79   	 -15.26		 78.07   	 -40.69		
-39.98   	-167.24   	  1.73   	 -15.26		 77.90   	 -40.69		
-41.20   	-167.24   	  1.67   	 -15.26		 77.74   	 -35.61		
-41.81   	-165.71   	  1.61   	 -10.17		 77.60   	 -35.61		
-41.81   	-163.57   	  1.57   	  -5.09		 77.46   	 -40.69		
-41.20   	-161.13   	  1.55(D)	   5.09		 77.29   	 -40.69		
-39.37   	-159.30   	  1.57   	  10.17		 77.13   	 -35.61		
-37.23   	-158.39   	  1.61   	  20.35		 76.99   	 -30.52		
-36.32   	-158.39   	  1.69   	  30.52		 76.87   	 -35.61		
-36.93   	-158.69   	  1.81   	  35.61		 76.72   	 -35.61		
-39.06   	-158.69   	  1.95   	  40.69		 76.58   	 -35.61		
-41.50   	-158.08   	  2.12   	  45.78		 76.44   	 -25.43		
-43.33   	-157.17   	  2.30   	  45.78		 76.34   	 -30.52		
-43.33   	-156.56   	  2.48   	  45.78		 76.22   	 -35.61		
-42.11   	-156.56   	  2.67   	  35.61		 76.07   	 -30.52		
-40.89   	-156.56   	  2.81   	  35.61		 75.95   	 -30.52		
-39.98   	-156.25   	  2.95   	  30.52		 75.83   	 -25.43		
-39.98   	-155.33   	  3.07   	  25.43		 75.73   	 -35.61		
-40.28   	-154.42   	  3.17   	  20.35		 75.58   	 -35.61		
-39.98   	-153.20   	  3.26   	  15.26		 75.44   	 -30.52		
-38.76   	-151.37   	  3.32   	  15.26		 75.32   	 -30.52		
-37.23   	-149.54   	  3.38   	  15.26		 75.20   	 -20.35		
-36.32   	-148.32   	  3.44   	  10.17		 75.12   	 -25.43		
-36.93   	-148.32   	  3.48   	  15.26		 75.01   	 -35.61		
-39.06   	-150.15   	  3.54   	  15.26		 74.87   	 -30.52		
-41.81   	-152.59   	  3.60   	  10.17		 74.75   	 -30.52		
-43.64   	-154.11   	  3.64   	   5.09		 74.63   	 -30.52		
-43.95   	-153.20   	  3.66   	  15.26		 74.51   	 -35.61		
-42.72   	-150.76   	  3.72   	  10.17		 74.36   	 -25.43		
-41.50   	-148.01   	  3.76   	  10.17		 74.26   	 -25.43		
-40.89   	-146.48   	  3.80   	  15.26		 74.16   	 -30.52		
-40.89   	-146.18   	  3.87   	  20.35		 74.04   	 -25.43		
-41.20   	-146.79   	  3.95   	  15.26		 73.94   	 -25.43		
-41.81   	-146.79   	  4.01   	  10.17		 73.83   	 -20.35		
-42.72   	-146.18   	  4.05   	  10.17		 73.75   	 -25.43		
-43.33   	-144.96   	  4.09   	  10.17		 73.65   	 -25.43		
-43.64   	-143.43   	  4.13   	  -5.09		 73.55   	 -25.43		
-43.33   	-142.21   	  4.11   	   0.00		 73.45   	 -25.43		
-42.42   	-140.69   	  4.11   	  -5.09		 73.35   	 -25.43		
-40.89   	-138.55   	  4.09   	   0.00		 73.24   	 -20.35		
-39.98   	-135.80   	  4.09   	   0.00		 73.16   	 -30.52		
-39.37   	-132.75   	  4.09   	   5.09		 73.04   	 -25.43		
-38.45   	-130.31   	  4.11   	   5.09		 72.94   	 -25.43		
-37.23   	-128.78   	  4.13   	   5.09		 72.84   	 -25.43		
-36.62   	-127.87   	  4.15   	   5.09		 72.74   	 -30.52		
-36.32   	-128.17   	  4.17   	   0.00		 72.61   	 -25.43		
-36.93   	-128.78   	  4.17   	   0.00		 72.51   	 -15.26		
-37.84   	-129.39   	  4.17   	   0.00		 72.45   	 -25.43		
