SAMPLE NUMBER:   24
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RRA     	  RRA'		
 -4.88   	-108.95   	 11.72   	-198.37		 63.38   	-142.42		
-12.51   	-113.83   	 10.93   	-183.11		 62.81   	-137.33		
-14.65   	-117.19   	 10.19   	-167.85		 62.26   	-132.25		
-10.68   	-117.19   	  9.52   	-147.51		 61.73   	-127.16		
 -3.66   	-114.75   	  8.93   	-137.33		 61.22   	-127.16		
  1.53   	-111.39   	  8.38   	-122.07		 60.71   	-122.07		
  1.83   	-110.47   	  7.89   	-101.73		 60.22   	-116.99		
 -2.44   	-112.61   	  7.49   	 -86.47		 59.76   	-111.90		
 -7.63   	-115.97   	  7.14   	 -76.30		 59.31   	-106.82		
 -9.46   	-117.49   	  6.84   	 -55.95		 58.88   	 -96.64		
 -6.41   	-115.66   	  6.61   	 -45.78		 58.49   	 -96.64		
 -1.22   	-112.00   	  6.43   	 -30.52		 58.11   	 -86.47		
  2.75   	-108.64   	  6.31   	 -20.35		 57.76   	 -81.38		
  3.66   	-106.81   	  6.23   	 -10.17		 57.44   	 -76.30		
  1.22   	-107.12   	  6.19   	  -5.09		 57.13   	 -66.12		
 -3.66   	-109.25   	  6.16   	   0.00		 56.87   	 -61.04		
 -8.24   	-112.30   	  6.16   	  10.17		 56.62   	 -50.86		
-11.90   	-115.66   	  6.21   	  15.26		 56.42   	 -45.78		
-13.73   	-118.41   	  6.27   	  15.26		 56.24   	 -35.61		
-14.04   	-119.63   	  6.33   	  20.35		 56.09   	 -30.52		
-13.12   	-119.02   	  6.41   	  20.35		 55.97   	 -25.43		
-12.21   	-117.19   	  6.49   	  25.43		 55.87   	 -15.26		
-10.99   	-115.36   	  6.59   	  20.35		 55.81   	 -10.17		
 -8.85   	-113.83   	  6.67   	  15.26		 55.77   	  -5.09		
 -6.41   	-113.53   	  6.73   	  20.35		 55.75   	  -5.09		
 -4.58   	-114.44   	  6.82   	  15.26		 55.73   	   5.09		
 -4.27   	-115.66   	  6.88   	  15.26		 55.75   	   5.09		
 -3.97   	-115.97   	  6.94   	  15.26		 55.77   	   5.09		
 -3.36   	-115.36   	  7.00   	   5.09		 55.79   	   5.09		
 -3.05   	-115.97   	  7.02   	  10.17		 55.81   	  10.17		
 -4.58   	-118.71   	  7.06   	   5.09		 55.85   	  15.26		
 -7.63   	-122.38   	  7.08   	   5.09		 55.91   	  10.17		
-10.07   	-124.51   	  7.10   	   0.00		 55.95   	  10.17		
 -8.85   	-122.68   	  7.10   	   0.00		 55.99   	  10.17		
 -3.97   	-117.49   	  7.10   	   5.09		 56.03   	  10.17		
  1.22   	-112.00   	  7.12   	   0.00		 56.07   	  10.17		
  3.05   	-108.64   	  7.12   	   0.00		 56.11   	   5.09		
  1.22   	-107.42   	  7.12   	   5.09		 56.13   	  10.17		
 -2.44   	-107.73   	  7.14   	   0.00		 56.17   	   5.09		
 -5.49   	-107.73   	  7.14   	   5.09		 56.20   	   5.09		
 -7.02   	-106.81   	  7.16   	   5.09		 56.22   	   0.00		
 -7.93   	-105.90   	  7.18   	   5.09		 56.22   	   0.00		
 -9.16   	-104.98   	  7.20   	   5.09		 56.22   	  -5.09		
-10.99   	-105.59   	  7.22   	   5.09		 56.20   	  -5.09		
-11.60   	-106.20   	  7.24   	   5.09		 56.17   	  -5.09		
 -9.77   	-106.81   	  7.26   	  10.17		 56.15   	 -10.17		
 -7.02   	-107.73   	  7.30   	   5.09		 56.11   	 -10.17		
 -5.19   	-109.56   	  7.32   	  10.17		 56.07   	 -15.26		
 -6.71   	-111.69   	  7.37   	  10.17		 56.01   	 -15.26		
-11.29   	-113.83   	  7.41   	  10.17		 55.95   	 -20.35		
-16.17   	-114.75   	  7.45   	   5.09		 55.87   	 -20.35		
-18.31   	-113.83   	  7.47   	  10.17		 55.79   	 -20.35		
-17.70   	-112.00   	  7.51   	  10.17		 55.71   	 -25.43		
-15.87   	-109.25   	  7.55   	  10.17		 55.61   	 -25.43		
-13.43   	-103.76   	  7.59   	  10.17		 55.50   	 -25.43		
 -9.16   	-93.38   	  7.63   	   5.09		 55.40   	 -25.43		
 -0.31   	-77.21   	  7.65   	  10.17		 55.30   	 -30.52		
 13.73   	-56.76   	  7.69   	  10.17		 55.18   	 -30.52		
 31.13   	-34.18   	  7.73   	   5.09		 55.06   	 -30.52		
 47.30   	-10.38   	  7.75   	  10.17		 54.93   	 -30.52		
 59.20   	 13.12   	  7.79   	   5.09		 54.81   	 -35.61		
 65.61   	 32.96   	  7.81   	  10.17		 54.67   	 -30.52		
 67.75   	 43.33   	  7.85   	   5.09		 54.55   	 -35.61		
 67.44   	 40.28   	  7.87   	  10.17		 54.40   	 -30.52		
 66.22   	 26.25   	  7.91   	  10.17		 54.28   	 -35.61		
 64.39   	  8.24   	  7.96   	   5.09		 54.14   	 -35.61		
 60.73   	 -7.63   	  7.98   	  10.17		 54.00   	 -35.61		
 53.41   	-21.06   	  8.02   	  10.17		 53.86   	 -30.52		
 41.81   	-36.62   	  8.06   	   5.09		 53.73   	 -35.61		
 28.99   	-57.07   	  8.08   	  10.17		 53.59   	 -35.61		
 19.23   	-80.87   	  8.12   	   5.09		 53.45   	 -35.61		
 15.87   	-101.01   	  8.14   	  10.17		 53.31   	 -30.52		
 16.17   	-113.22   	  8.18   	   5.09		 53.18   	 -35.61		
 13.73   	-118.10   	  8.20   	  10.17		 53.04   	 -35.61		
  2.14   	-120.85   	  8.24   	   5.09		 52.90   	 -30.52		
-17.40   	-125.43   	  8.26   	   5.09		 52.78   	 -30.52		
-37.54   	-131.53   	  8.28   	   5.09		 52.65   	 -35.61		
-49.13   	-136.72   	  8.30   	  10.17		 52.51   	 -30.52		
-49.44   	-138.55   	  8.34   	   5.09		 52.39   	 -30.52		
-42.72   	-137.63   	  8.36   	   5.09		 52.27   	 -25.43		
-36.93   	-136.11   	  8.38   	  10.17		 52.17   	 -30.52		
-36.32   	-134.58   	  8.42   	   5.09		 52.04   	 -25.43		
-39.98   	-132.45   	  8.44   	  10.17		 51.94   	 -30.52		
-43.95   	-128.78   	  8.48   	   5.09		 51.82   	 -25.43		
-46.39   	-125.43   	  8.50   	  10.17		 51.72   	 -25.43		
-47.00   	-125.43   	  8.55   	   5.09		 51.62   	 -25.43		
-46.69   	-132.14   	  8.57   	  10.17		 51.52   	 -30.52		
-43.03   	-146.48   	  8.61   	  10.17		 51.39   	 -25.43		
-32.35   	-161.44   	  8.65   	  10.17		 51.29   	 -25.43		
-10.07   	-160.83   	  8.69   	  10.17		 51.19   	 -25.43		
 28.08   	-120.24   	  8.73   	  10.17		 51.09   	 -25.43		
 83.31   	-14.65   	  8.77   	  10.17		 50.99   	 -30.52		
148.32   	169.68   	  8.81   	  10.17		 50.86   	 -25.43		
205.38   	431.82   	  8.85   	  10.17		 50.76   	 -25.43		
223.69   	747.99   	  8.89   	  15.26		 50.66   	 -25.43		
171.20   	1057.74   	  8.95   	  25.43		 50.56   	 -50.86		
-149.23   	1246.34(R)	  9.05(E)	  10.17		 50.36   	 -25.43		
-333.56   	941.77   	  9.09   	  15.26		 50.25   	 -30.52		
-459.90   	393.98   	  9.16   	  10.17		 50.13   	 -25.43		
-504.46   	-231.93   	  9.20   	  10.17		 50.03   	 -25.43		
-485.53   	-728.45   	  9.24   	  10.17		 49.93   	 -25.43		
-442.50   	-967.10   	  9.28   	  15.26		 49.83   	 -25.43		
-402.22   	-958.25   	  9.34   	   5.09		 49.73   	 -30.52		
-365.60   	-814.21   	  9.36   	  10.17		 49.60   	 -25.43		
-316.47   	-650.02   	  9.40   	  10.17		 49.50   	 -25.43		
-246.28   	-516.05   	  9.44   	  15.26		 49.40   	 -30.52		
-164.18   	-401.92   	  9.50   	  10.17		 49.28   	 -25.43		
-90.94   	-286.87   	  9.54   	  15.26		 49.18   	 -30.52		
-42.72   	-177.92   	  9.60   	  20.35		 49.05   	 -25.43		
-21.97   	-99.18   	  9.68   	  20.35		 48.95   	 -30.52		
-18.01   	-64.70   	  9.77   	  30.52		 48.83   	 -25.43		
-18.01   	-63.17   	  9.89   	  40.69		 48.73   	 -25.43		
-14.65   	-71.11   	 10.05   	  40.69		 48.63   	 -30.52		
 -8.24   	-72.33   	 10.21   	  55.95		 48.50   	 -25.43		
 -2.75   	-64.70   	 10.44   	  66.12		 48.40   	 -25.43		
  0.00   	-54.02   	 10.70   	  71.21		 48.30   	 -25.43		
  2.14   	-44.56   	 10.99   	  86.47		 48.20   	 -25.43		
  7.02   	-36.93   	 11.33   	  96.64		 48.10   	 -25.43		
 15.26   	-29.91   	 11.72   	 101.73		 48.00   	 -25.43		
 23.80   	-23.80   	 12.13   	 122.07		 47.89   	 -25.43		
 27.77   	-20.14   	 12.61   	 132.25		 47.79   	 -25.43		
 25.63   	-18.92   	 13.14   	 142.42		 47.69   	 -20.35		
 19.84   	-18.92   	 13.71   	 162.77		 47.61   	 -25.43		
 15.56   	-17.70   	 14.36   	 172.94		 47.51   	 -20.35		
 15.26   	-15.26   	 15.06   	 188.20		 47.43   	 -25.43		
 18.92   	-11.29   	 15.81   	 208.54		 47.32   	 -20.35		
 23.50   	 -6.71   	 16.64   	 218.72		 47.24   	 -20.35		
 25.63   	 -2.44   	 17.52   	 228.89		 47.16   	 -25.43		
 23.50   	  1.22   	 18.43   	 239.06		 47.06   	 -20.35		
 19.84   	  5.19   	 19.39   	 249.24		 46.98   	 -25.43		
 19.23   	 10.38   	 20.39   	 254.32		 46.88   	 -25.43		
 22.58   	 15.87   	 21.40   	 259.41		 46.77   	 -25.43		
 28.08   	 21.36   	 22.44   	 259.41		 46.67   	 -25.43		
 31.74   	 27.16   	 23.48   	 259.41		 46.57   	 -30.52		
 31.74   	 33.26   	 24.52   	 259.41		 46.45   	 -25.43		
 30.21   	 39.98   	 25.55   	 254.32		 46.35   	 -20.35		
 30.21   	 47.00   	 26.57   	 254.32		 46.27   	 -25.43		
 32.04   	 53.10   	 27.59   	 249.24		 46.16   	 -25.43		
 34.79   	 57.98   	 28.59   	 239.06		 46.06   	 -25.43		
 37.23   	 63.17   	 29.54   	 233.98		 45.96   	 -25.43		
 39.37   	 69.89   	 30.48   	 223.80		 45.86   	 -25.43		
 40.89   	 78.74   	 31.37   	 213.63		 45.76   	 -20.35		
 42.11   	 87.28   	 32.23   	 208.54		 45.68   	 -20.35		
 43.03   	 94.60   	 33.06   	 198.37		 45.59   	 -20.35		
 44.56   	101.01   	 33.86   	 183.11		 45.51   	 -15.26		
 47.30   	106.81   	 34.59   	 178.03		 45.45   	 -10.17		
 50.96   	112.92   	 35.30   	 162.77		 45.41   	  -5.09		
 53.10   	118.71   	 35.95   	 152.59		 45.39   	   5.09		
 53.10   	124.21   	 36.56   	 142.42		 45.41   	  20.35		
 51.27   	129.39   	 37.13   	 127.16		 45.49   	  35.61		
 50.96   	136.11   	 37.64   	 122.07		 45.64   	  50.86		
 54.32   	144.96   	 38.13   	 111.90		 45.84   	  71.21		
 59.81   	156.25   	 38.58   	 101.73		 46.12   	  96.64		
 63.78   	168.46   	 38.98   	  91.56		 46.51   	 116.99		
 63.48   	179.44   	 39.35   	  81.38		 46.98   	 147.51		
 59.51   	189.51   	 39.67   	  76.30		 47.57   	 167.85		
 57.07   	200.20   	 39.98   	  66.12		 48.24   	 198.37		
 59.81   	213.62   	 40.24   	  61.04		 49.03   	 218.72		
 66.53   	229.49   	 40.49   	  45.78		 49.91   	 244.15		
 72.33   	245.06   	 40.67   	  45.78		 50.88   	 264.50		
 73.24   	256.96   	 40.85   	  35.61		 51.94   	 284.84		
 69.58   	265.50   	 41.00   	  30.52		 53.08   	 305.19		
 66.22   	273.74   	 41.12   	  20.35		 54.30   	 315.36		
 66.53   	284.12   	 41.20   	  15.26		 55.56   	 330.62		
 69.27   	295.72   	 41.26   	  15.26		 56.89   	 335.71		
 69.27   	305.18   	 41.32   	   5.09		 58.23   	 345.88		
 64.70   	310.67   	 41.34(S)	   0.00		 59.61   	 350.97		
 58.90   	314.03   	 41.34   	   0.00		 61.02   	 350.97		
 55.85   	316.77   	 41.34   	  -5.09		 62.42   	 356.05		
 57.07   	317.99   	 41.32   	 -10.17		 63.85   	 345.88		
 59.81   	315.25   	 41.28   	 -10.17		 65.23   	 345.88		
 61.34   	304.87   	 41.24   	 -10.17		 66.61   	 340.79		
 59.81   	285.95   	 41.20   	 -15.26		 67.98   	 330.62		
 54.63   	258.18   	 41.14   	 -15.26		 69.30   	 320.45		
 46.69   	223.08   	 41.08   	 -15.26		 70.58   	 310.27		
 37.54   	182.80   	 41.02   	 -20.35		 71.82   	 295.01		
 30.21   	141.91   	 40.94   	 -15.26		 73.00   	 274.67		
 28.38   	104.68   	 40.87   	 -20.35		 74.10   	 259.41		
 31.43   	 73.24   	 40.79   	 -15.26		 75.14   	 239.06		
 33.57   	 45.17   	 40.73   	 -15.26		 76.09   	 218.72		
 29.30   	 16.48   	 40.67   	 -20.35		 76.97   	 198.37		
 18.62   	-13.12   	 40.59   	 -20.35		 77.76   	 178.03		
  7.63   	-40.28   	 40.51   	 -15.26		 78.47   	 152.59		
  2.14   	-61.65   	 40.45   	 -20.35		 79.08   	 127.16		
  1.83   	-78.13   	 40.37   	 -20.35		 79.59   	 106.82		
  2.75   	-92.47   	 40.28   	 -25.43		 80.02   	  86.47		
  0.92   	-106.81   	 40.18   	 -25.43		 80.37   	  71.21		
 -3.05   	-119.32   	 40.08   	 -25.43		 80.65   	  45.78		
 -5.49   	-127.87   	 39.98   	 -30.52		 80.83   	  30.52		
 -5.19   	-131.53   	 39.86   	 -35.61		 80.96   	  15.26		
 -4.58   	-133.97   	 39.72   	 -45.78		 81.02(S)	  -5.09		
 -5.49   	-137.33   	 39.53   	 -45.78		 81.00   	 -15.26		
 -7.32   	-141.91   	 39.35   	 -61.04		 80.94   	 -30.52		
 -7.32   	-144.65   	 39.10   	 -66.12		 80.81   	 -40.69		
 -3.36   	-143.13   	 38.84   	 -81.38		 80.65   	 -50.86		
  2.75   	-137.94   	 38.51   	 -91.56		 80.45   	 -61.04		
  5.80   	-132.75   	 38.15   	-106.82		 80.20   	 -71.21		
  4.27   	-130.31   	 37.72   	-122.07		 79.92   	 -76.30		
  0.00   	-129.70   	 37.23   	-132.25		 79.61   	 -81.38		
 -2.44   	-129.09   	 36.70   	-142.42		 79.29   	 -86.47		
 -0.61   	-127.56   	 36.13   	-147.51		 78.94   	 -96.64		
  3.66   	-125.43   	 35.54   	-152.59		 78.56   	 -96.64		
  7.63   	-123.90   	 34.93   	-152.59		 78.17   	 -96.64		
  7.93   	-123.60   	 34.32   	-152.59		 77.78   	-106.82		
  4.27   	-123.90   	 33.71   	-147.51		 77.35   	-106.82		
 -0.61   	-124.21   	 33.12   	-147.51		 76.93   	-106.82		
 -4.88   	-123.60   	 32.53   	-147.51		 76.50   	-106.82		
 -7.63   	-123.90   	 31.94   	-147.51		 76.07   	-111.90		
 -7.63   	-124.21   	 31.35   	-152.59		 75.63   	-106.82		
 -3.66   	-122.38   	 30.74   	-162.77		 75.20   	-111.90		
  3.97   	-118.10   	 30.09   	-167.85		 74.75   	-116.99		
 11.90   	-112.92   	 29.42   	-178.03		 74.28   	-111.90		
 16.17   	-108.95   	 28.71   	-188.20		 73.83   	-116.99		
 15.26   	-108.03   	 27.96   	-203.46		 73.37   	-116.99		
 10.07   	-109.56   	 27.14   	-218.72		 72.90   	-116.99		
  5.49   	-110.47   	 26.27   	-228.89		 72.43   	-116.99		
  5.19   	-109.25   	 25.35   	-244.15		 71.96   	-122.07		
  7.93   	-106.20   	 24.37   	-249.24		 71.47   	-127.16		
  9.46   	-103.15   	 23.38   	-259.41		 70.97   	-127.16		
  7.32   	-101.01   	 22.34   	-264.50		 70.46   	-127.16		
  3.05   	-99.49   	 21.28   	-264.50		 69.95   	-132.25		
  1.53   	-97.05   	 20.22   	-264.50		 69.42   	-137.33		
  3.97   	-94.60   	 19.17   	-264.50		 68.87   	-132.25		
  8.24   	-93.69   	 18.11   	-254.32		 68.34   	-142.42		
 11.60   	-94.60   	 17.09   	-244.15		 67.77   	-137.33		
 13.12   	-95.83   	 16.11   	-228.89		 67.22   	-137.33		
 13.43   	-96.13   	 15.20   	-213.63		 66.67   	-142.42		
 13.12   	-96.74   	 14.34   	-198.37		 66.10   	-142.42		
 10.38   	-99.49   	 13.55   	-178.03		 65.53   	-137.33		
  4.27   	-105.29   	 12.84   	-157.68		 64.98   	-137.33		
 -1.53   	-111.08   	 12.21   	-142.42		 64.44   	-137.33		
 -2.44   	-112.61   	 11.64   	-122.07		 63.89   	-132.25		
  3.05   	-109.25   	 11.15   	-101.73		 63.36   	-132.25		
  9.77   	-104.98   	 10.74   	 -91.56		 62.83   	-122.07		
 11.90   	-103.45   	 10.38   	 -76.30		 62.34   	-116.99		
  8.85   	-105.59   	 10.07   	 -66.12		 61.87   	-116.99		
  3.97   	-108.34   	  9.81   	 -55.95		 61.40   	-101.73		
  1.83   	-109.86   	  9.58   	 -50.86		 61.00   	-101.73		
  3.05   	-110.17   	  9.38   	 -40.69		 60.59   	 -91.56		
  4.88   	-111.39   	  9.22   	 -40.69		 60.22   	 -86.47		
  5.19   	-113.53   	  9.05   	 -35.61		 59.88   	 -76.30		
  3.05   	-115.97   	  8.91   	 -30.52		 59.57   	 -71.21		
  0.61   	-117.19   	  8.79   	 -30.52		 59.29   	 -61.04		
 -0.31   	-117.19   	  8.67   	 -25.43		 59.04   	 -50.86		
  2.44   	-116.58   	  8.57   	 -25.43		 58.84   	 -50.86		
  7.63   	-115.36   	  8.46   	 -20.35		 58.64   	 -35.61		
 13.73   	-113.22   	  8.38   	 -15.26		 58.49   	 -35.61		
 18.31   	-110.78   	  8.32   	 -15.26		 58.35   	 -25.43		
 19.53   	-109.56   	  8.26   	 -15.26		 58.25   	 -20.35		
 16.48   	-111.39   	  8.20   	 -10.17		 58.17   	 -10.17		
 11.60   	-115.36   	  8.16   	  -5.09		 58.13   	 -10.17		
  6.41   	-118.71   	  8.14   	 -10.17		 58.09   	  -5.09		
  2.75   	-119.32   	  8.10   	   0.00		 58.07   	   0.00		
  2.75   	-115.97   	  8.10   	  -5.09		 58.07   	   5.09		
  6.41   	-110.47   	  8.08(D)	   0.00		 58.09   	   5.09		
 11.29   	-105.90   	  8.08   	   0.00		 58.11   	  10.17		
 13.73   	-104.37   	  8.08   	   0.00		 58.15   	  10.17		
 13.43   	-105.59   	  8.08   	   0.00		 58.19   	  15.26		
 11.90   	-107.42   	  8.08   	   5.09		 58.25   	  15.26		
 11.90   	-108.34   	  8.10   	   0.00		 58.31   	  15.26		
 12.51   	-109.25   	  8.10   	   5.09		 58.37   	  10.17		
 11.60   	-111.39   	  8.12   	   0.00		 58.41   	  15.26		
  8.54   	-111.69   	  8.12   	   5.09		 58.47   	  10.17		
  6.41   	-106.20   	  8.14   	   0.00		 58.51   	  10.17		
  9.77   	-93.38   	  8.14   	   5.09		 58.56   	  10.17		
 21.36   	-73.85   	  8.16   	   0.00		 58.60   	   0.00		
 38.45   	-52.19   	  8.16   	   5.09		 58.60   	   5.09		
 54.63   	-32.04   	  8.18   	   0.00		 58.62   	   0.00		
 65.61   	-12.21   	  8.18   	   0.00		 58.62   	  -5.09		
 71.11   	  9.16   	  8.18   	   0.00		 58.60   	  -5.09		
 73.85   	 29.30   	  8.18   	   5.09		 58.58   	  -5.09		
 76.60   	 40.89   	  8.20   	   0.00		 58.56   	 -10.17		
 79.96   	 38.45   	  8.20   	   5.09		 58.51   	 -15.26		
 82.09   	 22.89   	  8.22   	   0.00		 58.45   	 -15.26		
 79.65   	  1.22   	  8.22   	   5.09		 58.39   	 -15.26		
 71.11   	-18.92   	  8.24   	   0.00		 58.33   	 -20.35		
 57.98   	-34.79   	  8.24   	   5.09		 58.25   	 -25.43		
 44.56   	-49.44   	  8.26   	   0.00		 58.15   	 -25.43		
 34.79   	-68.05   	  8.26   	   5.09		 58.05   	 -25.43		
 30.52   	-89.72   	  8.28   	   5.09		 57.94   	 -30.52		
 29.60   	-110.47   	  8.30   	   5.09		 57.82   	 -35.61		
 27.47   	-125.73   	  8.32   	   5.09		 57.68   	 -35.61		
 18.92   	-134.58   	  8.34   	   5.09		 57.54   	 -35.61		
  3.66   	-139.16   	  8.36   	   5.09		 57.40   	 -35.61		
-15.56   	-143.13   	  8.38   	   5.09		 57.25   	 -35.61		
-32.35   	-148.32   	  8.40   	   5.09		 57.11   	 -40.69		
-42.11   	-153.81   	  8.42   	   5.09		 56.95   	 -40.69		
-43.64   	-157.47   	  8.44   	   5.09		 56.79   	 -35.61		
-39.67   	-158.08   	  8.46   	  10.17		 56.64   	 -40.69		
-33.87   	-154.42   	  8.50   	   5.09		 56.48   	 -40.69		
-28.69   	-148.01   	  8.52   	   5.09		 56.32   	 -40.69		
-25.33   	-141.30   	  8.55   	   5.09		 56.15   	 -40.69		
-23.80   	-137.33   	  8.57   	   5.09		 55.99   	 -40.69		
-23.80   	-136.72   	  8.59   	   5.09		 55.83   	 -40.69		
-23.80   	-136.72   	  8.61   	   5.09		 55.67   	 -40.69		
-21.67   	-137.33   	  8.63   	   5.09		 55.50   	 -35.61		
-16.48   	-141.60   	  8.65   	   5.09		 55.36   	 -40.69		
 -7.32   	-153.20   	  8.67   	   5.09		 55.20   	 -40.69		
  7.93   	-162.96   	  8.69   	   5.09		 55.04   	 -40.69		
 36.32   	-146.18   	  8.71   	  10.17		 54.87   	 -40.69		
 83.31   	-70.19   	  8.75   	   5.09		 54.71   	 -35.61		
145.87   	 86.98   	  8.77   	   5.09		 54.57   	 -40.69		
208.44   	328.37   	  8.79   	  10.17		 54.40   	 -35.61		
241.39   	636.60   	  8.83   	   5.09		 54.26   	 -35.61		
210.57   	965.27   	  8.85   	  20.35		 54.12   	 -71.21		
-78.43   	1307.37(R)	  8.93(E)	   5.09		 53.83   	 -35.61		
-271.91   	1101.38   	  8.95   	  10.17		 53.69   	 -35.61		
-422.36   	609.13   	  8.99   	  10.17		 53.55   	 -30.52		
-492.86   	-35.40   	  9.03   	  10.17		 53.43   	 -30.52		
-489.20   	-614.62   	  9.07   	  10.17		 53.31   	 -30.52		
-448.30   	-952.45   	  9.11   	  10.17		 53.18   	 -30.52		
-403.44   	-1009.52   	  9.16   	  10.17		 53.06   	 -30.52		
-363.46   	-878.91   	  9.20   	   5.09		 52.94   	 -30.52		
-315.55   	-694.27   	  9.22   	  10.17		 52.82   	 -30.52		
-249.33   	-537.11   	  9.26   	  10.17		 52.70   	 -30.52		
-170.59   	-415.65   	  9.30   	  10.17		 52.57   	 -30.52		
-97.96   	-306.70   	  9.34   	  15.26		 52.45   	 -30.52		
-47.30   	-202.64   	  9.40   	  15.26		 52.33   	 -30.52		
-21.97   	-121.77   	  9.46   	  15.26		 52.21   	 -30.52		
-15.26   	-80.57   	  9.52   	  25.43		 52.09   	 -30.52		
-15.87   	-75.68   	  9.62   	  25.43		 51.96   	 -30.52		
