SAMPLE NUMBER:   14
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
 17.09   	-64.39   	 23.46   	 -61.04		
  3.36   	-73.85   	 23.21   	 -61.04		
 -9.77   	-83.31   	 22.97   	 -55.95		
-21.67   	-92.47   	 22.75   	 -45.78		
-32.35   	-99.79   	 22.56   	 -45.78		
-39.98   	-104.68   	 22.38   	 -40.69		
-43.64   	-106.20   	 22.22   	 -40.69		
-43.03   	-105.29   	 22.05   	 -45.78		
-38.76   	-103.45   	 21.87   	 -50.86		
-33.57   	-102.23   	 21.67   	 -50.86		
-29.60   	-102.23   	 21.46   	 -55.95		
-27.77   	-102.54   	 21.24   	 -61.04		
-26.86   	-102.84   	 21.00   	 -71.21		
-25.94   	-102.23   	 20.71   	 -71.21		
-23.50   	-101.32   	 20.43   	 -76.30		
-20.75   	-101.32   	 20.12   	 -81.38		
-18.62   	-101.62   	 19.80   	 -86.47		
-17.70   	-101.93   	 19.45   	-101.73		
-17.70   	-100.10   	 19.04   	-106.82		
-17.09   	-96.44   	 18.62   	-122.07		
-14.34   	-91.86   	 18.13   	-137.33		
 -9.46   	-87.89   	 17.58   	-162.77		
 -3.36   	-86.06   	 16.93   	-178.03		
  2.44   	-85.75   	 16.22   	-188.20		
  6.41   	-86.06   	 15.46   	-198.37		
  7.93   	-85.45   	 14.67   	-203.46		
  8.24   	-83.31   	 13.86   	-213.63		
  8.54   	-80.57   	 13.00   	-203.46		
  9.16   	-78.13   	 12.19   	-208.54		
  9.77   	-76.90   	 11.35   	-203.46		
 10.07   	-76.90   	 10.54   	-203.46		
 10.38   	-77.82   	  9.73   	-203.46		
 11.29   	-78.74   	  8.91   	-198.37		
 13.73   	-78.74   	  8.12   	-203.46		
 16.78   	-77.82   	  7.30   	-193.29		
 20.14   	-75.99   	  6.53   	-188.20		
 22.89   	-73.55   	  5.78   	-188.20		
 26.25   	-68.97   	  5.03   	-172.94		
 31.13   	-60.12   	  4.33   	-152.59		
 38.76   	-45.78   	  3.72   	-147.51		
 49.74   	-25.02   	  3.13   	-132.25		
 63.78   	  0.00   	  2.60   	-116.99		
 78.74   	 24.72   	  2.14   	-106.82		
 92.16   	 45.17   	  1.71   	-101.73		
102.54   	 60.12   	  1.30   	 -86.47		
110.78   	 70.19   	  0.96   	 -81.38		
118.41   	 78.13   	  0.63   	 -81.38		
127.56   	 86.36   	  0.31   	 -76.30		
137.02   	 93.99   	  0.00   	 -66.12		
144.35   	 99.49   	 -0.26   	 -71.21		
147.71   	102.23   	 -0.55   	 -66.12		
147.40   	100.71   	 -0.81   	 -50.86		
144.65   	 93.08   	 -1.02   	 -50.86		
141.91   	 77.21   	 -1.22   	 -50.86		
138.85   	 51.88   	 -1.42   	 -30.52		
134.28   	 20.75   	 -1.55   	 -15.26		
127.56   	 -9.46   	 -1.61   	 -10.17		
119.02   	-32.65   	 -1.65   	   0.00		
110.17   	-47.30   	 -1.65   	  15.26		
102.23   	-56.46   	 -1.59   	  20.35		
 95.52   	-64.70   	 -1.51   	  25.43		
 90.64   	-73.85   	 -1.40   	  35.61		
 86.98   	-83.62   	 -1.26   	  25.43		
 85.75   	-91.25   	 -1.16   	  35.61		
 86.67   	-94.30   	 -1.02   	  45.78		
 88.50   	-94.30   	 -0.83   	  25.43		
 88.81   	-93.08   	 -0.73   	  15.26		
 86.67   	-93.38   	 -0.67   	  10.17		
 82.70   	-97.35   	 -0.63   	   0.00		
 78.13   	-106.20   	 -0.63   	 -10.17		
 75.07   	-119.32   	 -0.67   	 -10.17		
 74.77   	-128.78   	 -0.71   	 -20.35		
 79.65   	-122.07   	 -0.79   	  -5.09		
 95.52   	-83.62   	 -0.81   	   0.00		
128.17   	 -0.61   	 -0.81   	   0.00		
179.75   	131.53   	 -0.81   	  10.17		
240.17   	302.12   	 -0.77   	  20.35		
282.59   	476.99   	 -0.69   	  25.43		
271.61   	602.72   	 -0.59   	  30.52		
175.78   	629.27(R)	 -0.47   	  45.78		
 -8.24   	539.55   	 -0.28   	  40.69		
-242.00   	368.96   	 -0.12   	  30.52		
-455.02   	188.29   	  0.00   	  25.43		
-577.09   	 53.10   	  0.10   	  10.17		
-575.87   	-29.60   	  0.14   	   5.09		
-477.91   	-90.94   	  0.16   	   5.09		
-348.82   	-162.66   	  0.18   	 -10.17		
-249.63   	-244.45   	  0.14   	 -20.35		
-202.33   	-309.14   	  0.06   	 -10.17		
-188.29   	-332.34   	  0.02   	 -10.17		
-173.65   	-314.03   	 -0.02   	 -10.17		
-139.16   	-274.96   	 -0.06   	  -5.09		
-90.03   	-234.07   	 -0.08   	   5.09		
-44.56   	-200.81   	 -0.06   	  15.26		
-16.78   	-177.00   	  0.00   	  15.26		
 -8.24   	-162.96   	  0.06   	  10.17		
-11.60   	-159.30   	  0.10   	  15.26		
-17.09   	-162.66   	  0.16   	  15.26		
-19.84   	-167.24   	  0.22   	  30.52		
-19.84   	-168.15   	  0.35   	  40.69		
-19.23   	-164.49   	  0.51   	  55.95		
-20.45   	-159.00   	  0.73   	  86.47		
-23.19   	-154.11   	  1.08   	 132.25		
-25.63   	-150.76   	  1.61   	 162.77		
-26.86   	-148.32   	  2.26   	 183.11		
-26.55   	-146.48   	  2.99   	 167.85		
-25.94   	-144.96   	  3.66   	 147.51		
-25.33   	-143.13   	  4.25   	 162.77		
-23.80   	-140.08   	  4.90   	 213.63		
-21.36   	-135.50   	  5.76   	 274.67		
-17.70   	-129.09   	  6.86   	 284.84		
-13.43   	-122.07   	  8.00   	 300.10		
 -9.46   	-116.27   	  9.20   	 310.27		
 -5.80   	-112.92   	 10.44   	 295.01		
 -2.75   	-112.61   	 11.62   	 289.93		
  0.00   	-113.22   	 12.78   	 254.32		
  3.36   	-112.00   	 13.79   	 203.46		
  8.24   	-107.73   	 14.61   	 172.94		
 14.04   	-100.40   	 15.30   	 142.42		
 21.06   	-91.86   	 15.87   	 116.99		
 28.08   	-84.84   	 16.34   	 106.82		
 33.26   	-80.87   	 16.76   	  91.56		
 36.62   	-79.65   	 17.13   	 101.73		
 37.84   	-80.57   	 17.54   	 106.82		
 38.15   	-81.79   	 17.97   	 111.90		
 38.76   	-82.40   	 18.41   	 116.99		
 39.98   	-82.40   	 18.88   	 122.07		
 41.20   	-83.01   	 19.37   	 122.07		
 42.72   	-85.14   	 19.86   	 116.99		
 43.95   	-88.20   	 20.33   	 111.90		
 45.17   	-91.55   	 20.77   	  86.47		
 47.00   	-93.99   	 21.12   	  61.04		
 47.91   	-95.52   	 21.36   	  55.95		
 47.61   	-95.83   	 21.59   	  25.43		
 44.86   	-94.30   	 21.69   	   0.00		
 40.28   	-90.33   	 21.69   	 -15.26		
 35.40   	-83.92   	 21.63   	 -35.61		
 31.13   	-77.51   	 21.49   	 -50.86		
 26.86   	-74.16   	 21.28   	 -61.04		
 21.97   	-75.68   	 21.04   	 -66.12		
 14.65   	-81.79   	 20.77   	 -71.21		
  3.66   	-90.64   	 20.49   	 -76.30		
-10.38   	-99.49   	 20.18   	 -66.12		
-26.25   	-107.73   	 19.92   	 -71.21		
-42.11   	-116.27   	 19.63   	 -61.04		
-57.37   	-126.04   	 19.39   	 -50.86		
-71.11   	-137.33   	 19.19   	 -55.95		
-83.31   	-149.84   	 18.96   	 -45.78		
-93.08   	-161.44   	 18.78   	 -45.78		
-100.40   	-170.90   	 18.60   	 -45.78		
-105.59   	-177.31   	 18.41   	 -40.69		
-109.56   	-181.88   	 18.25   	 -50.86		
-113.22   	-185.24   	 18.05   	 -61.04		
-116.58   	-187.68   	 17.80   	 -55.95		
-119.63   	-189.21   	 17.58   	 -66.12		
-121.46   	-189.82   	 17.31   	 -71.21		
-122.68   	-189.51   	 17.03   	 -71.21		
-123.60   	-188.29   	 16.74   	 -86.47		
-124.51   	-187.07   	 16.40   	 -81.38		
-124.82   	-186.77   	 16.07   	 -81.38		
-125.12   	-187.68   	 15.75   	 -91.56		
-125.43   	-189.82   	 15.38   	-101.73		
-126.65   	-192.57   	 14.97   	-106.82		
-128.78   	-194.70   	 14.55   	-122.07		
-131.84   	-195.62   	 14.06   	-142.42		
-135.19   	-195.31   	 13.49   	-157.68		
-138.85   	-195.31   	 12.86   	-183.11		
-142.52   	-196.53   	 12.13   	-203.46		
-145.87   	-198.97   	 11.31   	-198.37		
-148.93   	-200.81   	 10.52   	-213.63		
-151.37   	-200.81   	  9.66   	-223.80		
-152.89   	-198.06   	  8.77   	-218.72		
-153.50   	-193.79   	  7.89   	-218.72		
-153.20   	-190.43   	  7.02   	-218.72		
-151.98   	-189.51   	  6.14   	-213.63		
-150.45   	-191.65   	  5.29   	-208.54		
-148.62   	-196.23   	  4.46   	-203.46		
-147.09   	-200.20   	  3.64   	-208.54		
-144.65   	-201.11   	  2.81   	-203.46		
-140.69   	-198.67   	  1.99   	-203.46		
-134.89   	-192.87   	  1.18   	-203.46		
-127.56   	-183.72   	  0.37   	-188.20		
-119.93   	-170.90   	 -0.39   	-178.03		
-112.00   	-152.59   	 -1.10   	-167.85		
-103.76   	-129.39   	 -1.77   	-152.59		
-95.83   	-104.68   	 -2.38   	-137.33		
-89.11   	-82.40   	 -2.93   	-111.90		
-84.23   	-65.31   	 -3.38   	-101.73		
-80.87   	-53.10   	 -3.78   	 -86.47		
-78.13   	-43.95   	 -4.13   	 -55.95		
-74.46   	-35.40   	 -4.35   	 -40.69		
-70.80   	-28.08   	 -4.52   	 -35.61		
-69.27   	-23.50   	 -4.66   	 -25.43		
-70.80   	-22.28   	 -4.76   	 -10.17		
-75.99   	-23.19   	 -4.80   	 -10.17		
-82.70   	-26.55   	 -4.84   	 -10.17		
-89.42   	-35.40   	 -4.88   	   0.00		
-95.21   	-53.10   	 -4.88   	   0.00		
-100.71   	-80.87   	 -4.88   	 -10.17		
-106.51   	-115.05   	 -4.92   	   0.00		
-113.22   	-148.32   	 -4.92   	   5.09		
-120.85   	-173.03   	 -4.90   	  -5.09		
-127.87   	-187.38   	 -4.92   	   5.09		
-133.67   	-193.48   	 -4.90   	   0.00		
-136.41   	-195.92   	 -4.90   	   0.00		
-136.72   	-197.45   	 -4.90   	   5.09		
-135.19   	-198.67   	 -4.88   	  10.17		
-133.06   	-198.06   	 -4.84   	  10.17		
-130.62   	-195.62   	 -4.80   	  10.17		
-127.56   	-191.96   	 -4.76   	  15.26		
-123.90   	-188.60   	 -4.70   	  25.43		
-119.93   	-186.77   	 -4.60   	  15.26		
-116.27   	-187.99   	 -4.54   	  30.52		
-112.00   	-193.18   	 -4.42   	  40.69		
-105.59   	-198.97   	 -4.25   	  35.61		
-94.91   	-196.23   	 -4.11   	  40.69		
-76.60   	-171.51   	 -3.95   	  50.86		
-46.39   	-109.25   	 -3.74   	  40.69		
 -0.61   	  1.53   	 -3.58   	  30.52		
 59.51   	161.44   	 -3.46   	  35.61		
119.32   	350.65   	 -3.32   	  25.43		
150.45   	523.68   	 -3.21   	  35.61		
  8.24   	595.70(R)	 -3.07   	  20.35		
-174.26   	455.63   	 -2.99   	  15.26		
-378.11   	261.23   	 -2.93   	  15.26		
-537.41   	 92.77   	 -2.87   	  15.26		
-599.98   	 -6.71   	 -2.81   	   5.09		
-557.86   	-53.41   	 -2.79   	  10.17		
-449.83   	-93.69   	 -2.75   	  10.17		
-335.39   	-158.39   	 -2.71   	  15.26		
-256.65   	-235.29   	 -2.64   	  15.26		
-219.42   	-286.87   	 -2.58   	  20.35		
-199.89   	-289.61   	 -2.50   	  20.35		
-171.51   	-250.85   	 -2.42   	  30.52		
-125.73   	-196.23   	 -2.30   	  25.43		
-73.24   	-146.18   	 -2.20   	  35.61		
-31.43   	-108.64   	 -2.05   	  40.69		
 -8.85   	-83.01   	 -1.89   	  50.86		
 -3.05   	-67.14   	 -1.69   	  61.04		
 -4.27   	-59.20   	 -1.44   	  71.21		
 -3.97   	-55.85   	 -1.16   	  61.04		
  1.22   	-52.19   	 -0.92   	  71.21		
 10.38   	-46.08   	 -0.63   	  86.47		
 21.06   	-38.15   	 -0.28   	 106.82		
 30.52   	-29.91   	  0.14   	 147.51		
 37.23   	-22.58   	  0.73   	 213.63		
 41.20   	-16.48   	  1.59   	 325.53		
 42.11   	 -7.63   	  2.89   	 295.01		
 42.11   	 -3.36   	  4.07   	 239.06		
 43.95   	  2.14   	  5.03   	 223.80		
 47.91   	  8.54   	  5.92   	 198.37		
 53.10   	 14.95   	  6.71   	 198.37		
 58.90   	 21.36   	  7.51   	 213.63		
 65.31   	 27.77   	  8.36   	 244.15		
 73.24   	 34.79   	  9.34   	 274.67		
 82.70   	 43.03   	 10.44   	 295.01		
 93.69   	 51.57   	 11.62   	 300.10		
104.37   	 59.81   	 12.82   	 305.19		
113.53   	 67.75   	 14.04   	 295.01		
120.85   	 74.46   	 15.22   	 274.67		
126.34   	 80.57   	 16.32   	 244.15		
131.84   	 86.67   	 17.29   	 203.46		
138.85   	 93.38   	 18.11   	 183.11		
147.40   	100.71   	 18.84   	 157.68		
157.47   	108.03   	 19.47   	 137.33		
167.85   	114.44   	 20.02   	 127.16		
177.00   	119.02   	 20.53   	 116.99		
184.63   	121.77   	 21.00   	 116.99		
189.51   	122.68   	 21.46   	 116.99		
192.26   	122.07   	 21.93   	 111.90		
193.18   	120.54   	 22.38   	 106.82		
193.79   	119.63   	 22.81   	 101.73		
198.97   	122.68   	 23.21   	  91.56		
202.03   	126.34   	 23.58   	  81.38		
203.55   	130.31   	 23.91   	  61.04		
202.64   	134.89   	 24.15   	  45.78		
200.20   	140.38   	 24.33   	  35.61		
196.23   	147.71   	 24.48   	   5.09		
190.73   	155.03   	 24.50   	   0.00		
183.11   	160.22   	 24.50   	 -15.26		
172.42   	160.52   	 24.44   	 -30.52		
160.22   	155.64   	 24.31   	 -40.69		
148.32   	146.48   	 24.15   	 -45.78		
137.63   	136.72   	 23.97   	 -40.69		
128.48   	127.56   	 23.80   	 -45.78		
120.24   	120.54   	 23.62   	 -40.69		
111.08   	114.44   	 23.46   	 -30.52		
101.93   	107.42   	 23.34   	 -30.52		
 92.47   	 99.49   	 23.21   	 -35.61		
 83.92   	 90.33   	 23.07   	 -25.43		
 76.60   	 81.18   	 22.97   	 -30.52		
 70.80   	 72.94   	 22.85   	 -35.61		
 66.53   	 65.31   	 22.71   	 -40.69		
 62.87   	 57.98   	 22.54   	 -30.52		
 58.59   	 50.05   	 22.42   	 -40.69		
 53.71   	 41.50   	 22.26   	 -50.86		
 47.91   	 32.96   	 22.05   	 -45.78		
 41.81   	 25.63   	 21.87   	 -55.95		
 36.62   	 20.14   	 21.65   	 -61.04		
 32.96   	 16.17   	 21.40   	 -61.04		
 29.60   	 13.12   	 21.16   	 -66.12		
 26.25   	 10.07   	 20.90   	 -66.12		
 22.58   	  6.41   	 20.63   	 -86.47		
 18.31   	  1.83   	 20.28   	 -91.56		
 14.04   	 -3.66   	 19.92   	-106.82		
 10.38   	 -9.16   	 19.49   	-122.07		
  7.02   	-14.04   	 19.00   	-142.42		
  4.27   	-18.62   	 18.43   	-157.68		
  1.83   	-21.97   	 17.80   	-172.94		
  0.61   	-24.41   	 17.11   	-183.11		
 -0.61   	-26.55   	 16.38   	-188.20		
 -2.44   	-28.08   	 15.63   	-188.20		
 -4.88   	-28.69   	 14.87   	-208.54		
 -8.54   	-28.99   	 14.04   	-203.46		
-13.12   	-29.91   	 13.22   	-208.54		
-17.09   	-31.13   	 12.39   	-218.72		
-19.84   	-33.26   	 11.52   	-208.54		
-20.45   	-35.40   	 10.68   	-213.63		
-19.53   	-37.84   	  9.83   	-213.63		
-17.40   	-40.59   	  8.97   	-208.54		
-15.56   	-43.03   	  8.14   	-208.54		
-14.95   	-44.25   	  7.30   	-203.46		
-14.34   	-41.50   	  6.49   	-203.46		
-13.12   	-32.65   	  5.68   	-198.37		
 -9.77   	-16.48   	  4.88   	-178.03		
 -4.27   	  5.49   	  4.17   	-167.85		
  3.05   	 29.30   	  3.50   	-147.51		
 10.38   	 50.05   	  2.91   	-132.25		
 15.87   	 65.31   	  2.38   	-116.99		
 19.84   	 74.46   	  1.91   	 -96.64		
 22.28   	 80.26   	  1.53   	 -86.47		
 24.41   	 85.14   	  1.18   	 -76.30		
 25.33   	 88.81   	  0.87   	 -61.04		
 23.50   	 90.03   	  0.63   	 -55.95		
 17.09   	 87.28   	  0.41   	 -35.61		
  7.02   	 81.79   	  0.26   	 -30.52		
 -4.88   	 73.24   	  0.14   	 -20.35		
-14.95   	 60.12   	  0.06   	 -10.17		
-22.89   	 39.67   	  0.02   	   0.00		
-29.30   	 10.99   	  0.02   	   5.09		
-34.79   	-22.28   	  0.04   	  10.17		
-40.28   	-52.80   	  0.08   	  10.17		
-44.56   	-73.85   	  0.12   	  10.17		
-47.00   	-84.23   	  0.16   	  15.26		
-48.52   	-88.20   	  0.22   	  15.26		
-49.74   	-91.25   	  0.28   	  15.26		
-51.27   	-96.74   	  0.35   	  15.26		
-52.49   	-104.06   	  0.41   	  15.26		
-53.10   	-110.47   	  0.47   	  15.26		
-53.10   	-113.53   	  0.53   	  20.35		
-53.41   	-113.53   	  0.61   	   5.09		
-54.93   	-112.92   	  0.63   	   5.09		
-57.98   	-113.53   	  0.65   	  10.17		
-61.04   	-118.10   	  0.69   	   5.09		
-61.95   	-127.87   	  0.71   	  10.17		
-59.51   	-138.85   	  0.75   	  15.26		Beg---------
-51.88   	-141.91   	  0.81   	  10.17		
-35.40   	-121.46   	  0.85   	  20.35		
 -5.49   	-61.65   	  0.94   	  30.52		
 41.81   	 49.74   	  1.06   	  20.35		
102.84   	212.40   	  1.14   	  15.26		
160.83   	404.36   	  1.20   	  25.43		
185.55   	577.39   	  1.30   	  25.43		
143.13   	670.17(R)	  1.40(E)	  25.43		
-182.80   	491.03   	  1.51   	  25.43		
-395.81   	288.70   	  1.61   	  25.43		
-553.89   	110.17   	  1.71   	  10.17		
-605.47   	 -2.75   	  1.75   	  15.26		
-548.71   	-64.09   	  1.81   	  20.35		
-429.99   	-116.58   	  1.89   	  20.35		
-312.81   	-184.63   	  1.97   	  20.35		
-237.73   	-255.74   	  2.05   	  15.26		
-204.47   	-297.85   	  2.12   	  10.17		
-184.63   	-293.58   	  2.16   	  10.17		
-151.67   	-252.38   	  2.20   	  -5.09		
-100.40   	-197.45   	  2.18   	   0.00		
-46.69   	-149.54   	  2.18   	 -10.17		
 -8.85   	-116.88   	  2.14   	  -5.09		
  5.19   	-100.40   	  2.12   	   0.00		
  1.53   	-97.35   	  2.12   	  10.17		
 -7.63   	-101.93   	  2.16   	  20.35		
-12.51   	-106.51   	  2.24   	  40.69		
-10.07   	-105.59   	  2.40   	  66.12		
 -3.97   	-98.57   	  2.67   	  81.38		
  1.53   	-90.03   	  2.99   	  96.64		
  3.97   	-83.62   	  3.38   	  76.30		
  3.66   	-80.87   	  3.68   	  71.21		
  3.05   	-79.65   	  3.97   	 111.90		
  3.97   	-78.74   	  4.42   	 244.15		
  7.93   	-73.85   	  5.39   	 335.71		
  9.77   	-70.19   	  6.73   	 412.00		
 11.90   	-66.53   	  8.38   	 442.52		
 15.56   	-62.87   	 10.15   	 432.35		
 21.06   	-59.20   	 11.88   	 396.74		
 27.47   	-55.85   	 13.47   	 361.14		
 33.87   	-51.88   	 14.91   	 305.19		
 39.37   	-47.61   	 16.13   	 244.15		
 45.47   	-42.42   	 17.11   	 183.11		
 52.49   	-36.93   	 17.84   	 132.25		
 60.12   	-31.74   	 18.37   	 101.73		
 66.83   	-27.77   	 18.78   	  76.30		
 71.41   	-25.02   	 19.08   	  55.95		
 74.77   	-22.28   	 19.31   	  66.12		
 79.35   	-18.62   	 19.57   	  81.38		
 87.59   	-13.43   	 19.90   	 101.73		
 99.49   	 -7.32   	 20.31   	 122.07		
112.30   	 -2.14   	 20.79   	 147.51		
122.38   	  1.22   	 21.38   	 157.68		
129.09   	  1.53   	 22.01   	 167.85		
132.75   	  0.00   	 22.69   	 172.94		
135.19   	 -2.14   	 23.38   	 157.68		
136.72   	 -4.27   	 24.01   	 147.51		
136.72   	 -5.80   	 24.60   	 127.16		
135.19   	 -7.32   	 25.11   	  91.56		
128.17   	 -9.46   	 25.47   	  71.21		
123.60   	-10.07   	 25.76   	  45.78		
118.71   	-10.07   	 25.94   	  15.26		
112.30   	 -8.54   	 26.00(S)	  -5.09		
104.98   	 -5.49   	 25.98   	 -25.43		
 97.66   	 -1.53   	 25.88   	 -50.86		
 90.94   	  2.75   	 25.68   	 -55.95		
 84.23   	  5.80   	 25.45   	 -61.04		
 76.29   	  6.41   	 25.21   	 -61.04		
 65.92   	  4.58   	 24.96   	 -66.12		
 54.02   	  0.00   	 24.70   	 -55.95		
 41.50   	 -6.71   	 24.48   	 -66.12		
 29.30   	-15.26   	 24.21   	 -55.95		
 17.70   	-24.72   	 23.99   	 -45.78		
  6.10   	-35.10   	 23.80   	 -55.95		
 -6.71   	-45.47   	 23.58   	 -45.78		
-19.53   	-55.85   	 23.40   	 -45.78		
-31.13   	-64.70   	 23.21   	 -45.78		
-39.67   	-71.41   	 23.03   	 -45.78		
-45.17   	-76.90   	 22.85   	 -50.86		
-47.91   	-80.87   	 22.64   	 -45.78		
-49.74   	-83.92   	 22.46   	 -50.86		
-51.57   	-86.06   	 22.26   	 -61.04		
-53.71   	-86.67   	 22.01   	 -55.95		
-55.85   	-86.06   	 21.79   	 -61.04		
-57.07   	-84.53   	 21.55   	 -66.12		
-56.76   	-82.40   	 21.28   	 -71.21		
-54.93   	-80.26   	 21.00   	 -81.38		
-51.88   	-77.51   	 20.67   	-101.73		
-48.52   	-75.07   	 20.26   	-106.82		
-44.86   	-72.63   	 19.84   	-116.99		
-41.81   	-71.11   	 19.37   	-137.33		
-40.28   	-70.50   	 18.82   	-162.77		
-40.28   	-71.11   	 18.17   	-172.94		
-42.11   	-72.33   	 17.48   	-198.37		
-44.86   	-74.16   	 16.68   	-203.46		
-47.91   	-75.68   	 15.87   	-208.54		
-50.05   	-75.68   	 15.04   	-218.72		
-50.35   	-74.77   	 14.16   	-218.72		
-49.44   	-72.94   	 13.29   	-208.54		
-47.30   	-71.41   	 12.45   	-208.54		
-44.56   	-69.58   	 11.62   	-208.54		
-41.81   	-66.83   	 10.78   	-203.46		
-39.67   	-63.48   	  9.97   	-208.54		
-37.54   	-59.51   	  9.14   	-208.54		
-35.40   	-56.15   	  8.30   	-203.46		
-32.35   	-53.71   	  7.49   	-208.54		
-28.38   	-52.19   	  6.65   	-203.46		
-23.50   	-50.05   	  5.84   	-188.20		
-18.62   	-44.56   	  5.09   	-178.03		
-13.43   	-34.18   	  4.37   	-162.77		
 -7.32   	-17.40   	  3.72   	-152.59		
  0.00   	  3.97   	  3.11   	-142.42		
  8.24   	 25.94   	  2.54   	-127.16		
 16.78   	 44.56   	  2.03   	-116.99		
 23.80   	 58.29   	  1.57   	-106.82		
 28.99   	 68.05   	  1.14   	 -96.64		
 32.96   	 77.21   	  0.75   	 -86.47		
 36.62   	 86.06   	  0.41   	 -66.12		
 39.37   	 92.77   	  0.14   	 -55.95		
 39.06   	 94.60   	 -0.08   	 -50.86		
 34.79   	 91.86   	 -0.28   	 -30.52		
 27.47   	 87.28   	 -0.41   	 -25.43		
 19.23   	 81.18   	 -0.51   	 -20.35		
 12.51   	 71.72   	 -0.59   	 -10.17		
  7.63   	 54.93   	 -0.63(D)	   0.00		
  3.66   	 28.38   	 -0.63   	   5.09		
 -1.22   	 -4.27   	 -0.61   	   5.09		
 -6.41   	-35.71   	 -0.59   	  15.26		
-11.90   	-59.20   	 -0.53   	  20.35		
-18.01   	-72.94   	 -0.45   	  15.26		
-24.41   	-79.96   	 -0.39   	  25.43		
-30.52   	-84.23   	 -0.28   	  25.43		
-35.10   	-88.50   	 -0.18   	  10.17		
-37.84   	-92.77   	 -0.14   	  15.26		
-38.76   	-95.83   	 -0.08   	   5.09		
-38.45   	-98.27   	 -0.06   	   5.09		
-38.76   	-100.10   	 -0.04   	   5.09		
-39.98   	-102.23   	 -0.02   	   0.00		
-41.50   	-104.68   	 -0.02   	   5.09		
-42.42   	-108.34   	  0.00   	   5.09		
-42.42   	-115.36   	  0.02   	   5.09		
-40.28   	-124.82   	  0.04   	  10.17		
-34.79   	-128.17   	  0.08   	  15.26		
-21.67   	-110.78   	  0.14   	  15.26		
  5.19   	-56.46   	  0.20   	  20.35		
 50.35   	 47.00   	  0.28   	  25.43		
111.08   	199.58   	  0.39   	  20.35		
