SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
-38.45   	-113.53   	 66.92   	-172.94		 32.41   	-167.85		
-39.37   	-114.75   	 66.23   	-188.20		 31.74   	-116.99		
-39.06   	-115.05   	 65.47   	-193.29		 31.27   	-178.03		
-37.54   	-113.53   	 64.70   	-203.46		 30.56   	-228.89		
-35.40   	-110.47   	 63.89   	-223.80		 29.64   	-203.46		
-33.87   	-108.03   	 62.99   	-233.98		 28.83   	-244.15		
-33.26   	-107.73   	 62.05   	-244.15		 27.85   	-340.79		
-32.96   	-109.25   	 61.08   	-259.41		 26.49   	-335.71		
-32.04   	-111.08   	 60.04   	-274.67		 25.15   	-310.27		
-29.91   	-111.69   	 58.94   	-279.75		 23.91   	-381.48		
-27.16   	-111.08   	 57.82   	-259.41		 22.38   	-508.65		
-24.11   	-110.17   	 56.79   	-228.89		 20.35   	-534.08		
-22.28   	-109.25   	 55.87   	-198.37		 18.21   	-437.43		
-21.36   	-108.03   	 55.08   	-147.51		 16.46   	-396.74		
-21.06   	-106.51   	 54.49   	 -96.64		 14.87   	-447.61		
-20.14   	-105.59   	 54.10   	 -45.78		 13.08   	-462.87		
-19.53   	-105.90   	 53.92   	   0.00		 11.23   	-437.43		
-18.92   	-107.12   	 53.92   	  35.61		  9.48   	-396.74		
-19.23   	-108.64   	 54.06   	  71.21		  7.89   	-376.40		
-20.45   	-109.25   	 54.34   	  81.38		  6.39   	-361.14		
-22.28   	-108.95   	 54.67   	  81.38		  4.94   	-325.53		
-24.11   	-108.03   	 54.99   	  71.21		  3.64   	-259.41		
-25.94   	-108.03   	 55.28   	  45.78		  2.60   	-223.80		
-27.77   	-109.25   	 55.46   	  20.35		  1.71   	-233.98		
-28.99   	-111.08   	 55.54   	 -15.26		  0.77   	-188.20		
-28.99   	-111.69   	 55.48   	 -40.69		  0.02   	-142.42		
-28.08   	-110.17   	 55.32   	 -66.12		 -0.55   	-132.25		
-26.55   	-106.81   	 55.06   	 -91.56		 -1.08   	-132.25		
-25.94   	-103.76   	 54.69   	-106.82		 -1.61   	 -81.38		
-26.55   	-103.15   	 54.26   	-116.99		 -1.93   	 -55.95		
-28.08   	-104.98   	 53.79   	-127.16		 -2.16   	 -30.52		
-29.60   	-108.03   	 53.29   	-122.07		 -2.28   	 -30.52		
-30.21   	-109.86   	 52.80   	-111.90		 -2.40   	 -40.69		
-29.91   	-109.86   	 52.35   	-116.99		 -2.56   	  35.61		
-29.91   	-109.25   	 51.88   	 -96.64		 -2.42   	 137.33		
-30.21   	-109.56   	 51.50   	 -86.47		 -1.87   	  76.30		
-31.43   	-110.47   	 51.15   	 -66.12		 -1.57   	  -5.09		
-32.04   	-110.78   	 50.88   	 -45.78		 -1.59   	  96.64		
-32.04   	-109.56   	 50.70   	 -35.61		 -1.20   	 208.54		
-31.43   	-107.12   	 50.56   	 -25.43		 -0.37   	 142.42		
-30.52   	-105.90   	 50.46   	 -10.17		  0.20   	  66.12		
-29.91   	-106.81   	 50.42   	   0.00		  0.47   	 111.90		
-29.91   	-109.25   	 50.42   	 -10.17		  0.92   	 152.59		
-29.30   	-109.56   	 50.38   	  10.17		  1.53   	  45.78		
-27.47   	-104.06   	 50.42   	  10.17		  1.71   	  15.26		
-23.50   	-91.86   	 50.46   	 -15.26		  1.77   	  96.64		
-17.40   	-74.77   	 50.40   	 -15.26		  2.16   	  45.78		
 -8.85   	-54.63   	 50.34   	 -10.17		  2.34   	 -30.52		
  1.83   	-32.65   	 50.29   	 -35.61		  2.22   	 116.99		
 13.12   	 -9.46   	 50.15   	 -61.04		  2.69   	 137.33		
 23.80   	 12.21   	 49.91   	 -55.95		  3.23   	 -91.56		
 32.35   	 28.38   	 49.68   	 -55.95		  2.87   	-137.33		
 38.15   	 34.79   	 49.46   	 -76.30		  2.32   	  45.78		
 41.20   	 31.43   	 49.16   	 -81.38		  2.50   	 106.82		
 43.33   	 23.19   	 48.83   	 -66.12		  2.93   	 -15.26		
 46.69   	 16.17   	 48.57   	 -81.38		  2.87   	 -76.30		
 53.41   	 12.51   	 48.24   	 -81.38		  2.56   	  20.35		
 64.70   	  9.77   	 47.91   	 -66.12		  2.64   	  66.12		
 78.43   	  2.44   	 47.65   	 -55.95		  2.91   	 -55.95		
 89.72   	-12.21   	 47.43   	 -55.95		  2.69   	-132.25		
 93.08   	-32.96   	 47.20   	 -50.86		  2.16   	  35.61		
 85.75   	-53.41   	 47.00   	 -40.69		  2.30   	 162.77		
 67.44   	-69.27   	 46.84   	 -30.52		  2.95   	  50.86		
 41.20   	-80.87   	 46.71   	 -40.69		  3.15   	 -45.78		
 10.99   	-91.55   	 46.55   	 -61.04		  2.97   	 -35.61		
-20.14   	-105.59   	 46.31   	 -25.43		  2.83   	  25.43		
-47.00   	-122.38   	 46.21   	  15.26		  2.93   	  25.43		
-63.48   	-136.11   	 46.27   	 -35.61		  3.03   	-106.82		
-67.14   	-141.30   	 46.12   	 -35.61		  2.60   	 -76.30		
-60.73   	-137.33   	 45.98   	  15.26		  2.30   	 122.07		
-51.88   	-129.39   	 46.04   	 -20.35		  2.79   	 147.51		
-47.30   	-124.82   	 45.96   	 -61.04		  3.38   	 -86.47		
-48.52   	-126.04   	 45.72   	 -25.43		  3.03   	-147.51		
-52.80   	-130.62   	 45.62   	 -10.17		  2.44   	 147.51		
-56.46   	-134.58   	 45.57   	 -45.78		  3.03   	 264.50		
-58.29   	-135.50   	 45.39   	 -61.04		  4.09   	 -40.69		
-60.73   	-134.58   	 45.15   	 -35.61		  3.93   	-116.99		
-68.36   	-134.89   	 45.00   	 -15.26		  3.46   	 147.51		
-81.79   	-133.67   	 44.94   	 -35.61		  4.05   	  45.78		
-92.47   	-121.15   	 44.80   	 -66.12		  4.23   	 -76.30		
-81.18   	-81.48   	 44.54   	 -66.12		  3.93   	 101.73		
-26.25   	  4.58   	 44.27   	 -30.52		  4.33   	  71.21		
 79.35   	152.89   	 44.15   	 -45.78		  4.62   	  -5.09		
212.71   	360.72   	 43.97   	 -55.95		  4.60   	  55.95		
316.47   	583.80   	 43.74   	 -30.52		  4.82   	  61.04		
327.76   	723.27   	 43.62   	 -66.12		  5.07   	 122.07		
 36.01   	380.25   	 43.36   	 -40.69		  5.55   	 -66.12		
-152.28   	-73.85   	 43.19   	 -25.43		  5.29   	 -15.26		
-268.55   	-523.68   	 43.09   	 -15.26		  5.23   	 122.07		
-291.44   	-796.81   	 43.03   	 -25.43		  5.72   	  76.30		
-255.43   	-829.77(R)	 42.93   	 -20.35		  6.02   	  25.43		
-214.23   	-690.31   	 42.85   	 -10.17		  6.12   	  25.43		
-193.18   	-502.32   	 42.81   	 -25.43		  6.23   	   5.09		
-180.97   	-354.92   	 42.71   	 -45.78		  6.25   	 142.42		
-154.72   	-263.67   	 42.52   	 -30.52		  6.82   	 147.51		
-107.12   	-200.50   	 42.40   	 -15.26		  7.41   	-106.82		
-54.32   	-142.21   	 42.34   	 -45.78		  6.98   	  10.17		
-19.23   	-92.47   	 42.16   	 -45.78		  7.02   	 279.75		
-10.07   	-66.53   	 41.97   	 -25.43		  8.14   	 269.58		
-17.09   	-65.61   	 41.87   	 -25.43		  9.22   	 203.46		
-24.72   	-75.07   	 41.77   	 -15.26		 10.03   	 172.94		
-23.50   	-79.35   	 41.71   	 -20.35		 10.72   	 193.29		
-15.56   	-74.16   	 41.63   	 -61.04		 11.50   	 340.79		
 -7.02   	-64.09   	 41.38   	 -50.86		 12.86   	  61.04		
 -2.75   	-55.85   	 41.18   	 -20.35		 13.10   	 -10.17		
 -2.75   	-52.19   	 41.10   	 -76.30		 13.06   	 620.55		
 -3.97   	-52.19   	 40.79   	 -71.21		 15.54   	 656.15		
 -3.97   	-52.19   	 40.51   	 -20.35		 18.17   	 188.20		
 -1.83   	-50.66   	 40.43   	 -30.52		 18.92   	 269.58		
  0.92   	-47.30   	 40.31   	 -76.30		 20.00   	 584.94		
  2.44   	-43.95   	 40.00   	 -76.30		 22.34   	 808.75		
  3.97   	-38.45   	 39.69   	  45.78		 25.57   	 284.84		
  6.10   	-33.57   	 39.88   	  96.64		 26.71   	 417.09		
  9.16   	-27.77   	 40.26   	 233.98		 28.38   	 300.10		
 12.51   	-22.89   	 41.20   	 417.09		 29.58   	 178.03		
 15.26   	-20.75   	 42.87   	 569.68		 30.29   	 239.06		
 17.70   	-20.14   	 45.15   	 686.67		 31.25   	 274.67		
 20.75   	-18.31   	 47.89   	 798.57		 32.35   	 157.68		
 24.11   	-14.65   	 51.09   	 859.61		 32.98   	  50.86		
 27.16   	 -9.77   	 54.53   	 854.52		 33.18   	  81.38		
 30.21   	 -6.10   	 57.94   	 824.00		 33.51   	  71.21		
 32.96   	 -4.88   	 61.24   	 747.71		 33.79   	 -35.61		
 36.32   	 -3.66   	 64.23   	 615.46		 33.65   	 -55.95		
 40.28   	  0.61   	 66.69   	 452.69		 33.43   	 -10.17		
 45.17   	  8.24   	 68.50   	 284.84		 33.39   	 -30.52		
 51.27   	 17.40   	 69.64   	 116.99		 33.27   	 -96.64		
 57.68   	 25.94   	 70.11   	 -66.12		 32.88   	-116.99		
 65.00   	 32.35   	 69.85   	-183.11		 32.41   	 -76.30		
 72.33   	 37.54   	 69.11   	-259.41		 32.11   	 -96.64		
 79.96   	 43.03   	 68.08   	-325.53		 31.72   	-152.59		
 86.98   	 50.35   	 66.77   	-371.31		 31.11   	 -71.21		
 93.99   	 59.51   	 65.29   	-330.62		 30.82   	  40.69		
101.01   	 69.58   	 63.97   	-284.84		 30.99   	 -10.17		
108.34   	 80.87   	 62.83   	-233.98		 30.95   	-116.99		
116.27   	 93.99   	 61.89   	-137.33		 30.48   	 -71.21		
124.21   	108.34   	 61.34   	  15.26		 30.19   	 -20.35		
137.33   	137.94   	 61.40   	 137.33		 30.11   	 -20.35		
141.91   	150.45   	 61.95   	 239.06		 30.03   	  50.86		
145.26   	161.13   	 62.91   	 386.57		 30.23   	 111.90		
148.93   	171.51   	 64.46   	 462.87		 30.68   	  86.47		
152.59   	183.11   	 66.31   	 401.83		 31.03   	  30.52		
156.25   	196.53   	 67.91   	 376.40		 31.15   	  25.43		
158.69   	210.88   	 69.42   	 432.35		 31.25   	  76.30		
160.22   	224.91   	 71.15   	 401.83		 31.56   	 111.90		
160.52   	237.73   	 72.76   	 284.84		 32.00   	 106.82		
159.91   	249.63   	 73.90   	 239.06		 32.43   	  96.64		
159.61   	260.01   	 74.85   	 228.89		 32.82   	 106.82		
159.61   	270.08   	 75.77   	 147.51		 33.25   	 111.90		
159.91   	279.54   	 76.36   	  66.12		 33.69   	 111.90		
160.52   	289.00   	 76.62   	  45.78		 34.14   	 106.82		
160.83   	297.24   	 76.81   	  -5.09		 34.57   	  61.04		
159.30   	301.82   	 76.79   	 -86.47		 34.81   	  35.61		
155.03   	299.68   	 76.44   	-106.82		 34.95   	  71.21		
146.48   	288.70   	 76.01   	-106.82		 35.24   	  86.47		
133.97   	269.17   	 75.58   	-132.25		 35.58   	  20.35		
117.19   	241.39   	 75.06   	-152.59		 35.67   	 -30.52		
 97.66   	208.13   	 74.45   	-132.25		 35.54   	 -20.35		
 77.21   	170.59   	 73.92   	-106.82		 35.46   	  25.43		
 57.07   	130.00   	 73.49   	 -96.64		 35.56   	 -15.26		
 37.54   	 88.50   	 73.10   	 -71.21		 35.50   	 -86.47		
 19.23   	 47.30   	 72.82   	 -30.52		 35.16   	-106.82		
 -8.54   	-21.97   	 72.70   	  -5.09		 34.73   	 -71.21		
-16.78   	-45.17   	 72.68   	  10.17		 34.45   	-106.82		
-21.67   	-60.73   	 72.72   	  30.52		 34.02   	 -76.30		
-25.02   	-71.72   	 72.84   	  30.52		 33.71   	 -50.86		
-28.38   	-82.09   	 72.96   	  25.43		 33.51   	 -91.56		
-33.26   	-93.08   	 73.06   	  20.35		 33.14   	-111.90		
-37.84   	-103.45   	 73.14   	   0.00		 32.70   	 -86.47		
-40.89   	-110.17   	 73.14   	 -15.26		 32.35   	 -66.12		
-41.20   	-112.00   	 73.08   	 -25.43		 32.09   	 -76.30		
-39.98   	-110.47   	 72.98   	 -40.69		 31.78   	 -86.47		
-38.45   	-109.25   	 72.82   	 -71.21		 31.43   	 -71.21		
-37.54   	-109.86   	 72.53   	-101.73		 31.15   	 -81.38		
-37.23   	-112.61   	 72.13   	-106.82		 30.82   	-132.25		
-37.23   	-115.05   	 71.70   	-122.07		 30.29   	-162.77		
-36.32   	-116.58   	 71.21   	-132.25		 29.64   	-172.94		
-35.10   	-117.19   	 70.68   	-152.59		 28.95   	-198.37		
-33.87   	-118.71   	 70.07   	-162.77		 28.16   	-249.24		
-32.96   	-121.77   	 69.42   	-172.94		 27.16   	-284.84		
-32.04   	-125.12   	 68.73   	-178.03		 26.02   	-279.75		
-30.82   	-126.95   	 68.02   	-188.20		 24.90   	-264.50		
-29.60   	-126.34   	 67.26   	-193.29		 23.85   	-305.19		
-28.08   	-123.29   	 66.49   	-183.11		 22.62   	-340.79		
-26.25   	-119.02   	 65.76   	-198.37		 21.26   	-356.05		
-24.72   	-115.97   	 64.96   	-213.63		 19.84   	-396.74		
-23.80   	-115.36   	 64.11   	-218.72		 18.25   	-508.65		
-23.80   	-117.80   	 63.23   	-223.80		 16.22   	-574.77		
-25.02   	-121.15   	 62.34   	-244.15		 13.92   	-528.99		
-25.94   	-121.77   	 61.36   	-249.24		 11.80   	-478.13		
-25.63   	-118.10   	 60.37   	-233.98		  9.89   	-457.78		
-23.80   	-111.08   	 59.43   	-223.80		  8.06   	-432.35		
-21.36   	-104.37   	 58.53   	-183.11		  6.33   	-381.48		
-19.84   	-102.54   	 57.80   	-142.42		  4.80   	-330.62		
-20.14   	-105.90   	 57.23   	 -91.56		  3.48   	-284.84		
-21.67   	-112.30   	 56.87   	 -45.78		  2.34   	-254.32		
-22.89   	-117.80   	 56.68   	 -20.35		  1.32   	-239.06		
-23.50   	-119.63   	 56.60   	   5.09		  0.37   	-208.54		
-22.58   	-118.10   	 56.62   	  25.43		 -0.47   	-162.77		
-21.67   	-114.44   	 56.72   	  40.69		 -1.12   	-101.73		
-21.97   	-111.69   	 56.89   	  40.69		 -1.53   	 -96.64		
-24.11   	-112.00   	 57.05   	  40.69		 -1.91   	 -91.56		
-26.25   	-114.14   	 57.21   	  25.43		 -2.28   	 -66.12		
-27.77   	-116.27   	 57.31   	   5.09		 -2.54   	 -20.35		
-27.47   	-116.58   	 57.33   	 -15.26		 -2.62   	   5.09		
-25.94   	-114.75   	 57.27   	 -45.78		 -2.60   	  -5.09		
-25.02   	-112.30   	 57.09   	 -61.04		 -2.62   	   5.09		
-25.63   	-111.39   	 56.85   	 -81.38		 -2.60   	  76.30		
-27.77   	-112.92   	 56.52   	-106.82		 -2.30   	  76.30		
-29.91   	-115.36   	 56.09   	-106.82		 -1.99   	  35.61		
-31.43   	-117.19   	 55.67   	-111.90		 -1.85   	  55.95		
-31.43   	-117.80   	 55.22   	-111.90		 -1.63   	 122.07		
-30.82   	-117.49   	 54.77   	-101.73		 -1.14   	 152.59		
-29.91   	-117.19   	 54.36   	 -96.64		 -0.53   	 132.25		
-28.99   	-117.80   	 53.98   	 -81.38		  0.00   	 116.99		
-28.08   	-119.32   	 53.65   	 -71.21		  0.47   	 147.51		
-27.16   	-121.46   	 53.37   	 -50.86		  1.06   	 132.25		
-27.16   	-123.60   	 53.16   	 -45.78		  1.59   	  71.21		
-27.77   	-124.51   	 52.98   	 -25.43		  1.87   	  45.78		
-28.38   	-122.99   	 52.88   	 -20.35		  2.05   	  25.43		
-28.69   	-118.71   	 52.80   	 -15.26		  2.16   	 -10.17		
-28.69   	-113.83   	 52.74   	 -15.26		  2.12   	 -20.35		
-28.69   	-111.39   	 52.68   	 -15.26		  2.03   	  -5.09		
-29.30   	-113.22   	 52.61   	 -20.35		  2.01   	 -30.52		
-30.52   	-116.88   	 52.53   	 -20.35		  1.89   	 -25.43		
-30.52   	-118.41   	 52.45   	 -30.52		  1.79   	   5.09		
-28.38   	-112.61   	 52.33   	 -35.61		  1.81   	  -5.09		
-23.19   	-98.57   	 52.19   	 -40.69		  1.79   	  -5.09		
-15.56   	-78.13   	 52.02   	 -50.86		  1.77   	  40.69		
 -6.41   	-55.54   	 51.82   	 -61.04		  1.93   	  35.61		
  3.36   	-33.57   	 51.58   	 -66.12		  2.08   	   0.00		
 12.82   	-13.12   	 51.31   	 -71.21		  2.08   	  10.17		
 21.97   	  4.58   	 51.03   	 -76.30		  2.12   	  55.95		
 30.21   	 17.70   	 50.72   	 -76.30		  2.34   	  66.12		
 37.54   	 23.80   	 50.42   	 -76.30		  2.60   	  25.43		
 43.64   	 22.89   	 50.11   	 -71.21		  2.71   	  10.17		
 48.52   	 17.40   	 49.83   	 -66.12		  2.75   	  66.12		
 53.71   	 10.38   	 49.56   	 -61.04		  3.01   	 106.82		
 61.95   	  3.05   	 49.32   	 -55.95		  3.44   	  30.52		
 74.46   	 -5.49   	 49.09   	 -50.86		  3.56   	 -40.69		
 87.89   	-16.48   	 48.89   	 -40.69		  3.40   	  25.43		
 96.74   	-31.43   	 48.73   	 -35.61		  3.50   	  91.56		
 95.52   	-49.44   	 48.59   	 -35.61		  3.87   	  20.35		
 82.09   	-68.05   	 48.44   	 -35.61		  3.95   	 -45.78		
 58.59   	-85.75   	 48.30   	 -25.43		  3.76   	   0.00		
 28.69   	-101.62   	 48.20   	 -25.43		  3.76   	  35.61		
 -3.66   	-115.36   	 48.10   	 -35.61		  3.91   	  15.26		
-34.18   	-128.17   	 47.96   	 -25.43		  3.97   	 -30.52		
-57.07   	-139.77   	 47.85   	 -25.43		  3.85   	 -15.26		
-67.75   	-147.71   	 47.75   	 -50.86		  3.78   	  20.35		
-66.22   	-150.76   	 47.55   	 -45.78		  3.87   	 -30.52		
-58.59   	-148.32   	 47.37   	 -30.52		  3.74   	 -45.78		
-52.19   	-143.43   	 47.24   	 -50.86		  3.56   	  40.69		
-51.27   	-139.16   	 47.04   	 -50.86		  3.72   	  76.30		
-54.02   	-136.11   	 46.84   	 -45.78		  4.03   	  20.35		
-57.07   	-133.36   	 46.65   	 -45.78		  4.11   	  -5.09		
-57.07   	-130.00   	 46.47   	 -61.04		  4.09   	  40.69		
-55.85   	-127.26   	 46.23   	 -45.78		  4.25   	  45.78		
-57.68   	-128.17   	 46.04   	 -45.78		  4.44   	  10.17		
-67.14   	-134.28   	 45.86   	 -45.78		  4.48   	  15.26		
-83.01   	-139.47   	 45.68   	 -45.78		  4.54   	  66.12		
-93.69   	-130.31   	 45.49   	 -40.69		  4.80   	  50.86		
-76.90   	-88.20   	 45.33   	 -45.78		  5.01   	  -5.09		
-11.90   	  6.10   	 45.15   	 -40.69		  4.98   	  10.17		
103.76   	164.49   	 44.98   	 -45.78		  5.03   	  66.12		
239.26   	378.72   	 44.80   	 -40.69		  5.29   	  55.95		
331.42   	599.37   	 44.64   	 -66.12		  5.51   	 -25.43		
187.38   	658.57   	 44.37   	 -25.43		  5.41   	  50.86		
-15.56   	360.11   	 44.27   	 -25.43		  5.62   	  66.12		
-204.16   	-90.94   	 44.17   	 -20.35		  5.88   	   0.00		
-307.62   	-525.51   	 44.09   	 -20.35		  5.88   	   5.09		
-314.03   	-781.25   	 44.01   	 -20.35		  5.90   	  86.47		
-267.94   	-804.75(R)	 43.93   	 -30.52		  6.25   	  76.30		
-223.69   	-667.11   	 43.80   	 -25.43		  6.55   	  -5.09		
-202.64   	-487.67   	 43.70   	 -25.43		  6.53   	  -5.09		
-188.60   	-347.90   	 43.60   	 -30.52		  6.51   	  96.64		
-156.86   	-260.31   	 43.48   	 -30.52		  6.90   	 127.16		
-102.54   	-197.45   	 43.36   	 -45.78		  7.41   	  45.78		
-45.47   	-138.24   	 43.17   	 -40.69		  7.59   	  50.86		
 -9.77   	-87.59   	 43.01   	 -40.69		  7.79   	 188.20		
 -1.83   	-60.73   	 42.85   	 -40.69		  8.55   	 279.75		
-10.68   	-59.20   	 42.69   	 -30.52		  9.66   	 233.98		
-19.53   	-68.66   	 42.56   	 -35.61		 10.60   	 172.94		
-19.84   	-73.24   	 42.42   	 -50.86		 11.29   	 178.03		
-12.51   	-67.75   	 42.22   	 -50.86		 12.00   	 244.15		
 -3.97   	-57.07   	 42.01   	 -40.69		 12.98   	 289.93		
  1.22   	-47.61   	 41.85   	 -45.78		 14.14   	 335.71		
  2.44   	-43.95   	 41.67   	 -55.95		 15.48   	 381.48		
  2.14   	-43.33   	 41.44   	 -55.95		 17.01   	 381.48		
  2.75   	-41.81   	 41.22   	 -50.86		 18.54   	 396.74		
  5.19   	-36.32   	 41.02   	 -61.04		 20.12   	 427.26		
  8.54   	-29.30   	 40.77   	-116.99		 21.83   	 737.54		
 11.60   	-23.50   	 40.31   	 -20.35		 24.78   	 340.79		
 11.60   	-24.72   	 40.22   	  25.43		 26.14   	 366.22		
 12.51   	-24.41   	 40.33   	  96.64		 27.61   	 325.53		
 14.34   	-21.36   	 40.71   	 208.54		 28.91   	 249.24		
 17.09   	-15.26   	 41.55   	 371.31		 29.91   	 193.29		
 19.53   	 -8.85   	 43.03   	 528.99		 30.68   	 198.37		
 21.36   	 -3.97   	 45.15   	 661.24		 31.47   	 198.37		
 23.19   	  0.00   	 47.79   	 768.05		 32.27   	 127.16		
 25.33   	  3.66   	 50.86   	 839.26		 32.78   	  15.26		
 28.69   	  7.63   	 54.22   	 869.78		 32.84   	   0.00		
 32.35   	 11.60   	 57.70   	 844.35		 32.84   	  45.78		
 36.32   	 15.56   	 61.08   	 757.88		 33.02   	  35.61		
 40.59   	 18.92   	 64.11   	 640.89		 33.16   	 -30.52		
 44.86   	 22.58   	 66.67   	 503.56		 33.04   	-116.99		
 49.74   	 27.47   	 68.69   	 330.62		 32.57   	-101.73		
 54.63   	 32.96   	 70.01   	 157.68		 32.17   	 -30.52		
 59.51   	 37.54   	 70.64   	 -10.17		 32.04   	 -76.30		
 63.78   	 41.50   	 70.60   	-162.77		 31.74   	-132.25		
 68.05   	 45.78   	 69.95   	-254.32		 31.21   	-127.16		
 72.94   	 51.88   	 68.93   	-325.53		 30.70   	 -91.56		
 78.74   	 60.73   	 67.63   	-356.05		 30.34   	 -81.38		
 85.45   	 70.80   	 66.21   	-350.97		 30.01   	 -40.69		
 92.16   	 80.57   	 64.80   	-300.10		 29.85   	   5.09		
 97.96   	 88.81   	 63.60   	-249.24		 29.87   	 -25.43		
102.84   	 96.44   	 62.60   	-233.98		 29.77   	 -30.52		
113.22   	117.80   	 61.67   	  10.17		 29.64   	  71.21		
119.02   	131.53   	 61.71   	 137.33		 29.93   	  40.69		
124.51   	144.96   	 62.26   	 279.75		 30.09   	  40.69		
129.39   	157.78   	 63.38   	 340.79		 30.25   	  76.30		
133.06   	169.98   	 64.74   	 330.62		 30.56   	 101.73		
136.11   	183.11   	 66.06   	 361.14		 30.97   	 101.73		
138.85   	198.06   	 67.51   	 422.18		 31.37   	  66.12		
141.30   	213.01   	 69.20   	 386.57		 31.64   	  66.12		
143.43   	226.44   	 70.74   	 320.45		 31.90   	 132.25		
144.65   	237.73   	 72.02   	 305.19		 32.43   	 152.59		
145.87   	247.80   	 73.24   	 269.58		 33.04   	  76.30		
147.71   	259.09   	 74.32   	 152.59		 33.35   	  71.21		
149.84   	271.91   	 74.93   	 101.73		 33.63   	 116.99		
151.98   	285.34   	 75.34   	 157.68		 34.10   	 116.99		
152.59   	295.72   	 75.97   	  81.38		 34.57   	  76.30		
151.98   	300.90   	 76.30   	 -50.86		 34.87   	  40.69		
150.15   	300.60   	 76.09   	 -25.43		 35.04   	  45.78		
146.48   	296.02   	 75.99   	 -15.26		 35.22   	  50.86		
139.77   	286.87   	 75.93   	-101.73		 35.42   	  15.26		
128.17   	271.30   	 75.52   	-137.33		 35.48   	 -10.17		
111.08   	247.50   	 74.97   	-116.99		 35.44   	 -15.26		
 90.33   	215.15   	 74.51   	-122.07		 35.38   	 -20.35		
 68.97   	177.00   	 74.02   	-137.33		 35.30   	 -40.69		
 49.74   	137.33   	 73.47   	-101.73		 35.14   	 -35.61		
 33.26   	 99.79   	 73.06   	-137.33		 34.99   	-111.90		
  4.27   	 34.48   	 72.51   	 -45.78		 34.55   	 -96.64		
 -8.54   	  7.32   	 72.33   	 -20.35		 34.16   	 -66.12		
-18.92   	-15.56   	 72.25   	  -5.09		 33.90   	 -61.04		
-25.94   	-33.87   	 72.23   	   0.00		 33.65   	 -71.21		
-29.91   	-48.22   	 72.23   	  -5.09		 33.37   	 -66.12		
-32.96   	-61.04   	 72.21   	  -5.09		 33.10   	 -61.04		
-36.01   	-73.85   	 72.19   	 -10.17		 32.86   	 -86.47		
-39.37   	-86.06   	 72.15   	 -10.17		 32.51   	-106.82		
-41.50   	-95.52   	 72.11   	 -20.35		 32.09   	 -71.21		
-42.72   	-100.10   	 72.02   	 -35.61		 31.80   	 -50.86		
-43.03   	-100.40   	 71.88   	 -40.69		 31.60   	 -96.64		
