SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
 61.34   	-19.84   	 12.33   	-198.37		
 63.48   	-24.41   	 11.54   	-223.80		
 65.31   	-29.60   	 10.64   	-239.06		
 68.97   	-31.43   	  9.68   	-259.41		
 75.99   	-28.38   	  8.65   	-269.58		
 85.45   	-21.06   	  7.57   	-269.58		
 92.77   	-13.43   	  6.49   	-244.15		
 96.44   	 -8.54   	  5.51   	-218.72		
 96.44   	 -7.63   	  4.64   	-193.29		
 95.83   	 -9.77   	  3.87   	-178.03		
 93.69   	-13.73   	  3.15   	-167.85		
 87.59   	-18.92   	  2.48   	-167.85		
 76.90   	-24.72   	  1.81   	-167.85		
 63.48   	-30.21   	  1.14   	-162.77		
 53.10   	-35.71   	  0.49   	-152.59		
 47.00   	-41.81   	 -0.12   	-132.25		
 44.25   	-49.13   	 -0.65   	-106.82		
 43.95   	-53.71   	 -1.08   	 -71.21		
 46.69   	-50.05   	 -1.36   	 -40.69		
 52.19   	-36.32   	 -1.53   	 -10.17		
 58.59   	-16.48   	 -1.57   	  15.26		
 62.87   	  3.05   	 -1.51   	  30.52		
 65.00   	 17.70   	 -1.38   	  45.78		
 69.27   	 28.99   	 -1.20   	  35.61		
 77.82   	 39.98   	 -1.06   	  30.52		
 88.50   	 51.27   	 -0.94   	  15.26		
 95.52   	 60.12   	 -0.87   	   0.00		
 95.21   	 63.78   	 -0.87   	 -20.35		
 88.50   	 59.51   	 -0.96   	 -30.52		
 80.57   	 46.39   	 -1.08   	 -40.69		
 75.07   	 24.72   	 -1.24   	 -30.52		
 73.24   	 -4.58   	 -1.36   	 -25.43		
 73.24   	-38.45   	 -1.46   	 -15.26		
 72.02   	-71.41   	 -1.53   	   0.00		
 65.61   	-101.62   	 -1.53   	   5.09		
 49.74   	-129.09   	 -1.51   	  10.17		
 25.94   	-155.33   	 -1.46   	  15.26		
  1.53   	-179.14   	 -1.40   	  10.17		
-14.65   	-195.62   	 -1.36   	  15.26		
-18.31   	-202.03   	 -1.30   	  20.35		
-13.73   	-200.50   	 -1.22   	  25.43		
-10.38   	-198.36   	 -1.12   	  25.43		
-14.04   	-199.89   	 -1.02   	  25.43		
-21.06   	-203.86   	 -0.92   	  30.52		
-22.58   	-204.16   	 -0.79   	  40.69		
-13.12   	-197.75   	 -0.63   	  50.86		
  3.36   	-187.07   	 -0.43   	  55.95		
 18.01   	-178.22   	 -0.20   	  61.04		
 24.72   	-175.48   	  0.04   	  61.04		
 24.11   	-177.61   	  0.28   	  50.86		
 20.45   	-180.97   	  0.49   	  45.78		
 17.70   	-182.19   	  0.67   	  25.43		
 13.73   	-176.39   	  0.77   	  15.26		
  7.32   	-154.72   	  0.83   	   0.00		
 -0.31   	-104.98   	  0.83   	  -5.09		
 -2.75   	-16.78   	  0.81   	 -10.17		
  5.19   	112.30   	  0.77   	  -5.09		
 23.50   	271.91   	  0.75(E)	  10.17		
 43.64   	432.43   	  0.79   	   5.09		
 49.44   	532.53   	  0.81   	  30.52		
-46.08   	299.38   	  0.94   	  30.52		
-160.83   	-39.06   	  1.06   	  30.52		
-299.38   	-413.82   	  1.18   	  35.61		
-426.33   	-703.43   	  1.32   	  25.43		
-502.62   	-837.40(R)	  1.42   	  20.35		
-505.98   	-821.23   	  1.51   	  15.26		
-441.89   	-708.01   	  1.57   	  15.26		
-340.88   	-554.81   	  1.63   	   5.09		
-238.04   	-402.22   	  1.65   	   5.09		
-156.56   	-278.32   	  1.67   	  10.17		
-101.62   	-201.42   	  1.71   	   5.09		
-65.92   	-177.00   	  1.73   	   5.09		
-42.42   	-188.60   	  1.75   	   0.00		
-26.86   	-208.44   	  1.75   	   0.00		
-17.09   	-215.45   	  1.75   	   0.00		
 -9.77   	-206.91   	  1.75   	  10.17		
 -2.44   	-192.57   	  1.79   	  35.61		
  5.19   	-181.88   	  1.93   	  86.47		
 10.38   	-177.61   	  2.28   	 157.68		
 11.29   	-178.22   	  2.91   	 239.06		
  9.16   	-180.66   	  3.87   	 315.36		
  5.19   	-182.50   	  5.13   	 335.71		
  0.61   	-181.27   	  6.47   	 295.01		
 -4.58   	-176.09   	  7.65   	 213.63		
 -9.77   	-168.46   	  8.50   	 137.33		
-10.38   	-155.64   	  9.05   	 116.99		
 -2.75   	-149.84   	  9.52   	 122.07		
  7.32   	-143.43   	 10.01   	 122.07		
 16.78   	-136.72   	 10.50   	 142.42		
 24.11   	-130.00   	 11.07   	 193.29		
 29.60   	-123.29   	 11.84   	 233.98		
 33.57   	-116.88   	 12.78   	 198.37		
 35.40   	-110.78   	 13.57   	 183.11		
 33.87   	-106.81   	 14.30   	 183.11		
 28.08   	-104.98   	 15.04   	 147.51		
 19.23   	-104.68   	 15.63   	 116.99		
  8.24   	-106.20   	 16.09   	 101.73		
 -2.14   	-108.34   	 16.50   	  71.21		
-10.68   	-109.86   	 16.79   	  66.12		
-15.87   	-110.78   	 17.05   	  76.30		
-15.87   	-108.95   	 17.35   	  91.56		
-10.38   	-103.15   	 17.72   	 106.82		
 -1.53   	-94.30   	 18.15   	 111.90		
  9.16   	-83.92   	 18.60   	 111.90		
 18.92   	-73.55   	 19.04   	 101.73		
 26.25   	-64.70   	 19.45   	  81.38		
 30.52   	-57.37   	 19.78   	  61.04		
 31.43   	-51.88   	 20.02   	  45.78		
 28.99   	-47.00   	 20.20   	  15.26		
 25.02   	-41.50   	 20.26(S)	 -15.26		
 16.78   	-27.77   	 20.20   	 -25.43		
 11.90   	-21.67   	 20.10   	 -25.43		
  5.80   	-17.09   	 20.00   	 -20.35		
 -0.31   	-12.51   	 19.92   	 -20.35		
 -5.80   	 -6.41   	 19.84   	 -25.43		
 -8.54   	  2.44   	 19.74   	 -30.52		
 -8.54   	 13.43   	 19.61   	 -30.52		
 -6.41   	 25.33   	 19.49   	 -35.61		
 -2.14   	 36.93   	 19.35   	 -40.69		
  3.36   	 48.83   	 19.19   	 -40.69		
  8.54   	 60.73   	 19.02   	 -40.69		
 11.90   	 73.24   	 18.86   	 -35.61		
 11.60   	 83.92   	 18.72   	 -35.61		
  7.32   	 92.16   	 18.58   	 -25.43		
  1.22   	 96.13   	 18.47   	 -25.43		
 -4.88   	 93.69   	 18.37   	 -10.17		
 -8.24   	 84.84   	 18.33   	 -10.17		
 -8.54   	 71.11   	 18.29   	 -10.17		
 -6.41   	 55.24   	 18.25   	 -10.17		
 -4.27   	 39.37   	 18.21   	 -20.35		
 -3.66   	 23.50   	 18.13   	 -30.52		
 -5.49   	  7.02   	 18.01   	 -40.69		
 -8.24   	-11.29   	 17.84   	 -40.69		
 -8.85   	-29.60   	 17.68   	 -35.61		
 -7.63   	-46.69   	 17.54   	 -25.43		
 -6.71   	-62.26   	 17.44   	 -20.35		
 -8.85   	-76.90   	 17.35   	   0.00		
-14.65   	-90.33   	 17.35   	   0.00		
-21.06   	-101.62   	 17.35   	   5.09		
-25.94   	-108.95   	 17.38   	   5.09		
-30.21   	-113.53   	 17.40   	  -5.09		
-37.84   	-117.80   	 17.38   	 -25.43		
-47.91   	-122.99   	 17.27   	 -50.86		
-53.10   	-125.43   	 17.07   	 -81.38		
-46.69   	-121.77   	 16.74   	-116.99		
-28.38   	-111.08   	 16.28   	-152.59		
 -6.10   	-97.66   	 15.67   	-152.59		
  9.77   	-87.59   	 15.06   	-137.33		
 16.48   	-83.01   	 14.51   	-147.51		
 19.53   	-81.18   	 13.92   	-152.59		
 23.50   	-79.65   	 13.31   	-167.85		
 27.47   	-78.43   	 12.63   	-183.11		
 25.02   	-80.26   	 11.90   	-188.20		
 12.51   	-86.06   	 11.15   	-203.46		
 -7.63   	-95.21   	 10.34   	-223.80		
-28.38   	-104.37   	  9.44   	-239.06		
-44.25   	-112.92   	  8.48   	-254.32		
-57.68   	-123.60   	  7.47   	-269.58		
-73.24   	-138.85   	  6.39   	-259.41		
-93.69   	-158.39   	  5.35   	-244.15		
-113.83   	-177.61   	  4.37   	-223.80		
-126.95   	-192.57   	  3.48   	-193.29		
-130.00   	-202.64   	  2.71   	-178.03		
-127.56   	-211.49   	  1.99   	-167.85		
-127.87   	-222.47   	  1.32   	-162.77		
-134.58   	-235.90   	  0.67   	-157.68		
-144.35   	-248.41   	  0.04   	-157.68		
-154.42   	-258.18   	 -0.59   	-147.51		
-163.27   	-265.20   	 -1.18   	-132.25		
-174.26   	-271.61   	 -1.71   	-111.90		
-187.38   	-275.88   	 -2.16   	 -81.38		
-198.06   	-274.96   	 -2.48   	 -45.78		
-201.72   	-265.81   	 -2.67   	 -15.26		
-196.23   	-247.50   	 -2.73   	   5.09		
-183.41   	-222.78   	 -2.71   	  25.43		
-166.32   	-194.70   	 -2.60   	  30.52		
-147.09   	-166.32   	 -2.48   	  20.35		
-127.26   	-141.30   	 -2.40   	  10.17		
-108.64   	-121.77   	 -2.36   	 -10.17		
-93.99   	-108.64   	 -2.40   	 -25.43		
-85.45   	-100.10   	 -2.50   	 -35.61		
-82.70   	-96.74   	 -2.64   	 -40.69		
-85.14   	-100.10   	 -2.81   	 -35.61		
-89.42   	-112.30   	 -2.95   	 -30.52		
-89.72   	-130.92   	 -3.07   	 -10.17		
-81.48   	-148.62   	 -3.11(D)	  20.35		
-66.22   	-161.13   	 -3.03   	  30.52		
-52.19   	-169.98   	 -2.91   	  25.43		
-45.47   	-178.53   	 -2.81   	  25.43		
-46.69   	-187.68   	 -2.71   	  15.26		
-50.05   	-194.70   	 -2.64   	   5.09		
-48.52   	-194.09   	 -2.62   	  10.17		
-39.98   	-184.94   	 -2.58   	  10.17		
-28.99   	-173.34   	 -2.54   	  15.26		
-21.97   	-164.49   	 -2.48   	  15.26		
-22.89   	-160.83   	 -2.42   	  20.35		
-33.26   	-162.35   	 -2.34   	  25.43		
-50.66   	-167.24   	 -2.24   	  35.61		
-68.36   	-173.95   	 -2.10   	  35.61		
-79.35   	-179.75   	 -1.95   	  40.69		
-81.79   	-184.63   	 -1.79   	  40.69		
-80.87   	-188.90   	 -1.63   	  30.52		
-82.09   	-195.01   	 -1.51   	  15.26		
-87.59   	-202.64   	 -1.44   	  10.17		
-92.47   	-205.38   	 -1.40   	   0.00		
-92.16   	-190.73   	 -1.40   	   0.00		
-88.50   	-148.93   	 -1.40   	   0.00		
-86.36   	-74.46   	 -1.40   	   5.09		
-85.75   	 34.48   	 -1.38   	  15.26		
-81.18   	175.48   	 -1.32   	  25.43		
-70.80   	336.30   	 -1.22   	  40.69		
-62.56   	477.29   	 -1.06   	  50.86		
-121.15   	414.73   	 -0.85   	  40.69		
-211.49   	134.89   	 -0.69   	  40.69		
-332.03   	-240.78   	 -0.53   	  30.52		
-456.54   	-585.63   	 -0.41   	  15.26		
-552.06   	-794.07   	 -0.35   	  10.17		
-588.07   	-837.71(R)	 -0.31(E)	   5.09		
-552.67   	-759.89   	 -0.28   	   5.09		
-459.59   	-622.25   	 -0.26   	   5.09		
-340.58   	-468.14   	 -0.24   	  20.35		
-229.49   	-321.66   	 -0.16   	  25.43		
-146.48   	-204.47   	 -0.06   	  40.69		
-92.47   	-136.41   	  0.10   	  40.69		
-59.51   	-122.07   	  0.26   	  45.78		
-40.59   	-141.30   	  0.45   	  30.52		
-31.43   	-163.27   	  0.57   	   5.09		
-29.91   	-169.07   	  0.59   	  30.52		
-29.30   	-159.91   	  0.71   	  66.12		
-24.72   	-147.09   	  0.98   	  81.38		
-15.56   	-139.16   	  1.30   	  91.56		
 -3.05   	-134.89   	  1.67   	  96.64		
  9.16   	-131.53   	  2.05   	 106.82		
 19.84   	-127.26   	  2.48   	 157.68		
 30.21   	-121.15   	  3.11   	 233.98		
 41.50   	-112.92   	  4.05   	 249.24		
 53.10   	-102.23   	  5.05   	 264.50		
 64.70   	-86.06   	  6.10   	 208.54		
 58.29   	-83.92   	  6.94   	 157.68		
 46.39   	-83.92   	  7.57   	 106.82		
 36.01   	-81.48   	  8.00   	  91.56		
 31.74   	-74.46   	  8.36   	 116.99		
 34.18   	-65.61   	  8.83   	 183.11		
 38.45   	-58.29   	  9.56   	 162.77		
 42.11   	-54.02   	 10.21   	 132.25		
 47.30   	-50.05   	 10.74   	 172.94		
 57.07   	-43.03   	 11.43   	 188.20		
 72.02   	-31.43   	 12.19   	 178.03		
 85.45   	-18.92   	 12.90   	 178.03		
 91.55   	 -9.46   	 13.61   	 162.77		
 90.03   	 -3.05   	 14.26   	 137.33		
 84.53   	  1.83   	 14.81   	 116.99		
 78.43   	  5.80   	 15.28   	  91.56		
 72.02   	  9.16   	 15.65   	  76.30		
 63.48   	 10.68   	 15.95   	  71.21		
 53.41   	 12.21   	 16.24   	  71.21		
 43.64   	 14.65   	 16.52   	  71.21		
 36.32   	 18.62   	 16.81   	  71.21		
 31.74   	 21.67   	 17.09   	  66.12		
 29.91   	 24.11   	 17.35   	  55.95		
 29.60   	 25.94   	 17.58   	  45.78		
 31.13   	 28.69   	 17.76   	  10.17		
 34.79   	 38.45   	 17.80(S)	 -10.17		
 37.23   	 46.69   	 17.76   	 -30.52		
 40.28   	 57.37   	 17.64   	 -40.69		
 42.11   	 70.19   	 17.48   	 -35.61		
 41.81   	 83.62   	 17.33   	 -40.69		
 39.98   	 95.83   	 17.17   	 -30.52		
 39.67   	108.34   	 17.05   	 -25.43		
 41.20   	120.85   	 16.95   	 -20.35		
 41.20   	131.84   	 16.87   	 -25.43		
 37.23   	140.99   	 16.76   	 -10.17		
 31.74   	149.54   	 16.72   	 -20.35		
 30.21   	159.91   	 16.64   	 -50.86		
 33.57   	170.59   	 16.44   	 -40.69		
 39.37   	178.53   	 16.28   	 -40.69		
 44.86   	182.50   	 16.11   	 -40.69		
 51.27   	184.33   	 15.95   	 -25.43		
 62.56   	187.07   	 15.85   	 -10.17		
 78.74   	188.90   	 15.81   	   0.00		
 93.99   	183.72   	 15.81   	  15.26		
102.54   	168.15   	 15.87   	  10.17		
104.06   	146.79   	 15.91   	  10.17		
104.06   	127.87   	 15.95   	   5.09		
104.37   	115.36   	 15.97   	  10.17		
103.15   	105.59   	 16.01   	   0.00		
 98.57   	 93.38   	 16.01   	  -5.09		
 92.77   	 77.51   	 15.99   	 -15.26		
 89.72   	 61.04   	 15.93   	 -10.17		
 91.25   	 47.91   	 15.89   	 -15.26		
 93.38   	 38.45   	 15.83   	 -15.26		
 92.16   	 30.52   	 15.77   	 -20.35		
 88.20   	 23.50   	 15.69   	 -20.35		
 84.23   	 18.01   	 15.61   	 -30.52		
 83.62   	 16.17   	 15.48   	 -45.78		
 85.75   	 16.78   	 15.30   	 -66.12		
 88.20   	 17.40   	 15.04   	 -96.64		
 88.50   	 15.56   	 14.65   	-106.82		
 87.89   	 12.21   	 14.22   	 -96.64		
 87.28   	  9.46   	 13.84   	-111.90		
 86.06   	  8.54   	 13.39   	-157.68		
 83.01   	  9.77   	 12.76   	-183.11		
 78.13   	 10.68   	 12.02   	-193.29		
 72.33   	  9.77   	 11.25   	-193.29		
 68.97   	  7.32   	 10.48   	-183.11		
 68.66   	  3.66   	  9.75   	-193.29		
 68.05   	 -0.92   	  8.97   	-203.46		
 66.22   	 -5.49   	  8.16   	-213.63		
 64.09   	 -8.24   	  7.30   	-228.89		
 65.61   	 -7.32   	  6.39   	-244.15		
 74.46   	 -0.92   	  5.41   	-259.41		
 85.45   	  6.10   	  4.37   	-259.41		
 87.28   	  4.88   	  3.34   	-259.41		
 75.99   	 -7.32   	  2.30   	-244.15		
 59.20   	-21.97   	  1.32   	-223.80		
 50.35   	-28.08   	  0.43   	-203.46		
 58.29   	-19.84   	 -0.39   	-167.85		
 78.43   	 -3.36   	 -1.06   	-147.51		
 93.69   	  6.10   	 -1.65   	-122.07		
 92.16   	 -0.61   	 -2.14   	-106.82		
 76.90   	-17.40   	 -2.56   	 -96.64		
 61.34   	-28.99   	 -2.95   	 -86.47		
 55.24   	-25.33   	 -3.30   	 -76.30		
 61.34   	 -7.63   	 -3.60   	 -55.95		
 72.02   	 16.17   	 -3.83   	 -45.78		
 81.79   	 39.67   	 -4.01   	 -35.61		
 90.94   	 61.34   	 -4.15   	 -25.43		
 99.18   	 81.18   	 -4.25   	 -25.43		
105.29   	 97.66   	 -4.35   	 -20.35		
107.12   	108.64   	 -4.44   	 -20.35		
107.42   	115.97   	 -4.52   	 -15.26		
111.08   	122.99   	 -4.58   	 -15.26		
118.71   	128.48   	 -4.64   	  -5.09		
121.77   	122.68   	 -4.66(D)	   5.09		
113.53   	 97.66   	 -4.64   	  10.17		
 96.44   	 57.07   	 -4.60   	  15.26		
 84.23   	 17.40   	 -4.54   	  20.35		
 86.98   	 -7.32   	 -4.46   	  20.35		
101.01   	-17.40   	 -4.37   	  30.52		
108.64   	-26.55   	 -4.25   	  25.43		
 97.35   	-49.44   	 -4.15   	  30.52		
 68.05   	-84.84   	 -4.03   	  20.35		
 36.01   	-118.10   	 -3.95   	  25.43		
 16.48   	-135.80   	 -3.85   	  30.52		
 10.99   	-136.72   	 -3.72   	  30.52		
 12.82   	-129.70   	 -3.60   	  40.69		
 13.43   	-124.82   	 -3.44   	  30.52		
  9.46   	-124.51   	 -3.32   	  35.61		
  4.58   	-126.95   	 -3.17   	  30.52		
  1.22   	-128.48   	 -3.05   	  35.61		
  0.31   	-129.70   	 -2.91   	  30.52		
  1.83   	-132.45   	 -2.79   	  40.69		
  5.19   	-136.72   	 -2.62   	  45.78		
 11.60   	-139.47   	 -2.44   	  45.78		
 20.45   	-140.69   	 -2.26   	  40.69		
 27.47   	-139.16   	 -2.10   	  40.69		
 29.30   	-127.56   	 -1.93   	  50.86		
 26.55   	-92.47   	 -1.73   	  45.78		
 23.50   	-22.58   	 -1.55   	  40.69		
 24.72   	 88.20   	 -1.38   	  40.69		
 31.74   	234.99   	 -1.22   	  35.61		
 41.50   	402.53   	 -1.08   	  35.61		
 47.00   	553.59   	 -0.94   	  45.78		
  1.53   	528.56   	 -0.75   	  45.78		
-75.38   	255.43   	 -0.57   	  40.69		
-189.82   	-137.02   	 -0.41   	  40.69		
-320.13   	-514.53   	 -0.24   	  30.52		
-429.69   	-749.51   	 -0.12   	  20.35		
-484.31   	-797.42(R)	 -0.04(E)	  20.35		
-469.67   	-707.70   	  0.04   	  15.26		
-398.86   	-562.44   	  0.10   	  20.35		
-300.60   	-414.73   	  0.18   	  30.52		
-204.47   	-282.59   	  0.31   	  35.61		
-129.09   	-174.87   	  0.45   	  50.86		
-79.04   	-106.51   	  0.65   	  61.04		
-49.44   	-88.20   	  0.90   	  66.12		
-32.04   	-108.03   	  1.16   	  61.04		
-21.67   	-135.19   	  1.40   	  40.69		
-16.17   	-145.57   	  1.57   	  30.52		
-15.87   	-137.94   	  1.69   	  45.78		
-20.45   	-127.26   	  1.87   	  91.56		
-27.47   	-124.51   	  2.24   	 101.73		
-32.35   	-129.39   	  2.64   	 147.51		
-32.65   	-134.89   	  3.23   	 244.15		
-28.99   	-136.72   	  4.21   	 264.50		
-24.11   	-133.97   	  5.27   	 223.80		
-19.53   	-127.87   	  6.16   	 208.54		
-16.17   	-118.41   	  7.00   	 244.15		
 -5.80   	-96.74   	  7.98   	 218.72		
  0.92   	-88.50   	  8.85   	 183.11		
  8.85   	-82.09   	  9.58   	 162.77		
 17.09   	-76.29   	 10.23   	 162.77		
 25.63   	-69.58   	 10.89   	 183.11		
 32.96   	-61.95   	 11.62   	 198.37		
 36.01   	-54.93   	 12.41   	 208.54		
 33.87   	-50.66   	 13.25   	 218.72		
 27.77   	-48.52   	 14.12   	 218.72		
 20.45   	-46.08   	 14.99   	 228.89		
 14.04   	-41.81   	 15.91   	 228.89		
  7.63   	-36.01   	 16.83   	 203.46		
  0.31   	-31.13   	 17.64   	 178.03		
 -5.19   	-27.77   	 18.35   	 152.59		
 -6.71   	-25.02   	 18.96   	 122.07		
 -3.36   	-21.06   	 19.45   	 101.73		
  3.66   	-15.26   	 19.86   	  91.56		
 10.68   	 -9.16   	 20.22   	  81.38		
 16.78   	 -3.66   	 20.55   	  76.30		
 21.67   	  0.61   	 20.85   	  71.21		
 26.86   	  5.80   	 21.14   	  76.30		
 32.35   	 13.12   	 21.44   	  81.38		
 37.54   	 21.97   	 21.77   	  86.47		
 40.89   	 31.13   	 22.12   	  71.21		
 40.89   	 38.45   	 22.40   	  40.69		
 31.13   	 50.05   	 22.56   	  25.43		
 25.02   	 55.24   	 22.67   	  15.26		
 20.75   	 60.73   	 22.73   	   0.00		
 18.92   	 66.53   	 22.73   	  -5.09		
 18.92   	 72.94   	 22.71   	  -5.09		
 19.53   	 79.04   	 22.69   	   0.00		
 18.62   	 84.84   	 22.69   	   0.00		
 15.56   	 89.11   	 22.69   	   5.09		
 10.99   	 93.69   	 22.71   	  10.17		
  6.41   	100.10   	 22.75   	  10.17		
  3.36   	109.56   	 22.79   	   0.00		
  2.14   	120.85   	 22.79   	   0.00		
  0.92   	130.62   	 22.79   	 -10.17		
 -1.22   	137.02   	 22.75   	 -15.26		
 -2.44   	140.38   	 22.69   	 -10.17		
 -0.92   	141.60   	 22.64   	  -5.09		
  3.97   	140.69   	 22.62   	  -5.09		
 10.99   	135.80   	 22.60   	   5.09		
 17.70   	126.04   	 22.62   	  10.17		
 24.11   	113.22   	 22.67   	  10.17		
 30.52   	100.10   	 22.71   	  10.17		
 38.76   	 90.33   	 22.75   	  10.17		
 46.08   	 82.40   	 22.79   	   5.09		
 49.74   	 72.94   	 22.81(S)	  -5.09		
 49.44   	 59.81   	 22.79   	 -10.17		
 48.22   	 45.47   	 22.75   	 -20.35		
 49.13   	 33.87   	 22.67   	 -25.43		
 52.49   	 26.86   	 22.56   	 -25.43		
 53.10   	 19.84   	 22.46   	 -25.43		
 45.78   	  7.93   	 22.36   	 -20.35		
 31.43   	 -8.54   	 22.28   	 -20.35		
 16.78   	-24.41   	 22.20   	 -20.35		
  8.85   	-33.57   	 22.12   	 -25.43		
  8.24   	-35.40   	 22.01   	 -30.52		
  9.77   	-34.79   	 21.89   	 -50.86		
 10.38   	-35.10   	 21.69   	 -76.30		
 10.99   	-36.32   	 21.38   	 -76.30		
 14.34   	-34.48   	 21.08   	 -76.30		
 21.97   	-29.30   	 20.77   	-122.07		
 30.52   	-23.80   	 20.28   	-162.77		
 37.23   	-20.75   	 19.63   	-198.37		
 41.50   	-21.36   	 18.84   	-213.63		
 42.72   	-24.72   	 17.99   	-228.89		
 41.20   	-28.69   	 17.07   	-239.06		
 36.93   	-31.74   	 16.11   	-244.15		
 31.74   	-32.96   	 15.14   	-239.06		
 28.38   	-32.35   	 14.18   	-233.98		
 28.08   	-30.82   	 13.25   	-239.06		
 29.60   	-29.91   	 12.29   	-233.98		
 31.13   	-30.21   	 11.35   	-244.15		
 33.26   	-29.91   	 10.38   	-254.32		
 36.62   	-26.86   	  9.36   	-264.50		
 41.50   	-22.28   	  8.30   	-264.50		
 47.00   	-18.01   	  7.24   	-254.32		
 53.10   	-16.17   	  6.23   	-233.98		
 58.90   	-16.48   	  5.29   	-203.46		
 63.17   	-18.62   	  4.48   	-178.03		
 62.87   	-21.67   	  3.76   	-152.59		
 57.68   	-25.63   	  3.15   	-132.25		
 50.96   	-27.47   	  2.62   	-116.99		
 47.30   	-24.72   	  2.16   	-111.90		
 48.22   	-17.09   	  1.71   	-106.82		
 50.35   	 -7.02   	  1.28   	 -96.64		
 51.27   	  3.97   	  0.90   	 -91.56		
 51.27   	 18.31   	  0.53   	 -66.12		
 53.10   	 39.06   	  0.26   	 -55.95		
 57.37   	 65.31   	  0.04   	 -30.52		
 60.42   	 90.03   	 -0.08   	 -30.52		
 59.51   	107.42   	 -0.20   	 -15.26		
 57.68   	116.27   	 -0.26   	 -15.26		
 59.20   	119.93   	 -0.33   	 -15.26		
 66.22   	122.68   	 -0.39   	 -15.26		
 75.99   	124.21   	 -0.45   	 -15.26		
 82.40   	119.93   	 -0.51   	 -15.26		
 82.40   	104.98   	 -0.57   	 -25.43		
 76.90   	 78.43   	 -0.67   	 -20.35		
 68.05   	 45.17   	 -0.75   	 -20.35		
 57.98   	 12.51   	 -0.83   	 -25.43		
 47.30   	-14.95   	 -0.94   	 -20.35		
 35.71   	-35.40   	 -1.02   	 -15.26		
 23.19   	-52.80   	 -1.08   	 -10.17		
  8.24   	-72.02   	 -1.12   	  -5.09		
 -6.71   	-90.94   	 -1.14(D)	  10.17		
-15.56   	-103.45   	 -1.10   	  15.26		
-15.87   	-106.51   	 -1.04   	  35.61		
-10.07   	-102.54   	 -0.90   	  40.69		
 -4.88   	-97.96   	 -0.73   	  45.78		
