SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		  SVC     	  SVC'		
 97.66   	-16.17   	 55.22   	 -55.95		  0.69   	  15.26		  3.95   	   0.00		
134.58   	 76.29   	 54.99   	 -55.95		  0.75   	  55.95		  3.95(A)	   0.00		
 98.27   	165.41   	 54.77   	 -55.95		  0.98   	  96.64		  3.95   	  -5.09		
-32.65   	223.39   	 54.55   	 -61.04		  1.36   	 193.29		  3.93   	 -10.17		
-479.43   	191.04   	 54.30   	 -61.04		  2.14   	 198.37		  3.89   	 -15.26		
-679.02   	100.40   	 54.06   	 -66.12		  2.93   	 198.37		  3.83   	 -15.26		
-796.20   	-31.74   	 53.79   	 -66.12		  3.72   	 167.85		  3.76   	 -15.26		
-824.89   	-191.35   	 53.53   	 -66.12		  4.39   	 127.16		  3.70   	 -20.35		
-783.08   	-347.29   	 53.27   	 -61.04		  4.90   	  76.30		  3.62   	 -15.26		
-692.14   	-459.90   	 53.02   	 -61.04		  5.21   	  40.69		  3.56   	 -20.35		
-568.85   	-499.27(R)	 52.78   	 -61.04		  5.37(E)	  -5.09		  3.48   	 -20.35		
-423.28   	-462.04   	 52.53   	 -55.95		  5.35   	 -45.78		  3.40   	 -20.35		
-266.42   	-368.65   	 52.31   	 -55.95		  5.17   	 -45.78		  3.32   	 -30.52		
-120.24   	-251.46   	 52.09   	 -50.86		  4.98   	 -25.43		  3.19   	 -25.43		
 -9.16   	-138.24   	 51.88   	 -45.78		  4.88   	 -15.26		  3.09   	 -35.61		
 52.19   	-51.57   	 51.70   	 -45.78		  4.82   	  20.35		  2.95   	 -40.69		
 68.05   	 -6.71   	 51.52   	 -45.78		  4.90   	  55.95		  2.79   	 -40.69		
 57.68   	 -4.58   	 51.33   	 -40.69		  5.13   	  81.38		  2.62   	 -35.61		
 45.17   	-27.47   	 51.17   	 -40.69		  5.45   	 111.90		  2.48   	 -45.78		
 43.95   	-47.91   	 51.01   	 -45.78		  5.90   	 188.20		  2.30   	 -35.61		
 54.32   	-49.44   	 50.82   	 -40.69		  6.65   	 279.75		  2.16   	 -35.61		
 66.83   	-33.57   	 50.66   	 -40.69		  7.77   	 356.05		  2.01   	 -35.61		
 74.16   	-15.26   	 50.50   	 -40.69		  9.20   	 396.74		  1.87   	 -25.43		
 75.07   	 -7.32   	 50.34   	 -40.69		 10.78   	 473.04		  1.77   	 -10.17		
 73.55   	-10.68   	 50.17   	 -45.78		 12.68   	 508.65		  1.73   	  -5.09		
 73.24   	-17.40   	 49.99   	 -40.69		 14.71   	 442.52		  1.71   	   0.00		
 75.38   	-21.06   	 49.83   	 -40.69		 16.48   	 401.83		  1.71   	   5.09		
 78.43   	-21.36   	 49.66   	 -40.69		 18.09   	 422.18		  1.73   	   5.09		
 81.48   	-20.45   	 49.50   	 -40.69		 19.78   	 462.87		  1.75   	   0.00		
 84.23   	-21.06   	 49.34   	 -40.69		 21.63   	 483.21		  1.75   	   5.09		
 85.14   	-22.58   	 49.18   	 -35.61		 23.56   	 523.90		  1.77   	   5.09		
 86.36   	-23.80   	 49.03   	 -40.69		 25.66   	 564.60		  1.79   	   0.00		
 88.50   	-23.50   	 48.87   	 -35.61		 27.91   	 600.20		  1.79   	   0.00		
 90.94   	-21.06   	 48.73   	 -35.61		 30.32   	 615.46		  1.79   	 -10.17		
 93.69   	-18.31   	 48.59   	 -30.52		 32.78   	 620.55		  1.75   	  -5.09		
 96.13   	-16.78   	 48.46   	 -35.61		 35.26   	 605.29		  1.73   	  -5.09		
 97.96   	-17.40   	 48.32   	 -30.52		 37.68   	 579.86		  1.71   	 -10.17		
 99.49   	-19.53   	 48.20   	 -35.61		 40.00   	 539.16		  1.67   	 -10.17		
101.01   	-21.36   	 48.06   	 -35.61		 42.16   	 488.30		  1.63   	 -10.17		
103.15   	-22.58   	 47.91   	 -30.52		 44.11   	 432.35		  1.59   	 -15.26		
105.90   	-23.50   	 47.79   	 -35.61		 45.84   	 361.14		  1.53   	 -15.26		
108.95   	-26.25   	 47.65   	 -35.61		 47.28   	 300.10		  1.46   	 -10.17		
112.30   	-32.35   	 47.51   	 -35.61		 48.48   	 254.32		  1.42   	 -10.17		
115.97   	-41.81   	 47.37   	 -40.69		 49.50   	 208.54		  1.38   	 -20.35		
119.93   	-51.88   	 47.20   	 -35.61		 50.34   	 162.77		  1.30   	 -15.26		
124.51   	-60.42   	 47.06   	 -45.78		 50.99   	 152.59		  1.24   	 -15.26		
129.39   	-65.31   	 46.88   	 -40.69		 51.60   	 147.51		  1.18   	 -20.35		
133.97   	-66.53   	 46.71   	 -35.61		 52.19   	 147.51		  1.10   	 -20.35		
138.55   	-65.92   	 46.57   	 -40.69		 52.78   	 152.59		  1.02   	 -15.26		
142.52   	-65.31   	 46.41   	 -35.61		 53.39   	 178.03		  0.96   	 -15.26		
145.87   	-65.92   	 46.27   	 -25.43		 54.10   	 193.29		  0.90   	 -15.26		
148.93   	-66.83   	 46.16   	 -30.52		 54.87   	 183.11		  0.83   	 -20.35		
151.37   	-67.14   	 46.04   	 -20.35		 55.61   	 183.11		  0.75   	 -10.17		
153.50   	-65.92   	 45.96   	 -15.26		 56.34   	 198.37		  0.71   	 -10.17		
157.78   	-61.04   	 45.90   	 -10.17		 57.13   	 178.03		  0.67   	  -5.09		
160.22   	-59.51   	 45.86   	 -10.17		 57.84   	 162.77		  0.65   	   0.00		
162.66   	-58.59   	 45.82   	  -5.09		 58.49   	 172.94		  0.65   	   0.00		
164.49   	-57.68   	 45.80   	  -5.09		 59.19   	 167.85		  0.65   	  -5.09		
166.32   	-55.24   	 45.78   	  -5.09		 59.86   	 147.51		  0.63   	   0.00		
167.24   	-51.27   	 45.76(D)	   0.00		 60.45   	 137.33		  0.63   	   0.00		
167.24   	-46.08   	 45.76   	   5.09		 61.00   	 142.42		  0.63   	  -5.09		
166.32   	-40.89   	 45.78   	  15.26		 61.57   	 142.42		  0.61   	  -5.09		
163.57   	-35.71   	 45.84   	  30.52		 62.14   	 142.42		  0.59   	 -10.17		
159.30   	-30.82   	 45.96   	  45.78		 62.71   	 152.59		  0.55   	  -5.09		
152.89   	-25.02   	 46.14   	  81.38		 63.32   	 152.59		  0.53   	  -5.09		
144.35   	-18.31   	 46.47   	 122.07		 63.93   	 157.68		  0.51   	 -10.17		
134.28   	-10.99   	 46.96   	 162.77		 64.56   	 162.77		  0.47   	  -5.09		
122.99   	 -3.97   	 47.61   	 208.54		 65.21   	 157.68		  0.45   	   0.00		
111.69   	  2.14   	 48.44   	 249.24		 65.84   	 152.59		  0.45   	   0.00		
100.40   	  6.41   	 49.44   	 284.84		 66.45   	 147.51		  0.45   	   5.09		
 89.42   	  8.24   	 50.58   	 310.27		 67.04   	 132.25		  0.47   	   5.09		
 78.13   	  7.63   	 51.82   	 315.36		 67.57   	 122.07		  0.49   	   5.09		
 66.53   	  4.27   	 53.08   	 310.27		 68.06   	 106.82		  0.51   	  10.17		
 54.93   	 -0.61   	 54.32   	 289.93		 68.48   	  81.38		  0.55   	  15.26		
 44.25   	 -6.41   	 55.48   	 259.41		 68.81   	  50.86		  0.61   	  10.17		
 35.10   	-13.43   	 56.52   	 218.72		 69.01   	  25.43		  0.65   	  15.26		
 26.86   	-21.06   	 57.40   	 183.11		 69.11(S)	   0.00		  0.71   	  15.26		
 20.45   	-29.91   	 58.13   	 147.51		 69.11   	 -30.52		  0.77   	  15.26		
 14.95   	-39.37   	 58.72   	 106.82		 68.99   	 -81.38		  0.83   	  15.26		
  7.32   	-57.07   	 59.15   	  91.56		 68.67   	-106.82		  0.90   	  20.35		
  4.27   	-64.39   	 59.51   	  96.64		 68.24   	-132.25		  0.98   	  10.17		
  1.22   	-70.80   	 59.90   	 106.82		 67.71   	-152.59		  1.02   	  15.26		
 -1.53   	-75.99   	 60.33   	 122.07		 67.10   	-183.11		  1.08   	  15.26		
 -4.27   	-80.57   	 60.81   	 142.42		 66.37   	-203.46		  1.14   	  20.35		
 -6.71   	-84.53   	 61.38   	 172.94		 65.55   	-223.80		  1.22   	  15.26		
 -9.16   	-87.89   	 62.08   	 193.29		 64.66   	-249.24		  1.28   	  20.35		
-11.29   	-90.64   	 62.85   	 208.54		 63.66   	-274.67		  1.36   	  20.35		
-12.51   	-92.16   	 63.68   	 218.72		 62.56   	-295.01		  1.44   	  15.26		
-12.51   	-92.16   	 64.56   	 213.63		 61.38   	-325.53		  1.51   	  15.26		
-11.90   	-90.33   	 65.41   	 208.54		 60.08   	-381.48		  1.57   	  20.35		
-10.99   	-87.59   	 66.25   	 188.20		 58.56   	-427.26		  1.65   	  15.26		
-10.38   	-83.92   	 67.00   	 167.85		 56.85   	-488.30		  1.71   	  20.35		
-10.07   	-80.57   	 67.67   	 137.33		 54.89   	-559.51		  1.79   	  20.35		
 -9.46   	-77.51   	 68.22   	 111.90		 52.65   	-605.29		  1.87   	  25.43		
 -8.85   	-75.38   	 68.67   	  81.38		 50.23   	-630.72		  1.97   	  30.52		
 -7.93   	-73.55   	 68.99   	  61.04		 47.71   	-656.15		  2.10   	  25.43		
 -7.32   	-71.11   	 69.24   	  35.61		 45.09   	-651.07		  2.20   	  25.43		
 -6.71   	-68.05   	 69.38   	  15.26		 42.48   	-625.63		  2.30   	  25.43		
 -6.10   	-65.00   	 69.44   	  10.17		 39.98   	-605.29		  2.40   	  20.35		
 -5.49   	-62.26   	 69.48(S)	  -5.09		 37.56   	-574.77		  2.48   	  20.35		
 -4.58   	-60.12   	 69.46   	  -5.09		 35.26   	-523.90		  2.56   	  10.17		
 -3.66   	-57.37   	 69.44   	  -5.09		 33.16   	-483.21		  2.60   	  10.17		
 -2.75   	-50.96   	 69.42   	 -15.26		 31.23   	-447.61		  2.64   	   0.00		
 -3.05   	-37.54   	 69.36   	 -15.26		 29.44   	-427.26		  2.64   	   5.09		
 -4.27   	-15.56   	 69.30   	 -20.35		 27.73   	-412.00		  2.67   	   0.00		
 -6.41   	 13.43   	 69.22   	 -20.35		 26.08   	-412.00		  2.67   	   0.00		
 -8.24   	 43.95   	 69.14   	 -40.69		 24.44   	-401.83		  2.67   	   0.00		
 -7.63   	 69.89   	 68.97   	 -50.86		 22.83   	-401.83		  2.67   	   0.00		
 -3.66   	 89.11   	 68.77   	 -66.12		 21.22   	-401.83		  2.67   	   0.00		
  3.66   	105.29   	 68.50   	 -86.47		 19.61   	-391.66		  2.67   	   0.00		
 12.51   	123.90   	 68.16   	-101.73		 18.05   	-366.22		  2.67   	   0.00		
 19.53   	148.32   	 67.75   	-122.07		 16.58   	-345.88		  2.67   	   0.00		
 22.58   	176.39   	 67.26   	-137.33		 15.20   	-340.79		  2.67   	   0.00		
 21.36   	200.20   	 66.71   	-142.42		 13.84   	-330.62		  2.67   	   5.09		
 18.62   	210.27   	 66.14   	-157.68		 12.51   	-305.19		  2.69   	   0.00		
 17.70   	201.11   	 65.51   	-152.59		 11.29   	-284.84		  2.69   	   5.09		
 21.36   	173.95   	 64.90   	-157.68		 10.15   	-274.67		  2.71   	   5.09		
 29.60   	134.89   	 64.27   	-147.51		  9.05   	-259.41		  2.73   	   0.00		
 39.06   	 90.94   	 63.68   	-147.51		  8.02   	-249.24		  2.73   	   0.00		
 45.78   	 48.52   	 63.09   	-132.25		  7.02   	-239.06		  2.73   	   0.00		
 46.69   	  7.63   	 62.56   	-122.07		  6.06   	-218.72		  2.73   	   0.00		
 41.50   	-33.57   	 62.08   	-111.90		  5.19   	-198.37		  2.73   	   0.00		
 30.52   	-76.29   	 61.63   	 -96.64		  4.39   	-183.11		  2.73   	   0.00		
 15.26   	-117.49   	 61.24   	 -81.38		  3.66   	-162.77		  2.73   	   5.09		
 -0.92   	-151.37   	 60.92   	 -71.21		  3.01   	-127.16		  2.75   	   0.00		
-14.34   	-172.12   	 60.63   	 -55.95		  2.50   	 -81.38		  2.75   	  10.17		
-22.28   	-178.83   	 60.41   	 -55.95		  2.18   	 -50.86		  2.79   	  10.17		
-23.50   	-176.09   	 60.18   	 -50.86		  1.97   	 -20.35		  2.83   	  10.17		
-20.14   	-172.12   	 59.98   	 -55.95		  1.89   	  10.17		  2.87   	  15.26		
-16.48   	-172.42   	 59.76   	 -66.12		  1.93   	  30.52		  2.93   	  20.35		
-14.95   	-177.00   	 59.49   	 -71.21		  2.05   	  40.69		  3.01   	  20.35		
-15.56   	-182.80   	 59.21   	 -76.30		  2.22   	  30.52		  3.09   	  25.43		
-17.09   	-186.46   	 58.90   	 -91.56		  2.34   	  20.35		  3.19   	  25.43		
-17.70   	-187.38   	 58.53   	 -96.64		  2.42   	   0.00		  3.30   	  30.52		
-17.70   	-186.77   	 58.15   	-101.73		  2.42   	 -15.26		  3.42   	  25.43		
-17.40   	-186.16   	 57.74   	-101.73		  2.36   	 -40.69		  3.52   	  25.43		
-19.23   	-187.68   	 57.33   	-101.73		  2.20   	 -55.95		  3.62   	  30.52		
-25.63   	-192.26   	 56.93   	 -96.64		  1.97   	 -55.95		  3.74   	  30.52		
-36.93   	-200.81   	 56.54   	 -91.56		  1.75   	 -66.12		  3.87   	  20.35		
-46.69   	-213.01   	 56.17   	 -86.47		  1.49   	 -55.95		  3.95   	  25.43		
-42.72   	-222.47   	 55.83   	 -76.30		  1.26   	 -40.69		  4.05   	  20.35		
-13.43   	-217.29   	 55.52   	 -66.12		  1.10   	 -15.26		  4.13   	  10.17		
 43.03   	-182.80   	 55.26   	 -66.12		  1.04(D)	  15.26		  4.17   	  15.26		
107.42   	-114.14   	 54.99   	 -55.95		  1.10   	  45.78		  4.23   	   5.09		
137.63   	-23.50   	 54.77   	 -55.95		  1.28   	  86.47		  4.25   	   0.00		
 90.33   	 60.42   	 54.55   	 -50.86		  1.63   	 127.16		  4.25(A)	   0.00		
-50.96   	109.25   	 54.34   	 -55.95		  2.14   	 193.29		  4.25   	  -5.09		
-497.44   	 54.02   	 54.12   	 -61.04		  2.91   	 203.46		  4.23   	 -10.17		
-683.29   	-47.91   	 53.88   	 -55.95		  3.72   	 183.11		  4.19   	 -15.26		
-784.91   	-189.82   	 53.65   	 -61.04		  4.46   	 142.42		  4.13   	 -15.26		
-801.70   	-354.92   	 53.41   	 -66.12		  5.03   	  96.64		  4.07   	 -15.26		
-753.78   	-509.95   	 53.14   	 -61.04		  5.41   	  55.95		  4.01   	 -20.35		
-661.93   	-616.15   	 52.90   	 -66.12		  5.64   	   0.00		  3.93   	 -20.35		
-539.86   	-646.36(R)	 52.63   	 -61.04		  5.64(E)	 -35.61		  3.85   	 -20.35		
-395.51   	-601.50   	 52.39   	 -61.04		  5.49   	 -45.78		  3.76   	 -20.35		
-240.78   	-504.76   	 52.15   	 -55.95		  5.31   	 -45.78		  3.68   	 -30.52		
-99.18   	-386.96   	 51.92   	 -55.95		  5.13   	 -20.35		  3.56   	 -30.52		
  3.36   	-275.27   	 51.70   	 -50.86		  5.05   	  10.17		  3.44   	 -25.43		
 54.32   	-192.26   	 51.50   	 -50.86		  5.09   	  45.78		  3.34   	 -30.52		
 61.65   	-152.89   	 51.29   	 -45.78		  5.27   	  66.12		  3.21   	 -30.52		
 47.61   	-156.86   	 51.11   	 -40.69		  5.53   	 101.73		  3.09   	 -30.52		
 35.71   	-183.41   	 50.95   	 -40.69		  5.94   	 142.42		  2.97   	 -30.52		
 36.93   	-205.99   	 50.78   	 -35.61		  6.51   	 218.72		  2.85   	 -20.35		
 48.22   	-208.44   	 50.64   	 -35.61		  7.39   	 300.10		  2.77   	 -25.43		
 60.12   	-195.01   	 50.50   	 -30.52		  8.59   	 366.22		  2.67   	 -20.35		
 66.22   	-179.75   	 50.38   	 -35.61		 10.05   	 422.18		  2.58   	 -20.35		
 66.53   	-173.34   	 50.23   	 -30.52		 11.74   	 508.65		  2.50   	 -10.17		
 65.61   	-173.65   	 50.11   	 -35.61		 13.77   	 528.99		  2.46   	  -5.09		
 66.53   	-173.65   	 49.97   	 -35.61		 15.89   	 457.78		  2.44   	   0.00		
 69.27   	-168.76   	 49.83   	 -35.61		 17.72   	 417.09		  2.44   	   5.09		
 72.94   	-160.52   	 49.68   	 -35.61		 19.39   	 432.35		  2.46   	   5.09		
 75.07   	-151.98   	 49.54   	 -45.78		 21.12   	 478.13		  2.48   	  10.17		
 74.46   	-140.38   	 49.36   	 -45.78		 23.03   	 508.65		  2.52   	  10.17		
 73.85   	-136.11   	 49.18   	 -40.69		 25.07   	 539.16		  2.56   	  10.17		
 74.77   	-131.23   	 49.01   	 -35.61		 27.22   	 569.68		  2.60   	   5.09		
 77.21   	-126.04   	 48.87   	 -40.69		 29.50   	 600.20		  2.62   	  -5.09		
 80.87   	-120.54   	 48.71   	 -35.61		 31.90   	 625.63		  2.60   	   0.00		
 83.31   	-116.27   	 48.57   	 -30.52		 34.40   	 620.55		  2.60   	  -5.09		
 84.84   	-113.53   	 48.44   	 -35.61		 36.89   	 595.11		  2.58   	  -5.09		
 85.45   	-111.69   	 48.30   	 -30.52		 39.27   	 559.51		  2.56   	 -10.17		
 86.67   	-108.95   	 48.18   	 -30.52		 41.51   	 518.82		  2.52   	  -5.09		
 89.11   	-103.76   	 48.06   	 -30.52		 43.58   	 467.95		  2.50   	 -10.17		
 92.77   	-96.74   	 47.93   	 -30.52		 45.45   	 406.92		  2.46   	 -10.17		
 97.05   	-88.81   	 47.81   	 -35.61		 47.08   	 335.71		  2.42   	 -10.17		
101.32   	-81.48   	 47.67   	 -35.61		 48.42   	 279.75		  2.38   	 -15.26		
104.98   	-75.38   	 47.53   	 -35.61		 49.54   	 249.24		  2.32   	 -10.17		
108.03   	-70.80   	 47.39   	 -35.61		 50.54   	 203.46		  2.28   	 -10.17		
110.47   	-67.14   	 47.24   	 -40.69		 51.35   	 167.85		  2.24   	 -15.26		
113.22   	-63.78   	 47.08   	 -40.69		 52.02   	 162.77		  2.18   	 -10.17		
116.58   	-60.42   	 46.92   	 -40.69		 52.68   	 157.68		  2.14   	 -10.17		
120.24   	-57.37   	 46.75   	 -40.69		 53.31   	 157.68		  2.10   	 -15.26		
124.21   	-54.32   	 46.59   	 -30.52		 53.94   	 162.77		  2.03   	 -10.17		
128.17   	-52.49   	 46.47   	 -35.61		 54.59   	 183.11		  1.99   	 -10.17		
131.23   	-51.57   	 46.33   	 -25.43		 55.32   	 188.20		  1.95   	 -10.17		
133.97   	-51.27   	 46.23   	 -25.43		 56.07   	 198.37		  1.91   	 -10.17		
136.11   	-51.57   	 46.12   	 -20.35		 56.87   	 198.37		  1.87   	 -10.17		
138.24   	-51.57   	 46.04   	 -15.26		 57.66   	 208.54		  1.83   	  -5.09		
143.74   	-47.30   	 45.98   	 -15.26		 58.49   	 188.20		  1.81   	  -5.09		
145.87   	-43.64   	 45.92   	 -15.26		 59.25   	 167.85		  1.79   	  -5.09		
147.40   	-40.28   	 45.86   	  -5.09		 59.92   	 157.68		  1.77   	   0.00		
148.01   	-37.84   	 45.84   	  -5.09		 60.55   	 152.59		  1.77   	  -5.09		
147.71   	-35.71   	 45.82   	  -5.09		 61.16   	 142.42		  1.75   	  -5.09		
147.40   	-32.65   	 45.80(D)	   5.09		 61.73   	 142.42		  1.73   	   0.00		
146.48   	-28.08   	 45.82   	  10.17		 62.30   	 152.59		  1.73   	  -5.09		
